Key,Value
CoreScripts.Ads.Label.Teleporting,正在傳送……
Corescripts.AvatarContextMenu.FriendRequestPending,好友邀請待處理
Corescripts.AvatarContextMenu.AddFriend,新增好友
Corescripts.AvatarContextMenu.Friends,好友
Corescripts.AvatarContextMenu.AcceptFriendRequest,接受好友邀請
Corescripts.AvatarContextMenu.Chat,聊天
Corescripts.AvatarContextMenu.ChatDisabled,聊天停用中
Corescripts.AvatarContextMenu.Wave,揮手
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,存取道具？
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} 想存取您的虛擬人偶的道具
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,儲存虛擬人偶角色
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,將此角色儲存到 Roblox？
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,否
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,是
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,取消
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,確定
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,為虛擬人偶裝備道具
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} 想要為您的虛擬人偶進行以下變更：
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,確定
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,取消
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,最愛道具
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,確定將 {RBX_NAME} 加到最愛？
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,解除最愛道具
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,確定將 {RBX_NAME} 解除最愛？
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,否
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,是
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,輸入角色名稱
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,角色名稱
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,確認
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,載入失敗
CoreScripts.AvatarEditorPrompts.Adding,新增：
CoreScripts.AvatarEditorPrompts.Removing,移除：
CoreScripts.AvatarEditorPrompts.NoChangedAssets,道具沒有變更
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,取消
CoreScripts.PremiumModal.Title.PremiumRequired,Premium 限定
CoreScripts.PremiumModal.Body.Description,Roblox Premium 將會給您：
CoreScripts.PremiumModal.Body.RobuxMonthly,每個月 450 Robux
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,獲得 Premium 限定福利
CoreScripts.PremiumModal.Body.RobuxDiscount,購買 Robux 時獲得 10% 額外 Robux
CoreScripts.PremiumModal.Action.PricePerMonth,{price} / 月
CoreScripts.PremiumModal.Error.PlatformUnavailable,您的平台不支援購買 Roblox Premium，請使用電腦購買 Premium。
CoreScripts.PremiumModal.Error.AlreadyPremium,開發人員似乎想給您購買 Roblox Premium 的提示，但您已經是 Premium 會員了！
CoreScripts.PremiumModal.Error.Unavailable,目前無法購買 Premium，請稍後再試！
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,每月 {robux} Robux
