Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13 歲以上
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,已驗證年齡為 13 歲以上
AccountIdentity.AgeCheck.Label.AgeBandOver18,18 歲以上
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,已驗證年齡為 18 歲以上
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13 歲以下
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13 至 15 歲
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16 至 17 歲
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18 至 20 歲
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18 到 24 歲
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9 至 12 歲
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 歲以上
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25 歲以上
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5 至 8 歲
Amp.AccountSettingsUpsell.Email.Button.Cancel,取消
Amp.AccountSettingsUpsell.Email.Button.Settings,設定
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"請驗證電子郵件地址以存取此功能

1. 前往設定中的帳號資訊
2. 選擇新增電子郵件地址
3. 完成驗證過程"
Amp.AccountSettingsUpsell.Email.Modal.Title,需要通過電子郵件驗證
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"請驗證手機號碼以參與此體驗。

1. 前往設定中的帳號資訊
2. 選擇新增手機號碼
3. 完成驗證過程"
Amp.AccountSettingsUpsell.Phone.Modal.Title,需要通過手機號碼驗證
Amp.ErrorScreen.BodyText,無法擷取您的存取狀態
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,重試
Amp.ErrorScreen.Title,發生錯誤
Amp.ErrorScreen.UserMismatchBody,這是其他帳號的 QR 碼。請切換帳號並再次掃描以繼續。
Amp.ErrorScreen.UserMismatchTitle,錯誤的帳號
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,繼續
Amp.FAEUpsell.Modal.ExternalLink.Text,如此可解鎖更多遊戲和聊天等功能。
Amp.FAEUpsell.Modal.ExternalLink.Title,請驗證你的年齡
Amp.FAEUpsell.Modal.Failed.ButtonClose,關閉
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,發生錯誤，請稍後再試。
Amp.FAEUpsell.Modal.Failed.Title,確認年齡時發生錯誤
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,這可能需要一些時間。若取消，可能無法驗證你的年齡。
Amp.FAEUpsell.Modal.Loading.Title,正在確認你的年齡
Amp.FAEUpsell.Modal.QRCode.Description,完成年齡驗證，即可解鎖更多遊戲和功能。請使用手機或平板電腦掃描此 QR 碼。
Amp.FAEUpsell.Modal.QRCode.Footer,不想掃描嗎？請在行動裝置上下載 Roblox App，依序前往「設定」>「帳號資訊」
Amp.FAEUpsell.Modal.QRCode.Title,使用行動裝置 App 完成年齡驗證
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,對不起，您的驗證因安全原因遭拒。請等幾天後再重新嘗試。
Amp.IDVErrorScreen.Retry,發生錯誤，請重新整理頁面再試一次。
Amp.IDVErrorScreen.Timeout,抱歉，驗證時間太長。請重新整理頁面後再試一次。
Amp.IDVErrorScreen.Title,驗證失敗
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,開始驗證
Amp.IDVUpsell.Directions.IDBody,駕照、護照、身分證、居留證
Amp.IDVUpsell.Directions.IDHeader,準備有效證件
Amp.IDVUpsell.Directions.PhoneBody,您必須使用智慧型手機才可繼續
Amp.IDVUpsell.Directions.PhoneHeader,使用智慧型手機
