Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,Maior de 13
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Maior de 13 idade verificada
AccountIdentity.AgeCheck.Label.AgeBandOver18,Maior de 18
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Maior de 18 idade verificada
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13 ou menos
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13-15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16-17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18-20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18 a 24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 ou mais
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25 ou mais
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,De 5 a 8 anos
Amp.AccountSettingsUpsell.Email.Button.Cancel,Cancelar
Amp.AccountSettingsUpsell.Email.Button.Settings,Configurações
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Verifique seu e-mail para acessar este recurso

1. Vá para as Informações da conta nas Configurações
2. Escolha Adicionar e-mail
3. Conclua o processo
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Verificação de email necessária
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Verifique seu telefone para acessar esta experiência.

1. Vá para as Informações da conta em Configurações
2. Escolha Adicionar telefone
3. Conclua o processo"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Verificação de telefone necessária
Amp.ErrorScreen.BodyText,Falha ao obter seu status de acesso
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Tentar novamente
Amp.ErrorScreen.Title,Algo deu errado
Amp.ErrorScreen.UserMismatchBody,Este código QR é para uma conta diferente. Troque de conta e escaneie novamente para continuar.
Amp.ErrorScreen.UserMismatchTitle,Conta errada
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Continuar
Amp.FAEUpsell.Modal.ExternalLink.Text,Isso libera mais jogos e funcionalidades como o chat.
Amp.FAEUpsell.Modal.ExternalLink.Title,Verificação de idade necessária
Amp.FAEUpsell.Modal.Failed.ButtonClose,Fechar
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Algo deu errado. Tente novamente mais tarde.
Amp.FAEUpsell.Modal.Failed.Title,Erro de verificação de idade
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Pode demorar um pouquinho. Se você cancelar, talvez sua idade não seja verificada."
Amp.FAEUpsell.Modal.Loading.Title,Verificando sua idade
Amp.FAEUpsell.Modal.QRCode.Description,"Fazendo a verificação de idade, você desbloqueia mais jogos e ativos. Escaneie este código QR com seu celular ou tablet."
Amp.FAEUpsell.Modal.QRCode.Footer,Não está dando certo? Baixe o aplicativo da Roblox no seu dispositivo móvel e acesse Configurações > Informações da conta
Amp.FAEUpsell.Modal.QRCode.Title,Faça a verificação de idade com o aplicativo para dispositivos móveis
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Sua verificação foi recusada por razões de segurança. Se quiser tentar novamente, volte em alguns dias."
Amp.IDVErrorScreen.Retry,"Algo deu errado, atualize a página e tente novamente."
Amp.IDVErrorScreen.Timeout,O processo de verificação demorou demais. Atualize a página e tente novamente.
Amp.IDVErrorScreen.Title,A verificação falhou
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Iniciar verificação
Amp.IDVUpsell.Directions.IDBody,"Carteira de motorista, passaporte, documento de identidade, autorização de residente"
Amp.IDVUpsell.Directions.IDHeader,Prepare uma identidade válida
Amp.IDVUpsell.Directions.PhoneBody,Você precisa de um smartphone para continuar
Amp.IDVUpsell.Directions.PhoneHeader,Use um smartphone
Amp.IDVUpsell.Modal.Disclaimer,Atenção: Você está prestes a iniciar o processo de verificação de identidade com nosso provedor de serviços de terceiros. As informações coletadas através deste processo serão usadas para fins de segurança de sua conta e/ou ativação dos recursos Roblox.
Amp.IDVUpsell.Modal.PrivacyLinkText,Aviso de privacidade biométrica da Roblox
Amp.IDVUpsell.Modal.QRHeaderText,Escaneie o código QR para começar
Amp.IDVUpsell.Modal.Title,Verificação de idade obrigatória
Amp.IDVUpsell.PrivacyPageHeader,Política de privacidade
Amp.Upsell.Action.AskNow,Perguntar agora
Amp.Upsell.Description.PrologueEnablePurchase,"Devido a restrições regionais, você precisa de permissão do seu responsável para fazer esta compra."
Amp.Upsell.Description.PrologueJoinExperience,"Para se juntar a esta experiência, você precisa da permissão do seu responsável."
Amp.Upsell.Description.PrologueTextVpc,Você precisa da permissão do seu responsável.
Amp.Upsell.Description.PrologueUnblockUser,"Para desbloquear {displayName}, você precisa de permissão do responsável"
Amp.Upsell.Message.EmailSent,Enviamos um e-mail para {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,Nós enviamos um e-mail para seu responsável vinculado
Amp.Upsell.Title.AskYourParent,Peça ao seu responsável
Amp.Upsell.Title.RequestSent,Pedido enviado
Application.Logout.Action.Logout,Sair
Application.Logout.Message.Confirmation,Tem certeza de que deseja sair?
Authentication.AccountSwitch.Action.SwitchAccount,Trocar de conta
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.CrossDevice.Heading.QuickLogin,Acesso rápido
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,Saia da Roblox para mudar de conta para {platformAccountName}
Authentication.Login.Button.UseDifferentRobloxAccount,Use uma conta Roblox diferente
Authentication.Login.Error.PasskeyOnlyAccount,Sua conta só tem uma chave de acesso configurada para entrar. Tente entrar com sua chave de acesso ou recupere sua conta.
Authentication.Login.Error.PlatformAccountConnectionFailure,Não é possível verificar a conta da plataforma. Tente novamente mais tarde.
Authentication.Login.Heading.IncompatibleAccounts,Contas Incompatíveis
Authentication.Login.Label.LearnMore,Saiba mais
Authentication.Login.LinkIllegalChildAccountLinking,Não foi possível vincular esta conta Roblox a uma conta infantil do Xbox. Tente usar outra conta ou verifique suas configurações.
Authentication.Login.Response.AlreadyLinked,Esta conta Roblox já está vinculada a uma conta para a {platform}. Tente fazer login com uma conta Roblox diferente.
Authentication.Login.Response.IncorrectEmailOrPassword,E-mail ou senha incorretos.
Authentication.Login.Response.IncorrectOtpCode,Seu código está incorreto. Confira e tente novamente.
Authentication.Login.Response.IncorrectPhoneOrPassword,Telefone ou senha incorretos.
Authentication.Login.Response.IncorrectUsernamePassword,Nome de usuário ou senha incorretos.
Authentication.Login.Response.InvalidPasskeyCredential,"Não foi possível fazer login com esta senha. Para recuperar o acesso, vá para ""Esqueci a senha ou nome de usuário""."
Authentication.Login.Response.MoreThanOneUsername,Seu e-mail está associado a mais de um nome de usuário. Entre com seu nome de usuário.
Authentication.Login.Response.PlatformAlreadyLinked,Esta conta {platform} já está vinculada a outra conta Roblox. Inicie a sessão com a conta Roblox vinculada.
Authentication.Login.Response.RelinkingFreeze,Esta conta Roblox foi vinculada a outra conta para a {platform} nos últimos 90 dias. Tente entrar com uma conta Roblox diferente.
Authentication.Login.Response.Require2FA,A verificação em 2 passos não é suportada no console. Siga as instruções à direita para entrar na conta com segurança.
Authentication.Login.Response.Require2FAGeneric,"A verificação adicional necessária não é suportada neste dispositivo. Por favor, siga as instruções à direita para entrar com segurança."
Authentication.Login.Response.ServiceUnavailable,Serviço não disponível no momento. Tente novamente mais tarde.
