Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Đã kiểm tra và xác nhận từ 13 tuổi trở lên
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Đã kiểm tra và xác nhận từ 18 tuổi trở lên
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13 – 15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16 – 17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18 – 20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18 – 24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9 – 12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,Trên 21
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5–8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Hủy
Amp.AccountSettingsUpsell.Email.Button.Settings,Cài Đặt
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Vui lòng xác thực email của bạn để truy cập trải nghiệm này.

1. Truy cập Thông Tin Tài Khoản trong Cài Đặt
2. Chọn Thêm Email
3. Hoàn tất quy trình
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Yêu Cầu Xác Thực Email
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Vui lòng xác thực số điện thoại của bạn để truy cập trải nghiệm này.

1. Truy cập Thông Tin Tài Khoản trong Cài Đặt
2. Chọn Thêm Số Điện Thoại
3. Hoàn tất quy trình"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Yêu Cầu Xác Thực Số Điện Thoại
Amp.ErrorScreen.BodyText,Không thể thu thập trạng thái truy cập
Amp.ErrorScreen.Cancel,Hủy Bỏ
Amp.ErrorScreen.Retry,Thử Lại
Amp.ErrorScreen.Title,Đã Xảy Ra Sự Cố
Amp.ErrorScreen.UserMismatchBody,Mã QR này dành cho một tài khoản khác. Hãy chuyển tài khoản và quét lại để tiếp tục.
Amp.ErrorScreen.UserMismatchTitle,Sai tài khoản
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,Hủy bỏ
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Tiếp tục
Amp.FAEUpsell.Modal.ExternalLink.Text,Việc này sẽ giúp mở khóa thêm trò chơi và những tính năng thú vị như trò chuyện.
Amp.FAEUpsell.Modal.ExternalLink.Title,Tiến hành kiểm tra độ tuổi của bạn
Amp.FAEUpsell.Modal.Failed.ButtonClose,Đóng
Amp.FAEUpsell.Modal.Failed.ButtonRetry,Thử lại
Amp.FAEUpsell.Modal.Failed.Text,Đã xảy ra lỗi. Vui lòng thử lại sau.
Amp.FAEUpsell.Modal.Failed.Title,Lỗi khi kiểm tra tuổi
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Quá trình này có thể mất vài phút. Nếu bạn hủy, quá trình kiểm tra độ tuổi có thể không hoàn tất được."
Amp.FAEUpsell.Modal.Loading.Title,Đang kiểm tra tuổi của bạn
Amp.FAEUpsell.Modal.QRCode.Description,Hoàn tất bước kiểm tra độ tuổi để mở khóa thêm trò chơi và tính năng. Quét mã QR này bằng điện thoại hoặc máy tính bảng.
Amp.FAEUpsell.Modal.QRCode.Footer,"Không quét được? Hãy tải ứng dụng Roblox trên thiết bị di động, rồi chuyển đến mục Cài đặt > Thông tin tài khoản"
Amp.FAEUpsell.Modal.QRCode.Title,Hoàn tất quy trình kiểm tra độ tuổi bằng ứng dụng di động
