Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Edad comprobada 13+
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Edad comprobada 18+
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13-15 años
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16-17 años
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18-20 años
AccountIdentity.AgeCheck.Label.AgeGroup18To24,De 18 a 24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12 años
AccountIdentity.AgeCheck.Label.AgeGroupOver21,Más de 21 años
AccountIdentity.AgeCheck.Label.AgeGroupOver25,Mayor de 25
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Cancelar
Amp.AccountSettingsUpsell.Email.Button.Settings,Configuración
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Verifica tu correo electrónico para acceder a esta experiencia.

1. Ve a Información de la cuenta en Configuración
2. Selecciona Añadir correo electrónico
3. Completa el proceso
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Verificación de correo electrónico obligatoria
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Verifica tu télefono para acceder a esta experiencia.

1. Ve a Información de la cuenta en Configuración
2. Selecciona Añadir teléfono
3. Completa el proceso"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Verificación de número de teléfono obligatoria
Amp.ErrorScreen.BodyText,Error al recuperar tu estado de acceso
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Reintentar
Amp.ErrorScreen.Title,Algo salió mal
Amp.ErrorScreen.UserMismatchBody,Este código QR es para una cuenta diferente. Cambia de cuenta y vuelve a escanear para continuar.
Amp.ErrorScreen.UserMismatchTitle,Cuenta incorrecta
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
