Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,13+ po weryfikacji wieku
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,18+ po weryfikacji wieku
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13–15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16–17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18–20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18–24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9–12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21+
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25 i więcej
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5–8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Anuluj
Amp.AccountSettingsUpsell.Email.Button.Settings,Ustawienia
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Aby uzyskać dostęp do tej funkcji, zweryfikuj swój adres e-mail/

1. Przejdź na kartę Informacje o koncie w obszarze Ustawienia.
2. Wybierz opcję Dodaj adres e-mail.
3. Ukończ proces.
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Wymagana weryfikacja adresu e-mail
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Aby uzyskać dostęp do tego projektu, zweryfikuj swój numer telefonu.

1. Przejdź na kartę Informacje o koncie w obszarze Ustawienia.
2. Wybierz opcję Dodaj numer telefonu.
3. Ukończ proces."
Amp.AccountSettingsUpsell.Phone.Modal.Title,Wymagana weryfikacja numeru telefonu
Amp.ErrorScreen.BodyText,Nie udało się pobrać statusu dostępu
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Spróbuj ponownie
Amp.ErrorScreen.Title,Coś poszło nie tak
Amp.ErrorScreen.UserMismatchBody,"Ten kod QR jest przeznaczony dla innego konta. Aby kontynuować, przełącz konta i zeskanuj ponownie."
Amp.ErrorScreen.UserMismatchTitle,Nieprawidłowe konto
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Kontynuuj
Amp.FAEUpsell.Modal.ExternalLink.Text,"To odblokowuje większą liczbę gier i funkcji, takich jak czat."
Amp.FAEUpsell.Modal.ExternalLink.Title,"Sprawdźmy, ile masz lat"
Amp.FAEUpsell.Modal.Failed.ButtonClose,Zamknij
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Coś poszło nie tak. Spróbuj ponownie później.
Amp.FAEUpsell.Modal.Failed.Title,Błąd podczas weryfikacji wieku
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Może to chwilę potrwać. Jeśli anulujesz, Twój wiek może nie zostać zweryfikowany."
Amp.FAEUpsell.Modal.Loading.Title,Weryfikowanie Twojego wieku
Amp.FAEUpsell.Modal.QRCode.Description,"Przejdź weryfikację wieku, aby odblokować większą liczbę gier i funkcji. Zeskanuj ten kod QR przy użyciu telefonu lub tabletu."
Amp.FAEUpsell.Modal.QRCode.Footer,Pobierz aplikację Roblox na urządzenie mobilne i wybierz kolejno Ustawienia > Informacje o koncie.
Amp.FAEUpsell.Modal.QRCode.Title,Przeprowadź weryfikację wieku w aplikacji mobilnej
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Weryfikacja została odrzucona ze względów bezpieczeństwa. Jeżeli chcesz spróbować ponownie, zajrzyj tu za kilka dni."
Amp.IDVErrorScreen.Retry,Coś poszło nie tak. Odśwież stronę i spróbuj ponownie.
Amp.IDVErrorScreen.Timeout,Procedura weryfikacji trwała zbyt długo. Odśwież stronę i spróbuj ponownie.
Amp.IDVErrorScreen.Title,Weryfikacja nieudana
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Rozpocznij weryfikację
Amp.IDVUpsell.Directions.IDBody,"Prawo jazdy, paszport, dowód osobisty, pozwolenie na pobyt stały"
Amp.IDVUpsell.Directions.IDHeader,Przygotuj ważny dokument tożsamości
Amp.IDVUpsell.Directions.PhoneBody,"Aby kontynuować, potrzebujesz smartfona"
Amp.IDVUpsell.Directions.PhoneHeader,Użyj smartfona
Amp.IDVUpsell.Modal.Disclaimer,Uwaga: Za chwilę rozpoczniesz procedurę weryfikacji tożsamości za pośrednictwem naszego zewnętrznego usługodawcy. Zebrane podczas tej procedury informacje zostaną wykorzystane na potrzeby zabezpieczenia twojego konta i/lub włączenia funkcji na platformie Roblox.
Amp.IDVUpsell.Modal.PrivacyLinkText,Polityka prywatności dotycząca kwestii biometrycznych na platformie Roblox
Amp.IDVUpsell.Modal.QRHeaderText,"Aby rozpocząć, zeskanuj kod QR"
Amp.IDVUpsell.Modal.Title,Wymagana jest weryfikacja wieku
Amp.IDVUpsell.PrivacyPageHeader,Polityka prywatności
Amp.Upsell.Action.AskNow,Wyślij prośbę teraz
Amp.Upsell.Description.PrologueEnablePurchase,Ze względu na ograniczenia regionalne do dokonania tego zakupu wymagana jest zgoda rodzica.
Amp.Upsell.Description.PrologueJoinExperience,"Aby można było dołączyć do tego projektu, potrzebna jest zgoda rodzica."
Amp.Upsell.Description.PrologueTextVpc,Potrzebne są uprawnienia rodzicielskie.
Amp.Upsell.Description.PrologueUnblockUser,"Aby odblokować użytkownika {displayName}, potrzebujesz zgody rodzica"
Amp.Upsell.Message.EmailSent,Wysłaliśmy wiadomość e-mail na adres {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,Wysłaliśmy wiadomość e-mail na powiązany adres rodzica
Amp.Upsell.Title.AskYourParent,Wyślij prośbę do rodzica
Amp.Upsell.Title.RequestSent,Wysłano prośbę
Application.Logout.Action.Logout,Wyloguj się
Application.Logout.Message.Confirmation,Czy na pewno chcesz się wylogować?
Authentication.AccountSwitch.Action.SwitchAccount,Przełącz konta
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.CrossDevice.Heading.QuickLogin,Szybkie logowanie
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,"Wyjdź z Robloxa, aby przełączyć konto na {platformAccountName}"
Authentication.Login.Button.UseDifferentRobloxAccount,Użyj innego konta Roblox
Authentication.Login.Error.PasskeyOnlyAccount,Na Twoim koncie skonfigurowano wyłącznie logowanie za pomocą klucza dostępu. Spróbuj zalogować się za pomocą klucza dostępu lub odzyskaj konto.
Authentication.Login.Error.PlatformAccountConnectionFailure,Nie można zweryfikować konta na platformie. Spróbuj ponownie później.
Authentication.Login.Heading.IncompatibleAccounts,Niezgodne konta
Authentication.Login.Label.LearnMore,Dowiedz się więcej
