Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Usia Terperiksa 13+
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Usia Terperiksa 18+
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13–15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16–17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18–20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18—24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9–12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21+
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Batal
Amp.AccountSettingsUpsell.Email.Button.Settings,Pengaturan
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Verifikasi emailmu untuk mengakses fitur ini.

1. Buka Info Akun di Pengaturan
2. Pilih Tambahkan Email
3. Selesaikan prosesnya
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Verifikasi Email Diperlukan
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Verifikasi nomor ponselmu untuk mengakses pengalaman virtual.

1. Buka Info Akun di Pengaturan
2. Pilih Tambahkan Nomor Ponsel
3. Selesaikan prosesnya"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Verifikasi Nomor Ponsel Diperlukan
Amp.ErrorScreen.BodyText,Gagal mengambil status akses kamu
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Coba Lagi
Amp.ErrorScreen.Title,Terjadi Eror
Amp.ErrorScreen.UserMismatchBody,Kode QR ini untuk akun yang berbeda. Ganti akun dan scan lagi untuk melanjutkan.
Amp.ErrorScreen.UserMismatchTitle,Akun salah
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,Batalkan
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Lanjutkan
Amp.FAEUpsell.Modal.ExternalLink.Text,Ini membuka lebih banyak game dan fitur seperti chat.
Amp.FAEUpsell.Modal.ExternalLink.Title,Mari kita periksa usiamu
Amp.FAEUpsell.Modal.Failed.ButtonClose,Tutup
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Terjadi kesalahan. Coba lagi nanti.
Amp.FAEUpsell.Modal.Failed.Title,Kesalahan pemeriksaan usia
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Tunggu sebentar, ya. Jika kamu membatalkan, usiamu mungkin tidak diperiksa."
Amp.FAEUpsell.Modal.Loading.Title,Memeriksa usiamu
Amp.FAEUpsell.Modal.QRCode.Description,Buka lebih banyak game dan fitur saat kamu menyelesaikan pemeriksaan usia. Scan kode QR ini dengan ponsel atau tabletmu.
Amp.FAEUpsell.Modal.QRCode.Footer,Tidak memindai? Download aplikasi Roblox di perangkat selulermu dan buka Pengaturan > Info Akun
Amp.FAEUpsell.Modal.QRCode.Title,Selesaikan pemeriksaan usia dengan aplikasi seluler
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Maaf, verifikasi ditolak oleh karena alasan keamanan. Coba lagi dalam beberapa hari."
Amp.IDVErrorScreen.Retry,Terjadi kesalahan. Refresh lalu coba lagi.
Amp.IDVErrorScreen.Timeout,"Maaf, proses verifikasi membutuhkan waktu lebih lama dari biasanya. Refresh halaman lalu coba lagi."
Amp.IDVErrorScreen.Title,Verifikasi Gagal
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Mulai Verifikasi
Amp.IDVUpsell.Directions.IDBody,"SIM, Paspor, KTP, Izin Tinggal"
Amp.IDVUpsell.Directions.IDHeader,Siapkan ID yang valid
Amp.IDVUpsell.Directions.PhoneBody,Kamu perlu menggunakan smartphone untuk melanjutkan
Amp.IDVUpsell.Directions.PhoneHeader,Gunakan smartphone
Amp.IDVUpsell.Modal.Disclaimer,Harap diperhatikan: Kamu akan segera melakukan proses verifikasi ID dengan penyedia layanan pihak ketiga kami. Informasi yang dikumpulkan melalui proses ini hanya akan digunakan untuk tujuan pengamanan akunmu dan/atau mengaktifkan fitur Roblox.
Amp.IDVUpsell.Modal.PrivacyLinkText,Pemberitahuan Privasi Biometrik Roblox
Amp.IDVUpsell.Modal.QRHeaderText,Scan Kode QR untuk memulai
Amp.IDVUpsell.Modal.Title,Verifikasi Usia Diperlukan
Amp.IDVUpsell.PrivacyPageHeader,Kebijakan Privasi
Amp.Upsell.Action.AskNow,Minta Sekarang
Amp.Upsell.Description.PrologueEnablePurchase,"Karena pembatasan wilayah, kamu perlu izin orang tua untuk melakukan pembelian ini."
Amp.Upsell.Description.PrologueJoinExperience,"Untuk bergabung dengan pengalaman virtual ini, kamu perlu izin orang tua."
Amp.Upsell.Description.PrologueTextVpc,Kamu memerlukan izin orang tua.
Amp.Upsell.Description.PrologueUnblockUser,"Untuk membuka blokir {displayName}, kamu memerlukan izin orang tua"
Amp.Upsell.Message.EmailSent,Kami telah mengirim email ke {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,Kami telah mengirim email ke email orang tuamu yang terdaftar di akunmu
Amp.Upsell.Title.AskYourParent,Minta izin orang tua
Amp.Upsell.Title.RequestSent,Permintaan terkirim
Application.Logout.Action.Logout,Log Out
Application.Logout.Message.Confirmation,Kamu yakin ingin log out?
Authentication.AccountSwitch.Action.SwitchAccount,Beralih Akun
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,Beralih akun
Authentication.CrossDevice.Heading.QuickLogin,Log In Cepat
Authentication.Login.Action.QuickSignIn,Log in cepat
Authentication.Login.Button.CloseAndSwitchPlatformAccount,Keluar dari Roblox untuk beralih ke akun {platformAccountName}
Authentication.Login.Button.UseDifferentRobloxAccount,Gunakan akun Roblox lain
Authentication.Login.Error.PasskeyOnlyAccount,Akunmu hanya memiliki passkey yang diatur untuk log in. Coba log in dengan passkey atau pulihkan akunmu.
Authentication.Login.Error.PlatformAccountConnectionFailure,Tidak dapat memverifikasi akun platform. Coba lagi nanti.
Authentication.Login.Heading.IncompatibleAccounts,Akun Tidak Kompatibel
Authentication.Login.Label.LearnMore,Pelajari selengkapnya
Authentication.Login.LinkIllegalChildAccountLinking,Akun Roblox ini tidak bisa dihubungkan ke akun anak Xbox. Coba akun lain atau periksa pengaturanmu.
Authentication.Login.Response.AlreadyLinked,Akun Roblox ini sudah terhubung ke akun di {platform}. Coba log in dengan akun Roblox yang berbeda.
Authentication.Login.Response.IncorrectEmailOrPassword,Email atau password salah.
Authentication.Login.Response.IncorrectOtpCode,Kode salah. Periksa ulang lalu coba lagi.
Authentication.Login.Response.IncorrectPhoneOrPassword,Nomor ponsel atau password salah.
Authentication.Login.Response.IncorrectUsernamePassword,Nama pengguna atau password salah.
Authentication.Login.Response.InvalidPasskeyCredential,"Tidak dapat log in dengan passkey ini. Untuk mendapatkan kembali akses, buka ""Lupa Password atau Nama Pengguna""."
Authentication.Login.Response.MoreThanOneUsername,Email kamu terhubung dengan lebih dari 1 nama pengguna. Harap log in dengan nama pengguna kamu.
Authentication.Login.Response.PlatformAlreadyLinked,Akun {platform} ini sudah terhubung ke akun Roblox lain. Log in dengan akun Roblox yang terhubung.
Authentication.Login.Response.RelinkingFreeze,Akun Roblox ini sudah terhubung ke akun di {platform} dalam 90 hari terakhir. Coba log in dengan akun Roblox yang berbeda.
Authentication.Login.Response.Require2FA,Verifikasi 2 Langkah tidak didukung di konsol. Harap ikuti petunjuk di bagian kanan untuk log in dengan aman.
Authentication.Login.Response.Require2FAGeneric,Verifikasi tambahan yang diperlukan tidak didukung di perangkat ini. Ikuti petunjuk di bagian kanan untuk log in secara aman.
Authentication.Login.Response.ServiceUnavailable,Layanan tidak tersedia. Coba lagi nanti.
Authentication.Login.Response.SomethingWentWrong,Terjadi kesalahan. Harap coba lagi nanti.
Authentication.Login.Response.UnknownErrorLoginWithDifferentMethod,Ada yang salah. Harap coba cara lain untuk log in.
Authentication.Login.Response.UnverifiedEmailLoginWithUsername,Email kamu belum terverifikasi. Log in dengan nama pengguna kamu.
Authentication.Login.WeChat.AntiAddictionText,"Boikot pengalaman virtual yang tidak baik, tolak pengalaman virtual bajakan. Pahami cara membela diri dan jangan sampai tertipu. Menghabiskan waktu di pengalaman virtual baik untuk otak, tetapi terlalu banyak dapat mengganggu kesehatan. Atur waktumu dengan baik dan nikmati gaya hidup sehat."
Authentication.SignUp.Button.RetryLogIn,Coba log in lagi
Authentication.SignUp.Description.AccountAlreadyLinked,Akunmu di {platformAccountName} sudah terhubung dengan akun Roblox. Coba log in lagi.
Authentication.SignUp.Description.VerificationLinkingText.VariableButtonName,"Akun Roblox-mu akan dihubungkan ke akunmu di {platform}. Kamu dapat memutus hubungan dari layar Pengaturan kapan saja. Kamu mungkin harus menunggu beberapa saat sebelum dapat terhubung ke akun lain di {platform}. Dengan mengklik {ctaButton}, kamu menyetujui Ketentuan Penggunaan termasuk klausa arbitrase dan menerima Kebijakan Privasi."
Authentication.SignUp.Heading.CountryCodeSelector,Pilih negara
Authentication.SignUp.Heading.RetryLogIn,
Authentication.SignUp.Response.ErrorTryAgain,Terjadi eror. Coba lagi nanti.
Authentication.TwoStepVerification.Action.GoToSecurity,
Authentication.TwoStepVerification.Label.TwoStepRequired,Verifikasi 2 Langkah diperlukan untuk melakukan transaksi lebih lanjut. Buka Pengaturan > Keamanan untuk menyelesaikan Verifikasi 2 Langkah.
Authentication.TwoStepVerification.Response.TooManyAttempts,Terlalu banyak percobaan. Coba lagi nanti.
Authentication.TwoStepVerification.Title.VerificationRequired,Verifikasi Diperlukan
AvatarGeneration.SelfieConsent.AgreeButton,Setuju
AvatarGeneration.SelfieConsent.BodyTextLink,"Dengan meng-upload gambar, kamu menyatakan bahwa kamu berhak menggunakannya, serta menyetujui Roblox mengumpulkan, menggunakan, dan membagikan render Gen AI-nya kepada kreator untuk kreasi avatar."
AvatarGeneration.SelfieConsent.CancelButton,
AvatarGeneration.SelfieConsent.PrivacyLinkText,
AvatarGeneration.SelfieConsent.QRBody,{fontStart}Gunakan ponselmu untuk men-scan kode QR dan mengambil selfie.{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorBody,"{fontStart}Untuk mendapatkan kode QR baru, mulai lagi dari game atau pengalaman virtual.{fontEnd}"
AvatarGeneration.SelfieConsent.QRErrorTitle,{fontStart}Sesi telah kedaluwarsa{fontEnd}
AvatarGeneration.SelfieConsent.QRTitle,{fontStart}Scan kode QR untuk memulai{fontEnd}
AvatarGeneration.SelfieConsent.Title,Gunakan gambar untuk membuat avatar saya.
Common.GameSorts.Label.Favorites,Favorit
Common.Presence.Label.InExperience,Dalam Pengalaman Virtual
Common.Presence.Label.Invisible,Tidak Terlihat
Common.Presence.Label.Offline,Offline
Common.Presence.Label.Online,Online
Common.Presence.Label.RobloxStudio,Roblox Studio
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooLong,Animasi terlalu panjang ({duration} detik). Animasi emote harus berdurasi maksimal {maxLength} detik.
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooShort,Animasi terlalu pendek ({duration} detik). Animasi emote harus berdurasi lebih dari {minLength} detik.
Common.UGCValidation.ErrorLabel.AQSFail_MeshIslandML,Tubuhmu berisi komponen mesh kecil yang terputus (mesh island). Hapus geometri yang mengambang dan pastikan semua bagian mesh tersambung dengan benar.
Common.UGCValidation.ErrorLabel.AQSFail_TooManyDisconnectedComponents,"Kualitas aset: {partName} memiliki {num_disconnected_components} komponen yang terputus, yang melebihi batas maksimum {max_disconnected_components}."
Common.UGCValidation.ErrorLabel.AQSInputDataError,Skor kualitas tidak dapat dihitung dengan benar karena data input salah atau tidak lengkap. Periksa model Anda atau ajukan laporan bug
Common.UGCValidation.ErrorLabel.AQSInternalError,"Skor tidak dapat dibuat karena Kesalahan Kualitas Aset. Periksa kebenaran data input dan coba lagi, atau ajukan laporan bug."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistance,"Peringatan kualitas aset: Skor jarak antara cage dan mesh adalah {score}. Jarak maksimal antara cage luar dan mesh adalah {max_distance}, {negative_sdf_percent}% dari verteks cage luar berada di dalam mesh render."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceAvatar,"Peringatan kualitas aset: Skor jarak cage tubuh adalah{score}. Jarak maksimal antara cage tubuh dan mesh adalah{max_distance}, {negative_sdf_percent}% dari verteks cage tubuh berada di dalam mesh tubuh."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceHead,"Peringatan kualitas aset: Skor jarak cage kepala adalah {score}. Jarak maksimal antara cage kepala dan mesh adalah {max_distance}, {negative_sdf_percent}% dari verteks cage kepala berada di dalam mesh kepala."
Common.UGCValidation.ErrorLabel.AQSWarn_CageRelevancy,Peringatan kualitas aset: Skor relevansi cage adalah {score}. {irrelevant_percent}% dari verteks cage luar yang dimodifikasi tidak mencakup aksesori.
Common.UGCValidation.ErrorLabel.AQSWarn_CageUV,Peringatan kualitas aset: Skor UV cage adalah {score} untuk {cage_name}. Jumlah UV salah: {incorrect_uv_count}.
Common.UGCValidation.ErrorLabel.AQSWarn_DegenTriangles,Kualitas aset: {partName} memiliki {degenerate_triangle_percent}% segitiga degenerasi (skor: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_DynamicHead,Peringatan kualitas aset: Skor ekspresi kepala dinamis adalah {score}.
Common.UGCValidation.ErrorLabel.AQSWarn_JointNumber,"Kualitas aset: konfigurasi sendi mendapat skor {score} (sendi: {joint_number}, tangan kiri: {left_hand_joint_number}, tangan kanan: {right_hand_joint_number})."
Common.UGCValidation.ErrorLabel.AQSWarn_MeshIslandVolume,Kualitas aset: {partName} memiliki {num_small_volume_islands} pulau kecil yang terputus dari {num_disconnected_components} komponen (skor: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshManifold,Kualitas aset: {partName} memiliki masalah manifold mesh (skor: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshNotWatertight,Kualitas aset: Mesh {partName} tidak tertutup rapat ({boundary_edges_percent}% tepi batas).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshOutsideOuterCage,Peringatan kualitas aset: Skor containment mesh adalah {score}. {mesh_outside_outer_cage_percent}% dari verteks mesh berada di luar cage luar.
Common.UGCValidation.ErrorLabel.AQSWarn_MissingData,Skor kualitas aset untuk {measureName} tidak dapat dihitung karena data input tidak lengkap atau tidak valid. Ini tidak memblokir upload-mu.
Common.UGCValidation.ErrorLabel.AQSWarn_TextureComplexity,Kualitas aset: tekstur {textureName} memiliki kompleksitas rendah (skor: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TextureResolution,Kualitas aset: tekstur {textureName} memiliki resolusi {texture_width}x{texture_height} (skor: {score}).
