Key,Value
CoreScripts.Ads.Label.Teleporting,テレポート中...
Corescripts.AvatarContextMenu.FriendRequestPending,友達リクエスト中
Corescripts.AvatarContextMenu.AddFriend,友達を追加
Corescripts.AvatarContextMenu.Friends,友達
Corescripts.AvatarContextMenu.AcceptFriendRequest,友達リクエストを承認する
Corescripts.AvatarContextMenu.Chat,チャット
Corescripts.AvatarContextMenu.ChatDisabled,チャットを無効にしました
Corescripts.AvatarContextMenu.Wave,手を振って挨拶
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,アイテムにアクセスしますか？
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} さんがあなたのアバターアイテムへのアクセスを希望しています
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,アバターキャラクターを保存
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Robloxにこのキャラクターを保存しますか？ 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,いいえ
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,はい
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,キャンセル
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,OK
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,アバターにアイテムを装備
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} さんがあなたのアバターに以下の変更を希望しています:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,OK
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,キャンセル
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,アイテムをお気に入り登録
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,{RBX_NAME} をお気に入りに追加しますか？
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,アイテムのお気に入り登録を解除
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,{RBX_NAME} をお気に入りから削除しますか？
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,いいえ
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,はい
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,キャラクター名を入力
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,キャラクター名
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,確認
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,読み込みできませんでした
CoreScripts.AvatarEditorPrompts.Adding,追加中:
CoreScripts.AvatarEditorPrompts.Removing,削除中:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,アイテム変更なし
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,キャンセル
CoreScripts.PremiumModal.Title.PremiumRequired,プレミアム限定
CoreScripts.PremiumModal.Body.Description,Robloxプレミアムには以下が含まれています。
CoreScripts.PremiumModal.Body.RobuxMonthly,1ヶ月に450Robux
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,プレミアム限定特典にアクセス
CoreScripts.PremiumModal.Body.RobuxDiscount,Robux購入時に10%のボーナス
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/月額
CoreScripts.PremiumModal.Error.PlatformUnavailable,お使いのプラットフォームはRoblox プレミアムの購入に対応していません。プレミアムを購入するにはデスクトップをお使いください。
