Key,Value
CoreScripts.Ads.Label.Teleporting,กำลังเทเลพอร์ต...
Corescripts.AvatarContextMenu.FriendRequestPending,คำขอเป็นเพื่อนที่รอดำเนินการอยู่
Corescripts.AvatarContextMenu.AddFriend,เพิ่มเพื่อน
Corescripts.AvatarContextMenu.Friends,เพื่อน
Corescripts.AvatarContextMenu.AcceptFriendRequest,ยอมรับคำขอเป็นเพื่อน
Corescripts.AvatarContextMenu.Chat,แชท
Corescripts.AvatarContextMenu.ChatDisabled,ปิดใช้งานการแชท
Corescripts.AvatarContextMenu.Wave,ทักทาย
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,ต้องการเข้าถึงไอเท็มหรือไม่?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} ต้องการเข้าถึงไอเท็มของอวาตาร์ของคุณ
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,บันทึกตัวละครอวาตาร์
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,คุณต้องการบันทึกตัวละครนี้บน Roblox ใช่หรือไม่? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,ไม่ใช่
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,ใช่
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,ยกเลิก
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,ตกลง
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,สวมใส่ไอเท็มให้อวาตาร์
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} ต้องการทำการเปลี่ยนเแปลงต่อไปนี้กับอวาตาร์ของคุณ:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,ตกลง
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,ยกเลิก
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,ไอเท็มโปรด
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,"คุณต้องการเพิ่ม ""{RBX_NAME}"" ไปยังรายการโปรดใช่หรือไม่?"
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,ลบไอเท็มนี้ออกจากรายการโปรด
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,"คุณต้องการลบ ""{RBX_NAME}"" ออกจากรายการโปรดใช่หรือไม่?"
