Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,Superiore a 13 anni
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Età superiore a 13 anni verificata
AccountIdentity.AgeCheck.Label.AgeBandOver18,Superiore a 18 anni
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Età superiore a 18 anni verificata
AccountIdentity.AgeCheck.Label.AgeBandUnder13,Età inferiore a 13 anni
AccountIdentity.AgeCheck.Label.AgeGroup13To15,tra 13 e 15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,tra 16 e 17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,tra 18 e 20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,tra 9 e 12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,oltre 21
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.ErrorScreen.BodyText,Impossibile recuperare il tuo stato di accesso
Amp.ErrorScreen.Cancel,Annulla
Amp.ErrorScreen.Retry,Riprova
Amp.ErrorScreen.Title,Qualcosa è andato storto
Amp.ErrorScreen.UserMismatchBody,Questo codice QR è per un altro account. Cambia account ed esegui di nuovo la scansione per continuare.
Amp.ErrorScreen.UserMismatchTitle,Account errato
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Continua
Amp.FAEUpsell.Modal.ExternalLink.Text,Questo sblocca altri giochi e funzionalità come la chat.
Amp.FAEUpsell.Modal.ExternalLink.Title,Verifichiamo la tua età
Amp.FAEUpsell.Modal.Failed.ButtonClose,Chiudi
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Qualcosa è andato storto. Riprova più tardi.
Amp.FAEUpsell.Modal.Failed.Title,Verifica dell'età non riuscita
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"L'operazione potrebbe richiedere alcuni minuti. Annullandola, la tua età potrebbe non essere verificata."
Amp.FAEUpsell.Modal.Loading.Title,Verifica dell'età
Amp.FAEUpsell.Modal.QRCode.Description,Sblocca altri giochi e funzionalità completando la verifica dell'età. Scansiona questo codice QR con il tuo telefono o tablet.
Amp.FAEUpsell.Modal.QRCode.Footer,Non riesci a scansionare? Scarica l'app Roblox sul tuo dispositivo mobile e vai a Impostazioni > Informazioni account
Amp.FAEUpsell.Modal.QRCode.Title,Completa la verifica dell'età con l'app per dispositivi mobili
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Siamo spiacenti, la tua verifica è stata rifiutata per motivi di sicurezza. Se vuoi riprovare, controlla nuovamente tra qualche giorno."
Amp.IDVErrorScreen.Retry,"Qualcosa è andato storto, si prega di aggiornare e riprovare più tardi."
