Key,Value
CoreScripts.Ads.Label.Teleporting,Işınlanıyor...
Corescripts.AvatarContextMenu.FriendRequestPending,Arkadaşlık İsteği Beklemede
Corescripts.AvatarContextMenu.AddFriend,Arkadaş Ekle
Corescripts.AvatarContextMenu.Friends,Arkadaşsın
Corescripts.AvatarContextMenu.AcceptFriendRequest,Arkadaşlık İsteğini Kabul Et
Corescripts.AvatarContextMenu.Chat,Sohbet Et
Corescripts.AvatarContextMenu.ChatDisabled,Sohbet Devre Dışı
Corescripts.AvatarContextMenu.Wave,El Salla
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Öğelere erişime izin verilsin mi?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,"{RBX_NAME}, senin avatarının öğelerine erişmek istiyor"
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Avatar Karakterini Kaydet
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Bu karakteri Roblox'a kaydetmek ister misin? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Hayır
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Evet
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,İptal Et
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Tamam
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Avatarı Öğelerle Donat
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,"{RBX_NAME}, senin avatarına aşağıda belirtilen değişiklikleri yapmak istiyor:"
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Tamam
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,İptal Et
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Öğeyi Favorile
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,{RBX_NAME} öğesini favorilere eklemek ister misin?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Öğeyi Favorilerden Çıkar
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,{RBX_NAME} öğesini favorilerden çıkarmak ister misin?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Hayır
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Evet
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Karakter Adını Gir
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Karakter Adı
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Onayla
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Yükleme Başarısız
CoreScripts.AvatarEditorPrompts.Adding,Şunlar ekleniyor:
CoreScripts.AvatarEditorPrompts.Removing,Şunlar çıkarılıyor:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Öğe değişikliği yapılmadı
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,İptal Et
CoreScripts.PremiumModal.Title.PremiumRequired,Yalnızca Premium'a Özel
CoreScripts.PremiumModal.Body.Description,Roblox Premium sana şunları kazandırır:
CoreScripts.PremiumModal.Body.RobuxMonthly,Ayda 450 Robux
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Yalnızca Premium'a özel avantajlara erişim
CoreScripts.PremiumModal.Body.RobuxDiscount,Robux satın alırken %10 bonus
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/aylık
CoreScripts.PremiumModal.Error.PlatformUnavailable,"Kullandığın platform, Roblox Premium satın alımını desteklemiyor. Premium'u satın almak için lütfen masaüstünü kullan."
CoreScripts.PremiumModal.Error.AlreadyPremium,Görünüşe göre geliştirici senden Roblox Premium satın almanı istiyor ama sen zaten bir Premium üyesin!
CoreScripts.PremiumModal.Error.Unavailable,Premium şu anda mevcut değil. Lütfen daha sonra tekrar dene!
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,Aylık {robux} Robux
CoreScripts.PremiumModal.Error.FailedNativePurchase,"Satın alım tamamlanmadı, lütfen tekrar dene."
CoreScripts.PremiumModal.Title.Error,Hata
CoreScripts.ScreenshotHud.Action.TakePhoto,Ekran Görüntüsü Al
CoreScripts.ScreenshotHud.Action.Cancel,İptal Et
CoreScripts.TextChat.ChatWindow.Welcome,"Sohbet komut listesi için sohbete ""/?"" veya ""/help"" yaz."
CoreScripts.TextChat.FriendsChat.LoadConversationsError,
CoreScripts.TextChat.FriendsChat.LoadingConversations,
CoreScripts.TextChat.FriendsChat.NoConversationsYet,
CoreScripts.TextChat.FriendsChat.NoLoadedConversationsFound,
CoreScripts.TextChat.Emote.Error.AnimationPlaying,Bu eylem sırasında İfade kullanamazsın.
CoreScripts.TextChat.Emote.Error.NoMatchingEmote,Bu İfadeyi kullanamazsın.
CoreScripts.TextChat.Emote.Error.R15Only,Yalnızca R15 avatarları İfade kullanabilir.
CoreScripts.TextChat.Emote.Error.TemporarilyUnavailable,Şu anda İfade kullanamazsın.
CoreScripts.TextChat.Emote.Error.DoesNotExist,İfade mevcut değil.
