Key,Value
CoreScripts.Ads.Label.Teleporting,传送中...
Corescripts.AvatarContextMenu.FriendRequestPending,好友邀请待处理
Corescripts.AvatarContextMenu.AddFriend,添加好友
Corescripts.AvatarContextMenu.Friends,好友
Corescripts.AvatarContextMenu.AcceptFriendRequest,接受好友邀请
Corescripts.AvatarContextMenu.Chat,聊天
Corescripts.AvatarContextMenu.ChatDisabled,聊天已停用
Corescripts.AvatarContextMenu.Wave,招手
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,访问道具？
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} 想访问你的虚拟形象道具
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,保存虚拟形象角色
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,将此角色保存至罗布乐思？ 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,否
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,是
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,取消
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,确定
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,为虚拟形象装备道具
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} 想对您的虚拟形象作出以下更改：
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,确定
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,取消
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,最爱道具
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,将 {RBX_NAME} 添加至最爱？
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,移出最爱的道具
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,将 {RBX_NAME} 从“最爱”中移除？
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,否
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,是
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,输入角色名称
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,角色名称
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,确认
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,加载失败
CoreScripts.AvatarEditorPrompts.Adding,添加：
CoreScripts.AvatarEditorPrompts.Removing,移除：
CoreScripts.AvatarEditorPrompts.NoChangedAssets,道具没有更改
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,取消
CoreScripts.PremiumModal.Title.PremiumRequired,仅限 Premium
CoreScripts.PremiumModal.Body.Description,罗布乐思 Premium 将给你：
CoreScripts.PremiumModal.Body.RobuxMonthly,每月 450 罗宝
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Premium 会员限定福利
CoreScripts.PremiumModal.Body.RobuxDiscount,购买罗宝时额外增送 10%
CoreScripts.PremiumModal.Action.PricePerMonth,{price} / 月
CoreScripts.PremiumModal.Error.PlatformUnavailable,你的平台不支持购买罗布乐思 Premium。请使用电脑购买 Premium 会员。
CoreScripts.PremiumModal.Error.AlreadyPremium,开发者似乎想给你发送购买罗布乐思 Premium 的提示，但你已经是 Premium 会员了！
