Key,Value
CoreScripts.Ads.Label.Teleporting,Teleportowanie...
Corescripts.AvatarContextMenu.FriendRequestPending,Oczekująca prośba o dodanie do znajomych
Corescripts.AvatarContextMenu.AddFriend,Dodaj znajomego
Corescripts.AvatarContextMenu.Friends,Znajomi
Corescripts.AvatarContextMenu.AcceptFriendRequest,Zaakceptuj prośbę o dodanie do znajomych
Corescripts.AvatarContextMenu.Chat,Czat
Corescripts.AvatarContextMenu.ChatDisabled,Czat wyłączony
Corescripts.AvatarContextMenu.Wave,Pomachaj
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Udzielić dostępu do przedmiotów?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} chce uzyskać dostęp do przedmiotów twojego awatara
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Zapisz postać awatara
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Czy chcesz zapisać tę postać na platformie Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Nie
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Tak
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Anuluj
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,OK
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Wyposaż awatara w przedmioty
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} chce wprowadzić w twoim awatarze następujące zmiany:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,OK
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Anuluj
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Dodaj przedmiot do ulubionych
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Czy chcesz dodać przedmiot {RBX_NAME} do ulubionych?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Usuń przedmiot z ulubionych
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Czy chcesz usunąć przedmiot {RBX_NAME} z ulubionych?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Nie
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Tak
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Wprowadź nazwę postaci
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Nazwa postaci
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Potwierdź
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Nie udało się wczytać
CoreScripts.AvatarEditorPrompts.Adding,Dodawanie:
CoreScripts.AvatarEditorPrompts.Removing,Usuwanie:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Nie zmieniono przedmiotów
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Anuluj
CoreScripts.PremiumModal.Title.PremiumRequired,Tylko dla członków premium
CoreScripts.PremiumModal.Body.Description,Korzyści z usługi Roblox Premium:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robuxów miesięcznie
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Dostęp do funkcji premium
CoreScripts.PremiumModal.Body.RobuxDiscount,10% premii przy zakupie Robuxów
