Key,Value
CoreScripts.Ads.Label.Teleporting,Teletransportando...
Corescripts.AvatarContextMenu.FriendRequestPending,Solicitud de amistad pendiente
Corescripts.AvatarContextMenu.AddFriend,Añadir amistad
Corescripts.AvatarContextMenu.Friends,Amistades
Corescripts.AvatarContextMenu.AcceptFriendRequest,Aceptar solicitud de amistad
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat desactivado
Corescripts.AvatarContextMenu.Wave,Saludar
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,¿Acceder a los objetos?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} quiere acceder a los objetos de tu avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Guardar el avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,¿Quieres guardar este avatar en Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,No
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Sí
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Cancelar
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Aceptar
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Equipar avatar con los objetos
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} quiere hacer los siguientes cambios a tu avatar:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Aceptar
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Cancelar
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Añadir objeto a Favoritos
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,¿Quieres añadir {RBX_NAME} a tus favoritos?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Quitar objeto de Favoritos
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,¿Quieres quitar {RBX_NAME} de tus favoritos?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,No
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Sí
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Ingresar el nombre del personaje
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Nombre del personaje
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Confirmar
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Error al cargar
CoreScripts.AvatarEditorPrompts.Adding,Añadir:
CoreScripts.AvatarEditorPrompts.Removing,Eliminar:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,No hay cambios de objetos
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Cancelar
CoreScripts.PremiumModal.Title.PremiumRequired,Solo para Premium
CoreScripts.PremiumModal.Body.Description,Con Roblox Premium también obtienes:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robux al mes
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Acceso a beneficios exclusivos para suscriptores de Premium
CoreScripts.PremiumModal.Body.RobuxDiscount,10% de Robux extra en la compra de nuestra moneda virtual
CoreScripts.PremiumModal.Action.PricePerMonth,{price} al mes
CoreScripts.PremiumModal.Error.PlatformUnavailable,La compra de Roblox Premium no es compatible con tu plataforma. Usa un equipo de escritorio para suscribirte.
CoreScripts.PremiumModal.Error.AlreadyPremium,"Parece que el desarrollador te quiere motivar a que te suscribas a Premium, pero tú ya tienes una suscripción a Premium."
CoreScripts.PremiumModal.Error.Unavailable,Premium no está disponible en este momento. Inténtalo más tarde.
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,{robux} Robux al mes
