Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,13+ Age Checked
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,18+ Age Checked
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13-15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16-17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18-20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21+
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Cancel
Amp.AccountSettingsUpsell.Email.Button.Settings,Settings
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Please verify your email to access this feature

1. Go to Account Info in Settings
2. Choose Add Email
3. Complete the process
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Email Verification Required
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Please verify your phone to access this experience.

1. Go to Account Info in Settings
2. Choose Add Phone
3. Complete the process"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Phone Verification Required
Amp.ErrorScreen.BodyText,Failed to fetch your access status
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Retry
Amp.ErrorScreen.Title,Something Went Wrong
Amp.ErrorScreen.UserMismatchBody,This QR code is for a different account. Switch accounts and scan again to continue.
Amp.ErrorScreen.UserMismatchTitle,Wrong account
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Continue
Amp.FAEUpsell.Modal.ExternalLink.Text,This unlocks more games and features like chat.
Amp.FAEUpsell.Modal.ExternalLink.Title,Let’s check your age
Amp.FAEUpsell.Modal.Failed.ButtonClose,Close
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Something went wrong. Please try again later.
Amp.FAEUpsell.Modal.Failed.Title,Age check error
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"This may take a few moments. If you cancel, your age may not be checked."
Amp.FAEUpsell.Modal.Loading.Title,Checking your age
Amp.FAEUpsell.Modal.QRCode.Description,Unlock more games and features when you complete an age check. Scan this QR code with your phone or tablet.
Amp.FAEUpsell.Modal.QRCode.Footer,Not scanning? Download the Roblox app on your mobile device and go to Settings > Account Info
