Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,वेरिफ़ाई किए गए 13+ उम्र के यूज़र
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,वेरिफ़ाई किए गए 18+ उम्र के यूज़र
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13-15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16-17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18-20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21+
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.ErrorScreen.BodyText,आपका ऐक्सेस स्टेटस नहीं मिला
Amp.ErrorScreen.Cancel,कैंसिल करें
Amp.ErrorScreen.Retry,फिर से कोशिश करें
Amp.ErrorScreen.Title,कुछ गड़बड़ी हुई
Amp.ErrorScreen.UserMismatchBody,"यह QR कोड किसी दूसरे अकाउंट के लिए है. जारी रखने के लिए, अकाउंट बदलें और फिर से स्कैन करें."
Amp.ErrorScreen.UserMismatchTitle,गलत अकाउंट
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,जारी रखें
Amp.FAEUpsell.Modal.ExternalLink.Text,"इससे, ज़्यादा गेम्स और चैट जैसे फ़ीचर्स अनलॉक हो जाते हैं."
Amp.FAEUpsell.Modal.ExternalLink.Title,आइए आपकी उम्र वेरिफ़ाई करें
Amp.FAEUpsell.Modal.Failed.ButtonClose,बंद करें
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,कुछ गड़बड़ी हुई. बाद में कोशिश करें.
Amp.FAEUpsell.Modal.Failed.Title,उम्र से जुड़ी जाँच में गड़बड़ी हुई
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"इसमें कुछ समय लग सकता है. कैंसिल करने पर, हो सकता है कि आपकी उम्र का वेरिफ़िकेशन न हो."
Amp.FAEUpsell.Modal.Loading.Title,आपकी उम्र की जाँच की जा रही है
Amp.FAEUpsell.Modal.QRCode.Description,उम्र का वेरिफ़िकेशन पूरा करके और ज़्यादा गेम्स और फ़ीचर अनलॉक करें. अपने फ़ोन या टैबलेट से इस QR कोड को स्कैन करें.
Amp.FAEUpsell.Modal.QRCode.Footer,स्कैन नहीं हो पा रहा है? अपने मोबाइल डिवाइस पर Roblox ऐप डाउनलोड करें और सेटिंग > अकाउंट की जानकारी पर जाएँ
Amp.FAEUpsell.Modal.QRCode.Title,मोबाइल ऐप के ज़रिए उम्र का वेरिफ़िकेशन पूरा करें
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"माफ़ करें, सुरक्षा कारणों से आपका वेरिफ़िकेशन नामंज़ूर कर दिया गया था. अगर आपको फिर से कोशिश करनी है, तो कुछ दिनों बाद फिर से देखें."
Amp.IDVErrorScreen.Retry,"कुछ गड़बड़ी हुई. पेज को रीफ़्रेश करके, फिर से कोशिश करें."
Amp.IDVErrorScreen.Timeout,"माफ़ करें, वेरिफ़िकेशन प्रॉसेस में बहुत ज़्यादा समय लगा. पेज को रीफ़्रेश करके, फिर से कोशिश करें."
Amp.IDVErrorScreen.Title,वेरिफ़िकेशन नहीं किया जा सका
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,वेरिफ़िकेशन शुरू करें
Amp.IDVUpsell.Directions.IDBody,"ड्राइविंग लाइसेंस, पासपोर्ट, ID कार्ड, निवास परमिट"
