Key,Value
CoreScripts.Ads.Label.Teleporting,انتقال فوري...
Corescripts.AvatarContextMenu.FriendRequestPending,طلب صداقة معلق
Corescripts.AvatarContextMenu.AddFriend,إضافة صديق
Corescripts.AvatarContextMenu.Friends,الأصدقاء
Corescripts.AvatarContextMenu.AcceptFriendRequest,قبول طلب الصداقة
Corescripts.AvatarContextMenu.Chat,دردشة
Corescripts.AvatarContextMenu.ChatDisabled,الدردشة معطلة
Corescripts.AvatarContextMenu.Wave,تلويح
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,الوصول إلى العناصر؟
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,يريد المستخدم {RBX_NAME} الاطلاع على عناصر أفاتارك
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,حفظ شخصية الأفاتار
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,هل تريد حفظ هذه الشخصية في Roblox؟ 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,لا
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,نعم
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,إلغاء
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,حسنًا
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,تجهيز الأفاتار بالعناصر
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,يريد المستخدم {RBX_NAME} إجراء تعديلات على عناصر أفاتارك:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,حسنًا
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,إلغاء
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,تفضيل العنصر
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,هل تريد إضافة {RBX_NAME} إلى المفضلة؟
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,إلغاء تفضيل العنصر
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,هل تريد إزالة {RBX_NAME} من المفضلة؟
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,لا
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,نعم
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,أدخل اسم الشخصية
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,اسم الشخصية
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,تأكيد
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,تعذّر التحميل
CoreScripts.AvatarEditorPrompts.Adding,إضافة:
CoreScripts.AvatarEditorPrompts.Removing,إزالة:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,لم تتغير أي عناصر
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,إلغاء
CoreScripts.PremiumModal.Title.PremiumRequired,خاص بـ Premium
CoreScripts.PremiumModal.Body.Description,تعطيك Premium:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robux شهريًا
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,الوصول إلى مزايا المميزة فقط بـ Premium
CoreScripts.PremiumModal.Body.RobuxDiscount,خصم 10% عند شراء Robux
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/شهريًا
CoreScripts.PremiumModal.Error.PlatformUnavailable,شراء Roblox Premium غير مدعوم على هذه المنصة. الرجاء استعمال كمبيوتر شخصي لشراء Premium.
CoreScripts.PremiumModal.Error.AlreadyPremium,يبدو أن المطور يحاول أن يعرض عليك شراء Roblox Premium إلا أنك حاليًا عضو في Premium.
CoreScripts.PremiumModal.Error.Unavailable,Premium غير متوفر حاليًا. الرجاء المحاولة لاحقًا.
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,{robux} Robux شهريًا
CoreScripts.PremiumModal.Error.FailedNativePurchase,لم تكتمل عملية الشراء، الرجاء المحاولة مجددًا.
CoreScripts.PremiumModal.Title.Error,خطأ
CoreScripts.ScreenshotHud.Action.TakePhoto,التقط صورة
CoreScripts.ScreenshotHud.Action.Cancel,إلغاء
CoreScripts.TextChat.ChatWindow.Welcome,دردشة '/?' أو '/help' لقائمة أوامر الدردشة.
CoreScripts.TextChat.FriendsChat.LoadConversationsError,
CoreScripts.TextChat.FriendsChat.LoadingConversations,
CoreScripts.TextChat.FriendsChat.NoConversationsYet,
CoreScripts.TextChat.FriendsChat.NoLoadedConversationsFound,
CoreScripts.TextChat.Emote.Error.AnimationPlaying,لا يمكنك استخدام Emotes بنفس وقت هذا الإجراء.
CoreScripts.TextChat.Emote.Error.NoMatchingEmote,لا يمكنك استخدام Emote.
CoreScripts.TextChat.Emote.Error.R15Only,فقط الأفاتار R15 يمكنها استخدام Emotes.
CoreScripts.TextChat.Emote.Error.TemporarilyUnavailable,لا يمكنك استخدام Emote حاليًا.
CoreScripts.TextChat.Emote.Error.DoesNotExist,Emote غير موجود.
CoreScripts.TextChat.Emote.Error.NotEquipped,لست مجهزًا بتلك Emote.
CoreScripts.TextChat.Emote.Error.NotEnabled,لا يمكنك استخدام Emote هنا.
