Key,Value
CoreScripts.Ads.Label.Teleporting,Телепортация...
Corescripts.AvatarContextMenu.FriendRequestPending,Запрос о дружбе на рассмотрении
Corescripts.AvatarContextMenu.AddFriend,Добавить друга
Corescripts.AvatarContextMenu.Friends,Друзья
Corescripts.AvatarContextMenu.AcceptFriendRequest,Принять запрос дружбы
Corescripts.AvatarContextMenu.Chat,Чат
Corescripts.AvatarContextMenu.ChatDisabled,Чат отключён
Corescripts.AvatarContextMenu.Wave,Волна
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Разрешить доступ к предметам?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} запрашивает доступ к предметам аватара
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Сохранение аватара персонажа
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Хочешь сохранить этого персонажа в Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Нет
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Да
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Отмена
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,ОК
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Снаряжение аватара предметами
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} хочет внести изменения в твой аватар:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,ОК
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Отмена
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Добавление в избранное
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Хочешь добавить в избранное {RBX_NAME}?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Удаление из избранного
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Хочешь удалить из избранного {RBX_NAME}?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Нет
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Да
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Введи имя персонажа
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Имя персонажа
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Подтвердить
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Загрузка не удалась
CoreScripts.AvatarEditorPrompts.Adding,Добавление:
CoreScripts.AvatarEditorPrompts.Removing,Удаление:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Изменения отсутствуют
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Отмена
CoreScripts.PremiumModal.Title.PremiumRequired,Только для подписчиков Premium
CoreScripts.PremiumModal.Body.Description,Преимущества Roblox Premium:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robux в месяц;
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Доступ к преимуществам только для подписчиков Premium
CoreScripts.PremiumModal.Body.RobuxDiscount,бонус в 10% при покупке Robux.
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/месяц
CoreScripts.PremiumModal.Error.PlatformUnavailable,Покупка Roblox Premium не поддерживается на этой платформе. Используй компьютер для покупки.
CoreScripts.PremiumModal.Error.AlreadyPremium,"Похоже, разработчик пытается убедить тебя купить подписку Roblox Premium, а она у тебя уже есть!"
CoreScripts.PremiumModal.Error.Unavailable,В настоящий момент подписка Premium недоступна. Повтори попытку позже!
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,{robux} Robux в месяц;
CoreScripts.PremiumModal.Error.FailedNativePurchase,"Покупка не удалась, попробуй ещё раз."
CoreScripts.PremiumModal.Title.Error,Ошибка
CoreScripts.ScreenshotHud.Action.TakePhoto,Сделать снимок
CoreScripts.ScreenshotHud.Action.Cancel,Отмена
CoreScripts.TextChat.ChatWindow.Welcome,Chat '/?' или '/help': списко команд чата
CoreScripts.TextChat.FriendsChat.LoadConversationsError,
CoreScripts.TextChat.FriendsChat.LoadingConversations,
CoreScripts.TextChat.FriendsChat.NoConversationsYet,
CoreScripts.TextChat.FriendsChat.NoLoadedConversationsFound,
CoreScripts.TextChat.Emote.Error.AnimationPlaying,Во время этого действия эмоции недоступны.
CoreScripts.TextChat.Emote.Error.NoMatchingEmote,Невозможно использовать эту эмоцию.
CoreScripts.TextChat.Emote.Error.R15Only,Только аватары R15 могут использовать эмоции.
CoreScripts.TextChat.Emote.Error.TemporarilyUnavailable,Невозможно использовать эмоции сейчас.
CoreScripts.TextChat.Emote.Error.DoesNotExist,Эмоция не существует.
CoreScripts.TextChat.Emote.Error.NotEquipped,Эта эмоция не установлена.
CoreScripts.TextChat.Emote.Error.NotEnabled,Невозможно использовать эту эмоцию здесь.
CoreScripts.TextChat.Help.FirstLine,Это основные команды чата:
CoreScripts.TextChat.InputBar.Hint.MouseKeyboard,"Чтобы отправить сообщение в чате, нажми здесь или на клавишу {KEY}"
CoreScripts.TextChat.InputBar.Hint.PrivacySettingsDisabled,В настройках чата заблокирована возможность отправлять и получать сообщения.
CoreScripts.TextChat.InputBar.Hint.Touch,"Нажми, чтобы написать"
CoreScripts.TextChat.MessageStatus.Warning.Floodchecked,"Необходимо подождать, прежде чем отправлять новое сообщение."
CoreScripts.TextChat.MessageStatus.Warning.InvalidChannelPermissions,Ты не можешь говорить в этом канале.
CoreScripts.TextChat.MessageStatus.Warning.InvalidPrivacySettings,В настройках чата заблокирована возможность отправлять и получать сообщения.
CoreScripts.TextChat.MessageStatus.Warning.MessageTooLong,Превышено максимально допустимое количество символов в сообщении.
CoreScripts.TextChat.MessageStatus.Warning.TextFilterFailed,Могут возникать задержки в отображении сообщений из-за проблем с фильтром чата.
CoreScripts.TextChat.MessageStatus.Warning.Unknown,Не удалось отправить сообщение.
CoreScripts.TextChat.Mute.Error.CannotMuteSelf,Невозможно отключить звук.
CoreScripts.TextChat.Mute.Error.MultipleMatches,Следующие пользователи имеют это отображаемое имя: {RBX_LIST_NAMES}
CoreScripts.TextChat.Mute.Error.TargetDoesNotExist,Пользователь {RBX_NAME} не существует.
CoreScripts.TextChat.Mute.Help.Description,/mute <user> : отключить звук пользователя
CoreScripts.TextChat.Mute.Success,Звук пользователя {RBX_NAME} отключён.
CoreScripts.TextChat.Notification.Friend.Joined,Твой контакт {RBX_NAME} присоединяется к плейсу.
CoreScripts.TextChat.Notification.Team.Joined,Ты теперь в команде {RBX_NAME}.
CoreScripts.TextChat.Notification.WhisperChat.Created,Ты в канале для личного общения с пользователем {RBX_NAME}.
CoreScripts.TextChat.TeamChat.Error.NotOnTeam,"Ты не можешь общаться в командном чате, если не состоишь в команде."
CoreScripts.TextChat.TeamChat.Help.Description,/team <message> или /t <message> : отправить сообщение всем в твоей команде
CoreScripts.TextChat.TeamChat.PrefixText,[Команда]
CoreScripts.TextChat.Unmute.Help.Description,/unmute <user> : включить звук пользователя
CoreScripts.TextChat.Unmute.Success,Звук пользователя {RBX_NAME} включён.
CoreScripts.TextChat.Version.Success,{RBX_VERSION}
CoreScripts.TextChat.Whisper.Error.CannotChat,Ты не можешь общаться с этим пользователем.
CoreScripts.TextChat.Whisper.Help.Description,/whisper <user> или /w <user> : открыть канал для личной переписки
CoreScripts.TextChat.WhisperChat.PrefixText.Incoming,[От: {RBX_NAME}]
CoreScripts.TextChat.WhisperChat.PrefixText.Outgoing,[Для: {RBX_NAME}]
CoreScripts.TopBar.Leaderboard,Список лидеров
CoreScripts.TopBar.Emotes,Эмоции
CoreScripts.TopBar.Inventory,Инвентарь
CoreScripts.TopBar.Leave,Выйти
CoreScripts.TopBar.Chat,Чат
CoreScripts.TopBar.QuickMenu,Быстрое меню
CoreScripts.TopBar.Menu,Меню
CoreScripts.TopBar.Respawn,Возродить персонажа
CoreScripts.TopBar.Back,Назад
CoreScripts.TopBar.Screenshot,Снимок экрана
Feature.SettingsHub.Label.LoadingFriendsListFailed,Произошла ошибка. Повтори попытку позже.
Feature.SettingsHub.Action.CancelSearch,Отмена
Feature.SettingsHub.Label.DontLeaveButton,Не выходить
Feature.SettingsHub.Action.InviteFriend,Пригласить
Feature.SettingsHub.Heading.InviteFriends,Пригласить друзей
Feature.SettingsHub.Label.Invited,Приглашено
Feature.SettingsHub.Label.LeaveButton,Выйти
Feature.SettingsHub.Label.Moderated,Проверено
Feature.SettingsHub.Label.InviteSearchNoResults,Нет результатов
Feature.SettingsHub.Label.SearchForFriendsPlaceholder,Поиск по контактам
Feature.SettingsHub.Label.Sending,Отправка
Feature.SettingsHub.Action.InviteFriendsBack,Назад
Feature.SettingsHub.Message.InviteToGameTitle,Присоединяйтесь ко мне в: {PLACENAME}
Feature.SettingsHub.TouchMovementMode.DPad,Крестовина
Feature.SettingsHub.Video.Off,Выкл.
Feature.SettingsHub.Video.SystemDefault,Системное значение по умолчанию
Feature.SettingsHub.Video.VideoCamera,Видеокамера
Feature.SettingsHub.Default.DynamicThumbstick,По умолчанию (динамический аналоговый стик)
Feature.SettingsHub.DefaultKeyboard,По умолчанию (клавиатура)
Feature.SettingsHub.Heading.Capture,Сделать скриншот
Feature.SettingsHub.Label.CaptureDescription2,Фотографии сохраняются на твоём устройстве.
Feature.SettingsHub.Label.ChooseOne,Выбери один вариант
InGame.CommonUI.Title.Warning,Предупреждение
InGame.CommonUI.Title.Error,Ошибка
InGame.CommonUI.Button.Retry,Повторить
InGame.CommonUI.Button.Ok,OK
InGame.CommonUI.Title.Alert,Тревога
InGame.CommonUI.Label.Default,По умолчанию
InGame.CommonUI.Label.Custom,Настраиваемый
InGame.CommonUI.Label.PossiblyCustom,Возможно особенное
InGame.CommonUI.Label.CustomOld,Старое особенное
InGame.ConnectionError.DisconnectCloudEditKick,Потеряно соединение с командой создателей. Установи соединение заново. 
InGame.ConnectionError.DisconnectWrongVersion,"Версия Roblox, возможно, устарела. Обнови Roblox и попробуй снова."
InGame.ConnectionError.TeleportFailure,Телепорт не удался из-за непредвиденной ошибки. Повтори попытку.
InGame.ConnectionError.DisconnectNewSecurityKeyMismatch,Потеряно соединение из-за ошибки.
InGame.ConnectionError.TeleportGameFull,Сервер переполнен. Повтори попытку позже или используй другой сервер.
InGame.ConnectionError.DisconnectPlayerless,В попытке соединения с сервером отказано. Повтори попытку позже.
InGame.ConnectionError.TeleportGameNotFound,Невозможно найти место назначения. Перепроверь и повтори попытку.
InGame.ConnectionError.DisconnectErrors,Пропало соединение из-за неизвестной ошибки. Установи соединение повторно.
InGame.ConnectionError.DisconnectDuplicateTicket,Из-за ошибки пропало соединение. С этого аккаунта следуют многочисленные попытки входа.
InGame.ConnectionError.DisconnectBadhash,Из-за ошибки пропало соединение.
InGame.ConnectionError.DisconnectSendPacketError,Проблемы с отправкой данных. Установи соединение повторно.
InGame.ConnectionError.DisconnectOnRemoteSysStats,Тебя исключили из игры за неподобающее поведение.
InGame.ConnectionError.DisconnectTimeout,Время подключения истекло.  Проверь подключение к интернету и повтори попытку.
InGame.ConnectionError.DisconnectSecurityKeyMismatch,Потеряно соединение из-за ошибки.
InGame.ConnectionError.TeleportErrors,Телепорт не удался из-за непредвиденной ошибки. Повтори попытку.
InGame.ConnectionError.TeleportGameEnded,Сервер больше не доступен. Попробуй другой или повтори попытку позже.
InGame.ConnectionError.PlacelaunchFlooded,Сейчас сервер занят. Повтори попытку.
InGame.ConnectionError.DisconnectProtocolMismatch,"Версия Roblox, возможно, устарела. Обнови Roblox и попробуй снова."
InGame.ConnectionError.DisconnectRobloxMaintenance,Roblox отключил игровой сервер для техобслуживания. Повтори попытку.
InGame.ConnectionError.DisconnectHashTimeout,Время подключения истекло.  Проверь подключение к интернету и повтори попытку.
InGame.ConnectionError.DisconnectReceivePacketError,Проблема с получением данных. Установи соединение повторно.
InGame.ConnectionError.PlacelaunchOtherError,Возникла техническая проблема. Повтори попытку позже.
InGame.ConnectionError.TeleportFlooded,Слишком много запросов телепорта. Повтори попытку позже.
InGame.ConnectionError.DisconnectIllegalTeleport,Пропало соединение из-за неправильного телепорта. 
InGame.ConnectionError.DisconnectReceivePacketStreamError,Проблема с транслированием данных. Установи соединение повторно.
InGame.ConnectionError.PlacelaunchError,Невозможно найти выбранный сервер. Повтори попытку.
InGame.ConnectionError.TeleportUnauthorized,Попытка телепорта в запрещённое место.
InGame.ConnectionError.Title.JoinError,Ошибка присоединения
InGame.ConnectionError.Title.Disconnected,Отключено
InGame.ConnectionError.Title.TeleportFailed,Телепорт не удался
InGame.ConnectionError.Message.ErrorCode,Код ошибки: {ERROR_CODE}
InGame.ConnectionError.Button.Reconnect,Повторное соединение
InGame.ConnectionError.DisconnectConnectionLost,Проверь подключение к интернету и повтори попытку.
InGame.ConnectionError.DisconnectIdle,Произошло отключение из-за неактивности в течение {RBX_NUM} мин.
InGame.ConnectionError.UnknownError,Неизвестная ошибка.
InGame.ConnectionError.ReconnectFailed,Повторное соединение не удалось. Повтори попытку.
InGame.EmotesMenu.SelectAnEmote,Выбрать эмоцию
InGame.EmotesMenu.NoEmotesEquipped,Эмоция не выбрана
InGame.EmotesMenu.ErrorMessageNotSupported,Здесь нельзя использовать эмоции.
InGame.EmotesMenu.ErrorMessageR15Only,Только аватары R15 могут использовать эмоции.
InGame.EmotesMenu.ErrorMessageNoMatchingEmote,Невозможно использовать эту эмоцию.
InGame.EmotesMenu.ErrorMessageTemporarilyUnavailable,Невозможно использовать эмоции прямо сейчас.
InGame.EmotesMenu.VisitShopToGetEmotes,У тебя нет эмоций. Посети магазин!
InGame.EmotesMenu.ErrorMessageSwitchToR15,"Переключись на аватара R15, чтобы использовать эмоции."
InGame.EmotesMenu.ErrorMessageAnimationPlaying,Во время этого действия эмоции недоступны.
FriendPlayerPrompt.promptCompletedCallback.UnknownError,При отправлении запроса дружбы пользователю {RBX_NAME} произошла ошибка. Повтори попытку позже.
FriendPlayerPrompt.DoPromptUnfriendPlayer,Удалить пользователя {RBX_NAME} из списка друзей?
FriendPlayerPrompt.DoPromptRequestFriendPlayer,Отправить пользователю {RBX_NAME} запрос дружбы?
FriendPlayerPrompt.promptCompletedCallback.AtFriendLimit,Нельзя отправить запрос дружбы пользователю {RBX_NAME}: количество его друзей достигло максимума.
FriendPlayerPrompt.Title.SendFriendRequest,Отправить запрос дружбы?
FriendPlayerPrompt.Label.Unfriend,Убрать из друзей
InGame.GameplayPaused.Title,Игра приостановлена
InGame.GameplayPaused.Body,Игра приостановлена: дождись загрузки игровых данных
InGame.HelpMenu.UpArrow,Стрелка вверх
InGame.HelpMenu.DownArrow,Стрелка вниз
InGame.HelpMenu.LeftArrow,Стрелка влево
InGame.HelpMenu.RightArrow,Стрелка вправо
InGame.HelpMenu.Label.ServerVersion,Версия сервера:
InGame.HelpMenu.Label.ClientVersion,Версия клиента:
InGame.HelpMenu.Label.PlayerScripts,СкриптИгрока:
InGame.HelpMenu.Label.PlaceVersion,Версия расположения:
InGame.HelpMenu.Leave,Выйти
InGame.HelpMenu.Resume,Вернуться
InGame.HelpMenu.Label.ClientCoreScriptVersion,Клиентская версия CoreScript:
InGame.InspectMenu.Description.NoInventoryNotice,Этот пользователь не носит интересующих предметов.
InGame.InspectMenu.Description.MultipleBundlesNotice,Этот предмет является частью нескольких наборов.
InGame.InspectMenu.Description.SingleBundleNotice,Этот предмет является частью набора.
InGame.InspectMenu.Action.TakeOff,Снять
InGame.InspectMenu.Action.TryOn,Примерить
InGame.InspectMenu.Action.Buy,Купить
InGame.InspectMenu.Action.Inspect,Осмотреть
InGame.InspectMenu.Action.View,Осмотр
InGame.InspectMenu.Label.Owned,В наличии
InGame.InspectMenu.Label.Offsale,Распродано
InGame.InspectMenu.Label.Limited,Ограничено
InGame.InspectMenu.Label.CurrentlyWearing,Сейчас одето
InGame.InspectMenu.Label.By,Создатель: {CREATOR}
InGame.InspectMenu.Description.LimitedNotice,Этот предмет можно приобрести только у продавцов из каталога.
InGame.InspectMenu.Label.Avatar,Аватар игрока {PLAYER_NAME}
InGame.InspectMenu.Label.NoResellers,Нет посредников
InGame.InspectMenu.Label.PremiumOnly,Только подписка Premium
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Decreased,Уменьшено до {RBX_NUMBER}
NotificationScrip2.onCurrentGraphicsQualityLevelChanged.Increased,Увеличено до {RBX_NUMBER}
NotificationScript2.NewFollower,Новый подписчик: {RBX_NAME}!
NotificationScript2.FriendRequestEvent.Accept,Новый друг: {RBX_NAME}!
NotificationScript2.onPointsRewarded.negative,Потеряно {RBX_NUMBER} очк.!
NotificationScript2.onPointsAwarded.single,Получено {RBX_NUMBER} очк.!
NotificationScript2.onPointsAwarded.multiple,Получено {RBX_NUMBER} очк.!
NotificationScript2.onBadgeAwardedTitle,Получен значок
NotificationScript2.onBadgeAwardedDetail,{RBX_NAME} получает награду {CREATOR_NAME} «{BADGE_NAME}»!
NotificationScript2.Screenshot.Title,Сделан снимок экрана
NotificationScript2.Screenshot.Description,"Открой папку со снимками экрана, чтобы его увидеть."
NotificationScript2.Screenshot.ButtonText,Открыть папку
NotificationScript2.Video.Title,Видео записано
NotificationScript2.Video.Description,"Открой папку с видеозаписями, чтобы его увидеть."
NotificationScript2.Video.ButtonText,Открыть папку
NotificationScript2.Capture.Permission.AlertTitle,Включить сохранение разрешений
NotificationScript2.Capture.Permission.AlertText,"Чтобы использовать эту функцию, необходимо включить разрешения в настройках устройства."
NotificationScript2.Capture.Permission.AlertTextIOS,Перейди в Настройки > Конфиденциальность > Фото и разреши Roblox сохранять снимки в фотоплёнку.
NotificationScript2.Capture.Permission.AlertTextAndroid,Перейди в Настройки > Roblox > Разрешения и включите Хранилище для сохранения снимков в библиотеку фотографий.
NotificationScript2.Capture.Permission.AlertButtonText,OK
NotificationScript2.Capture.Success.ToastText,Скриншот сохранён
NotificationScript2.Capture.Fail.ToastText,Не удалось сделать скриншот
NotificationScript2.UINavigation.Title,Навигация интерфейса включена
NotificationScript2.UINavigation.Text,Обратная косая черта для переключения
NotificationScript2.CameraToggle.Title,Управление камерой включено
NotificationScript2.CameraToggle.Text,Правая кнопка мыши для переключения
NotificationScript2.GraphicsQuality.Title,Качество графики
PlayerDropDown.onUnfollowButtonPress.success,Подписка на {RBX_NAME} отменена.
PlayerDropDown.onFollowButtonPress.success,теперь подписан(а) на {RBX_NAME}
PlayerDropDown.CannotSendFriendRequest,Нельзя отправить запрос на приглашение в друзья
PlayerDropDown.FriendLimit,Количество друзей достигло максимума.
PlayerDropDown.OtherPlayerFriendLimit,Максимальное количество друзей: {RBX_NAME}
PlayerDropDown.UnFollow,Отписаться
PlayerDropDown.Follow,Подписаться
PlayerDropDown.Report,Сообщить о нарушении
PlayerDropDown.Examine,Посмотреть аватар
PlayerDropDown.Unfriend,Удалить из друзей
PlayerDropDown.FriendRequest,Запрос дружбы
PlayerDropDown.CancelRequest,Отменить запрос
PlayerDropDown.Accept,Принять
InGame.PlayerList.Leaderboard,Список лидеров
InGame.Presence.Label.InStudio,В студии
InGame.Presence.Label.Offline,Не в сети
InGame.Presence.Label.Online,В сети
