Key,Value
CoreScripts.Ads.Label.Teleporting,텔레포트 중...
Corescripts.AvatarContextMenu.FriendRequestPending,친구 요청 대기 중
Corescripts.AvatarContextMenu.AddFriend,친구 추가
Corescripts.AvatarContextMenu.Friends,친구
Corescripts.AvatarContextMenu.AcceptFriendRequest,친구 요청 수락
Corescripts.AvatarContextMenu.Chat,채팅
Corescripts.AvatarContextMenu.ChatDisabled,채팅 비활성화
Corescripts.AvatarContextMenu.Wave,손 흔들기
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,아이템을 이용할까요?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME}에서 아바타 아이템을 이용하려고 해요
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,아바타 캐릭터 저장
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,이 캐릭터를 Roblox에 저장할까요?
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,아니요
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,예
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,취소
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,확인
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,아바타에 아이템 장착
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME}(이)가 아바타를 다음과 같이 변경하려고 합니다.
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,확인
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,취소
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,아이템을 즐겨찾기에 추가
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,{RBX_NAME}(을)를 즐겨찾기에 추가할까요?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,아이템을 즐겨찾기에서 제거
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,{RBX_NAME}(을)를 즐겨찾기에서 제거할까요?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,아니요
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,예
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,캐릭터 이름 입력
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,캐릭터 이름
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,확인
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,불러오기 실패
CoreScripts.AvatarEditorPrompts.Adding,추가 아이템:
CoreScripts.AvatarEditorPrompts.Removing,제거 중:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,아이템 변경 없음
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,취소
CoreScripts.PremiumModal.Title.PremiumRequired,Premium 전용
CoreScripts.PremiumModal.Body.Description,Roblox Premium 회원을 위한 다양한 혜택:
CoreScripts.PremiumModal.Body.RobuxMonthly,매달 450 Robux 획득
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Premium 전용 혜택 이용
CoreScripts.PremiumModal.Body.RobuxDiscount,Robux 구입 시 10% 추가 보너스 증정
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/월
CoreScripts.PremiumModal.Error.PlatformUnavailable,Roblox Premium 구매가 지원되지 않는 플랫폼입니다. Premium을 구매하려면 데스크톱을 사용하세요.
CoreScripts.PremiumModal.Error.AlreadyPremium,개발자가 Roblox Premium 구매를 도와드리려 한 것 같네요. 그런데 이미 Premium 회원이세요!
CoreScripts.PremiumModal.Error.Unavailable,Premium이 일시적으로 이용 불가능합니다. 나중에 다시 시도하세요!
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,매월 {robux} Robux 지급
CoreScripts.PremiumModal.Error.FailedNativePurchase,구매를 완료하지 못했습니다. 다시 시도하세요.
CoreScripts.PremiumModal.Title.Error,오류
CoreScripts.ScreenshotHud.Action.TakePhoto,사진 찍기
CoreScripts.ScreenshotHud.Action.Cancel,취소
CoreScripts.TextChat.ChatWindow.Welcome,채팅창에 '/?' 또는 '/help'를 입력하면 채팅 명령어 목록을 볼 수 있어요.
CoreScripts.TextChat.FriendsChat.LoadConversationsError,
CoreScripts.TextChat.FriendsChat.LoadingConversations,
CoreScripts.TextChat.FriendsChat.NoConversationsYet,
CoreScripts.TextChat.FriendsChat.NoLoadedConversationsFound,
CoreScripts.TextChat.Emote.Error.AnimationPlaying,이 동작 중에는 감정 표현을 적용할 수 없습니다.
CoreScripts.TextChat.Emote.Error.NoMatchingEmote,이 감정 표현은 사용할 수 없습니다.
CoreScripts.TextChat.Emote.Error.R15Only,R15 아바타만 감정 표현을 사용할 수 있습니다.
CoreScripts.TextChat.Emote.Error.TemporarilyUnavailable,지금은 감정 표현을 사용할 수 없습니다.
CoreScripts.TextChat.Emote.Error.DoesNotExist,감정 표현이 존재하지 않습니다.
CoreScripts.TextChat.Emote.Error.NotEquipped,감정 표현을 장착하고 있지 않습니다.
CoreScripts.TextChat.Emote.Error.NotEnabled,감정 표현을 여기에서 사용할 수 없습니다.
CoreScripts.TextChat.Help.FirstLine,다음은 기본적인 채팅 명령어입니다:
CoreScripts.TextChat.InputBar.Hint.MouseKeyboard,여기를 클릭하거나 {KEY} 키를 누른 후 채팅을 시작하세요
CoreScripts.TextChat.InputBar.Hint.PrivacySettingsDisabled,채팅 설정으로 인해 메시지를 보내고 받을 수 없습니다.
CoreScripts.TextChat.InputBar.Hint.Touch,여기를 클릭한 후 내용을 입력하세요
CoreScripts.TextChat.MessageStatus.Warning.Floodchecked,잠시 기다린 후 또 다른 메시지를 보낼 수 있습니다.
CoreScripts.TextChat.MessageStatus.Warning.InvalidChannelPermissions,이 채널에서는 이야기할 수 없습니다.
CoreScripts.TextChat.MessageStatus.Warning.InvalidPrivacySettings,채팅 설정으로 인해 메시지를 보내고 받을 수 없습니다.
CoreScripts.TextChat.MessageStatus.Warning.MessageTooLong,메시지 길이 한도를 초과했습니다.
CoreScripts.TextChat.MessageStatus.Warning.TextFilterFailed,현재 채팅 필터링에 문제가 있어 메시지 표시가 느릴 수 있습니다.
CoreScripts.TextChat.MessageStatus.Warning.Unknown,메시지를 보낼 수 없습니다.
CoreScripts.TextChat.Mute.Error.CannotMuteSelf,자신을 음소거할 수 없습니다.
CoreScripts.TextChat.Mute.Error.MultipleMatches,다음 사용자들이 이 표시 이름을 사용하고 있습니다: {RBX_LIST_NAMES}
CoreScripts.TextChat.Mute.Error.TargetDoesNotExist,사용자 '{RBX_NAME}' 님이 존재하지 않습니다.
CoreScripts.TextChat.Mute.Help.Description,/mute <사용자> : 해당 사용자 음소거
CoreScripts.TextChat.Mute.Success,사용자 '{RBX_NAME}' 님이 음소거되었습니다.
CoreScripts.TextChat.Notification.Friend.Joined,내 인맥인 {RBX_NAME} 님이 체험에 입장했어요.
CoreScripts.TextChat.Notification.Team.Joined,현재 '{RBX_NAME}'팀에 속해 있어요.
CoreScripts.TextChat.Notification.WhisperChat.Created,현재 {RBX_NAME} 님과 비공개 채팅 중이에요.
CoreScripts.TextChat.TeamChat.Error.NotOnTeam,팀에 소속되어 있지 않으면 팀 채팅을 이용할 수 없습니다.
CoreScripts.TextChat.TeamChat.Help.Description,/team <메시지> 또는 /t <메시지> : 팀 내 회원에게 팀 채팅 전송
CoreScripts.TextChat.TeamChat.PrefixText,[팀]
CoreScripts.TextChat.Unmute.Help.Description,/unmute <사용자> : 해당 사용자 음소거 해제
CoreScripts.TextChat.Unmute.Success,사용자 '{RBX_NAME}' 님이 음소거 해제되었습니다.
CoreScripts.TextChat.Version.Success,{RBX_VERSION}
CoreScripts.TextChat.Whisper.Error.CannotChat,이 사람과 채팅할 수 없습니다.
CoreScripts.TextChat.Whisper.Help.Description,/whisper <사용자> 또는 /w <사용자> : 해당 사용자와의 비공개 메시지 채널 열기
CoreScripts.TextChat.WhisperChat.PrefixText.Incoming,[보내는 사람: {RBX_NAME}]
CoreScripts.TextChat.WhisperChat.PrefixText.Outgoing,[받는 사람: {RBX_NAME}]
CoreScripts.TopBar.Leaderboard,리더보드
CoreScripts.TopBar.Emotes,감정 표현
CoreScripts.TopBar.Inventory,인벤토리
CoreScripts.TopBar.Leave,나가기
CoreScripts.TopBar.Chat,채팅
CoreScripts.TopBar.QuickMenu,퀵 메뉴
CoreScripts.TopBar.Menu,메뉴
CoreScripts.TopBar.Respawn,캐릭터 리스폰
CoreScripts.TopBar.Back,뒤로
CoreScripts.TopBar.Screenshot,스크린샷
Feature.SettingsHub.Label.LoadingFriendsListFailed,오류가 발생했어요. 나중에 다시 시도하세요.
Feature.SettingsHub.Action.CancelSearch,취소
Feature.SettingsHub.Label.DontLeaveButton,계속하기
Feature.SettingsHub.Action.InviteFriend,초대
Feature.SettingsHub.Heading.InviteFriends,친구 초대
Feature.SettingsHub.Label.Invited,초대 완료
Feature.SettingsHub.Label.LeaveButton,나가기
Feature.SettingsHub.Label.Moderated,검토 요청됨
Feature.SettingsHub.Label.InviteSearchNoResults,검색 결과가 없습니다
Feature.SettingsHub.Label.SearchForFriendsPlaceholder,인맥 검색
Feature.SettingsHub.Label.Sending,전송 중
Feature.SettingsHub.Action.InviteFriendsBack,뒤로
Feature.SettingsHub.Message.InviteToGameTitle,{PLACENAME}에서 함께 즐겨요
Feature.SettingsHub.TouchMovementMode.DPad,방향 패드
Feature.SettingsHub.Video.Off,끄기
Feature.SettingsHub.Video.SystemDefault,시스템 기본값
Feature.SettingsHub.Video.VideoCamera,동영상 카메라
Feature.SettingsHub.Default.DynamicThumbstick,기본값(다이내믹 엄지스틱)
Feature.SettingsHub.DefaultKeyboard,기본값(키보드)
Feature.SettingsHub.Heading.Capture,캡처
Feature.SettingsHub.Label.CaptureDescription2,촬영한 사진은 기기에 저장됩니다.
Feature.SettingsHub.Label.ChooseOne,선택하세요
InGame.CommonUI.Title.Warning,경고
InGame.CommonUI.Title.Error,오류
InGame.CommonUI.Button.Retry,다시 시도
InGame.CommonUI.Button.Ok,확인
InGame.CommonUI.Title.Alert,알림
InGame.CommonUI.Label.Default,기본
InGame.CommonUI.Label.Custom,사용자 정의
InGame.CommonUI.Label.PossiblyCustom,사용자 정의일 수 있음
InGame.CommonUI.Label.CustomOld,이전 버전의 사용자 정의
InGame.ConnectionError.DisconnectCloudEditKick,팀 만들기 중 접속이 끊어졌습니다. 다시 접속하세요.
InGame.ConnectionError.DisconnectWrongVersion,회원님이 사용 중인 Roblox 버전이 오래되었습니다. 업데이트 후 다시 시도하세요.
InGame.ConnectionError.TeleportFailure,예기치 못한 오류로 인해 텔레포트에 실패했습니다. 다시 시도해 보세요.
InGame.ConnectionError.DisconnectNewSecurityKeyMismatch,오류로 인해 연결 끊김
InGame.ConnectionError.TeleportGameFull,서버가 가득 찼습니다. 나중에 다시 시도하거나 다른 서버를 이용하세요.
InGame.ConnectionError.DisconnectPlayerless,회원님이 연결하려고 하는 서버가 종료되었습니다. 다시 시도하세요. 
InGame.ConnectionError.TeleportGameNotFound,목적지를 찾을 수 없습니다. 다시 한번 확인한 후 재시도하세요.
InGame.ConnectionError.DisconnectErrors,알 수 없는 오류로 연결 끊김. 다시 접속하세요.
InGame.ConnectionError.DisconnectDuplicateTicket,오류로 인해 연결이 끊어졌습니다. 동일 계정으로 다수의 접속이 발견되었습니다.
InGame.ConnectionError.DisconnectBadhash,오류로 인해 접속이 끊김
InGame.ConnectionError.DisconnectSendPacketError,데이터 전송 중 오류가 발생했어요. 다시 접속하세요.
InGame.ConnectionError.DisconnectOnRemoteSysStats,예기치 못한 고객 행동으로 강제 퇴장당하셨습니다.
InGame.ConnectionError.DisconnectTimeout,연결 대기 시간 초과. 인터넷 연결을 확인하고 다시 시도하세요.
InGame.ConnectionError.DisconnectSecurityKeyMismatch,오류로 인해 접속이 끊겼습니다.
InGame.ConnectionError.TeleportErrors,예기치 못한 오류로 인해 텔레포트에 실패했습니다. 다시 시도해 보세요.
InGame.ConnectionError.TeleportGameEnded,서버를 더 이상 이용할 수 없습니다. 다른 서버를 시도하거나 나중에 시도하세요.
InGame.ConnectionError.PlacelaunchFlooded,현재 서버 사용량이 많습니다. 다시 시도하세요.
InGame.ConnectionError.DisconnectProtocolMismatch,회원님이 사용 중인 Roblox 버전이 오래되었습니다. 업데이트 후 다시 시도하세요.
InGame.ConnectionError.DisconnectRobloxMaintenance,Roblox가 유지보수를 위해 서버를 강제 종료하였습니다. 다시 시도하세요.
InGame.ConnectionError.DisconnectHashTimeout,연결 대기 시간 초과. 인터넷 연결 상태를 확인 후 다시 시도하세요.
InGame.ConnectionError.DisconnectReceivePacketError,데이터 수신 오류가 발생했어요. 다시 접속하세요.
InGame.ConnectionError.PlacelaunchOtherError,기술적인 문제가 발생했습니다. 나중에 다시 시도하세요.
InGame.ConnectionError.TeleportFlooded,텔레포트 요청이 너무 많습니다. 나중에 다시 시도하세요.
InGame.ConnectionError.DisconnectIllegalTeleport,유효하지 못한 텔레포트로 인해 연결 끊김
InGame.ConnectionError.DisconnectReceivePacketStreamError,데이터 스트리밍 중 오류가 발생했어요. 다시 연결하세요.
InGame.ConnectionError.PlacelaunchError,참가하려는 서버를 찾을 수 없습니다. 나중에 다시 시도하세요.
InGame.ConnectionError.TeleportUnauthorized,이용이 제한된 플레이스로 텔레포트를 시도했습니다.
InGame.ConnectionError.Title.JoinError,참가 오류 발생
InGame.ConnectionError.Title.Disconnected,연결 끊김
InGame.ConnectionError.Title.TeleportFailed,텔레포트 실패
InGame.ConnectionError.Message.ErrorCode,오류 코드: {ERROR_CODE}
InGame.ConnectionError.Button.Reconnect,재연결
InGame.ConnectionError.DisconnectConnectionLost,인터넷 연결을 확인하고 다시 시도하세요.
InGame.ConnectionError.DisconnectIdle,{RBX_NUM}분 동안 기본 상태로 있어 연결이 끊겼어요
InGame.ConnectionError.UnknownError,알 수 없는 오류.
InGame.ConnectionError.ReconnectFailed,재연결에 실패했어요. 다시 시도하세요
InGame.EmotesMenu.SelectAnEmote,감정 표현 선택
InGame.EmotesMenu.NoEmotesEquipped,장착된 감정 표현 없음
InGame.EmotesMenu.ErrorMessageNotSupported,여기서는 감정 표현을 사용할 수 없어요.
InGame.EmotesMenu.ErrorMessageR15Only,R15 아바타만 감정 표현을 사용할 수 있어요.
InGame.EmotesMenu.ErrorMessageNoMatchingEmote,이 감정 표현은 사용할 수 없어요.
InGame.EmotesMenu.ErrorMessageTemporarilyUnavailable,지금은 감정 표현을 사용할 수 없어요.
InGame.EmotesMenu.VisitShopToGetEmotes,보유 중인 감정 표현이 없습니다. 상점을 방문해 감정 표현을 획득하세요!
InGame.EmotesMenu.ErrorMessageSwitchToR15,감정 표현을 적용하려면 R15 아바타로 전환하세요.
InGame.EmotesMenu.ErrorMessageAnimationPlaying,이 동작 중에는 감정 표현을 적용할 수 없습니다.
FriendPlayerPrompt.promptCompletedCallback.UnknownError,{RBX_NAME} 님께 인맥 요청을 보내는 동안 오류가 발생했습니다. 나중에 다시 시도하세요.
FriendPlayerPrompt.DoPromptUnfriendPlayer,{RBX_NAME} 님을 인맥 목록에서 삭제할까요?
FriendPlayerPrompt.DoPromptRequestFriendPlayer,{RBX_NAME} 님께 인맥 요청을 보낼까요?
FriendPlayerPrompt.promptCompletedCallback.AtFriendLimit,{RBX_NAME} 님의 인맥 수가 너무 많아 더 이상 인맥 요청을 보낼 수 없습니다.
FriendPlayerPrompt.Title.SendFriendRequest,친구 요청을 전송할까요?
FriendPlayerPrompt.Label.Unfriend,인맥에서 삭제
InGame.GameplayPaused.Title,플레이가 일시 중지됨
InGame.GameplayPaused.Body,플레이가 일시 중지되었습니다. 게임 콘텐츠를 불러오고 있으니 잠시만 기다리세요.
InGame.HelpMenu.UpArrow,위쪽 화살표
InGame.HelpMenu.DownArrow,아래쪽 화살표
InGame.HelpMenu.LeftArrow,왼쪽 화살표
InGame.HelpMenu.RightArrow,오른쪽 화살표
InGame.HelpMenu.Label.ServerVersion,서버 버전:
InGame.HelpMenu.Label.ClientVersion,클라이언트 버전:
InGame.HelpMenu.Label.PlayerScripts,PlayerScripts:
InGame.HelpMenu.Label.PlaceVersion,플레이스 버전:
InGame.HelpMenu.Leave,나가기
InGame.HelpMenu.Resume,체험 계속하기
InGame.HelpMenu.Label.ClientCoreScriptVersion,클라이언트 CoreScript 버전:
