Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,已验证年龄为 13 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandOver18,18 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,已验证年龄为 18 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13 岁以下
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13 - 15 岁
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16 - 17 岁
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18 - 20 岁
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24 岁
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9 - 12 岁
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 岁及以上
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25 岁及以上
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8 岁
Amp.ErrorScreen.BodyText,获取访问状态失败
Amp.ErrorScreen.Cancel,取消
Amp.ErrorScreen.Retry,重试
Amp.ErrorScreen.Title,发生错误
Amp.ErrorScreen.UserMismatchBody,此二维码适用于另一个帐户。请切换帐户并再次扫描以继续。
Amp.ErrorScreen.UserMismatchTitle,错误的帐户
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,继续
Amp.FAEUpsell.Modal.ExternalLink.Text,验证你的年龄，以解锁无过滤聊天和 Party 语音功能。
Amp.FAEUpsell.Modal.ExternalLink.Title,需要年龄检查
Amp.FAEUpsell.Modal.Failed.ButtonClose,关闭
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,发生错误，请稍后重试。
Amp.FAEUpsell.Modal.Failed.Title,年龄检查错误
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,这可能需要一些时间。如果取消，则可能无法验证你的年龄。
Amp.FAEUpsell.Modal.Loading.Title,检查你的年龄
Amp.FAEUpsell.Modal.QRCode.Description,完成年龄验证，解锁更多游戏和功能。使用手机或平板电脑扫描此二维码。
Amp.FAEUpsell.Modal.QRCode.Footer,将 Roblox App 下载到你的移动设备，然后前往“设置”>“帐户信息”
Amp.FAEUpsell.Modal.QRCode.Title,使用移动版 App 完成年龄验证
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,抱歉，你的验证因安全原因而被拒绝。如果你想再次尝试，请几天后再试。
Amp.IDVErrorScreen.Retry,发生错误，请刷新页面并重试。
Amp.IDVErrorScreen.Timeout,抱歉，验证过程花费时间过长。请刷新页面后重试。
Amp.IDVErrorScreen.Title,验证失败
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,开始验证
Amp.IDVUpsell.Directions.IDBody,驾驶证、护照、身份证、居留证
Amp.IDVUpsell.Directions.IDHeader,准备有效的 ID
Amp.IDVUpsell.Directions.PhoneBody,您需要智能手机才能继续
Amp.IDVUpsell.Directions.PhoneHeader,使用智能手机
Amp.IDVUpsell.Modal.Disclaimer,请注意：您将开始通过我们的第三方服务提供商进行 ID 验证流程。通过此流程收集的信息会用于保护您的帐户和/或启用 Roblox 功能。
Amp.IDVUpsell.Modal.PrivacyLinkText,Roblox 生物识别隐私声明
Amp.IDVUpsell.Modal.QRHeaderText,扫描二维码以开始
Amp.IDVUpsell.Modal.Title,需要年龄验证
Amp.IDVUpsell.PrivacyPageHeader,隐私政策
Amp.Upsell.Action.AskNow,立即询问
Amp.Upsell.Description.PrologueEnablePurchase,由于区域限制，你需要家长权限才能购买。
Amp.Upsell.Description.PrologueJoinExperience,你需要家长许可才能加入此体验。
Amp.Upsell.Description.PrologueTextVpc,你需要得到家长的许可。
Amp.Upsell.Description.PrologueUnblockUser,若要解锁“{displayName}”，你需要家长许可
Amp.Upsell.Message.EmailSent,我们已将一封电子邮件发送至 {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,我们已向你关联的家长发送电子邮件
Amp.Upsell.Title.AskYourParent,询问你的家长
Amp.Upsell.Title.RequestSent,请求已发送
Application.ConnectionError.Action.Ok,好的
Application.ConnectionError.ErrorCode,错误代码：{errorCode}
Application.Logout.Action.Logout,退出登录
Application.Logout.Message.Confirmation,是否确定退出登录？
Application.Logout.Title.Logout,
Application.Settings.AccountSettingsTitle,帐户设置
Application.Settings.AppSettingsTitle,App 设置
Application.Settings.DeviceSettings.Title,设备设置
Application.Settings.VR.Comfort.Description,调整移动和视野来减少动态晕眩。
Application.Settings.VR.Comfort.Profile.Description,选择一个预设设置，或选择“自定义”以手动设置每个舒适度选项。
Application.Settings.VR.Comfort.Profile.Option.Comfort,舒适
Application.Settings.VR.Comfort.Profile.Option.Custom,自定义
Application.Settings.VR.Comfort.Profile.Option.Default,默认
Application.Settings.VR.Comfort.Profile.Option.Expert,专家
Application.Settings.VR.Comfort.Profile.Title,舒适度配置
Application.Settings.VR.Comfort.SafetyBubbleMode.Description,决定谁可以靠近你而不需要淡出
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.Anyone,任何人
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.NoOne,没有人
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.OnlyFriends,仅好友
Application.Settings.VR.Comfort.SafetyBubbleMode.Title,安全气泡
Application.Settings.VR.Comfort.SteppedRotationEnabled.Description,移动设置，以固定的增量角度转动视图，而不是连续移动。
Application.Settings.VR.Comfort.SteppedRotationEnabled.Title,分阶旋转
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,有助于防止因平滑摄像头移动而导致的晕动症。摄像头在你移动时保持原位，然后立即切换到你身后。仅在第三人称视角中有效。
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,第 3 人称舒适镜头
Application.Settings.VR.Comfort.Title,舒适度设置
Application.Settings.VR.Comfort.VignetteEnabled.Description,舒适设置，可在移动过程中缩小视野，以防止或减轻动态晕眩。
Application.Settings.VR.Comfort.VignetteEnabled.Title,晕动症舒适度调整
Application.Settings.VRAccountSettingsExplanation,要访问你的隐私、安全控制等信息，请访问网络或配套设备。
Application.Settings.VRAccountSettingsSubtitle,访问网络或配套设备
Application.Settings.VolumeSliderDescription,控制 Roblox 的整体音量，包括菜单音效、游戏声音和语音聊天。
Authentication.AccountPicker.Button.CreateAccount,创建帐户
Authentication.AccountPicker.Button.SignIntoAnotherAccount,登录其他帐户
Authentication.AccountPicker.Label.AllAccounts,所有帐户
Authentication.AccountPicker.Label.Manage,管理
Authentication.AccountPicker.Label.ManageAccounts,管理帐户
Authentication.AccountPicker.Label.RemoveAccount,移除帐户？
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,你将不会在此设备上再看到此帐户，除非再次登录。
Authentication.AccountPicker.Label.RemoveAccountRemove,移除
Authentication.AccountPicker.Label.SignedOut,已注销
Authentication.AccountRecovery.Action.AddAPasskey,是的，添加新的通行密钥
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,
Authentication.AccountRecovery.Action.DeleteAll,移除更改
Authentication.AccountRecovery.Action.DontDeleteCredentials,保留全部
Authentication.AccountRecovery.Action.Next,下一步
Authentication.AccountRecovery.Action.Ok,
Authentication.AccountRecovery.Action.ResetPassword,重置密码
Authentication.AccountRecovery.Action.Save,保留
Authentication.AccountRecovery.Action.SendCode,给我发送验证码
Authentication.AccountRecovery.Action.SkipAddingPasskey,不是，跳过此步骤
Authentication.AccountRecovery.Action.UpdatePassword,更新密码
Authentication.AccountRecovery.Action.UseAnotherMethod,使用其它验证方式
Authentication.AccountRecovery.Action.UseBackupCode,使用备用码
Authentication.AccountRecovery.Action.UseEmail,使用电子邮箱
Authentication.AccountRecovery.Action.UseEmailInstead,改用电子邮件
Authentication.AccountRecovery.Action.UsePhone,使用手机
Authentication.AccountRecovery.Action.UsePhoneInstead,
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,改用用户名或电子邮件
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,所有更改均已移除。
Authentication.AccountRecovery.Description.CannotRecoverAccount,为了你的安全，恢复启用了两步验证的帐户需要第二种不同的验证方法。此帐户没有可用于安全恢复的备用方法。请尝试重新访问你的主要两步验证方法，或使用备用码跳过两步验证。
Authentication.AccountRecovery.Description.ChooseAccount,选择你想要恢复的帐户。
Authentication.AccountRecovery.Description.CreateNewPassword,创建一个强密码，并确保与旧密码不同。
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,创建一个新密码，并添加电子邮件地址，以帮助今后保护你的帐户安全。
Authentication.AccountRecovery.Description.DeviceDoesNotSupportPasskey,你已加入增强保护计划。为了确保帐户安全，登录时需要使用通行密钥或安全密钥。此设备不支持通行密钥，因此登录此设备可能会遇到困难。今后，你可以使用快速登录功能，通过其他已登录的设备登录。
Authentication.AccountRecovery.Description.EmailCodeSent,我们刚刚向你提供的电子邮件地址发送了一组 6 位数的验证码（如果该邮箱已关联帐户）。请检查你的所有邮箱文件夹，包括垃圾邮件夹。
Authentication.AccountRecovery.Description.EmailCodeSentForUser,我们刚刚向你提供的电子邮件地址发送了一组 6 位数的验证码（如果该邮箱已关联你的帐户）。请检查你的所有邮箱文件夹，包括垃圾邮件夹。
Authentication.AccountRecovery.Description.EmailUnavailableInfo,某些电子邮件地址因年龄变更而发生变动，因此可能无法显示。不过，这些电子邮件地址仍可用于帐户恢复。
Authentication.AccountRecovery.Description.EnhancedProtectionAddPasskey,你已加入增强保护计划。为了确保帐户安全，登录时需要使用通行密钥或安全密钥。{lineBreak}{lineBreak}如果你使用的是个人设备，我们建议你立即设置新的通行密钥。这样以后就可以更轻松地在此设备上登录。如果你使用的是共享或公共设备，请跳过此步骤。
Authentication.AccountRecovery.Description.EnterABackupCode,现在，请输入你保存的备用码。
Authentication.AccountRecovery.Description.EnterContactMethodAssociatedWithYourAccount,请输入可能与你帐户关联的电子邮件地址或手机号码。如果你曾有过购买记录，也可以尝试填写你的账单邮箱。
Authentication.AccountRecovery.Description.EnterEmailAddress,现在，请输入电子邮件地址。这可以是你在 Roblox 上购买商品时使用的电子邮箱。
Authentication.AccountRecovery.Description.EnterPhoneBackupCodeOrAnotherEmail,现在，请输入手机号码、备用码或其他邮箱。这可以是你在 Roblox 上购买商品时使用的邮箱
Authentication.AccountRecovery.Description.EnterPhoneNumberSecondMethod,现在，请输入与你帐户关联的手机号码。
Authentication.AccountRecovery.Description.EnterPhoneOrAnotherEmail,现在，请输入手机号码或其他电子邮件地址。这可以是你在 Roblox 上购买商品时使用的电子邮箱。
Authentication.AccountRecovery.Description.InvalidateCredentialInfo,我们发现一项可能并非由你本人操作的安全设置更改。如果你无法识别，请将其移除
Authentication.AccountRecovery.Description.InvalidateCredentialsIntro,我们发现一些可能并非由你本人操作的安全设置更改。请移除你无法识别的更改。
Authentication.AccountRecovery.Description.InvalidateCredentialsWarning,保留无法识别的更改可能会使你的帐户面临风险。移除更改的操作无法撤消。
Authentication.AccountRecovery.Description.KeepTwoStepMethodDynamic,你已在账号中启用了{twoStepMethod}。如果你仍然可以访问它，请将其保留好。在你下次登录时，我们会要求你提供它。
Authentication.AccountRecovery.Description.NoChangesMade,请添加额外的安全防护措施，确保帐户安全。
Authentication.AccountRecovery.Description.PhoneCodeSent,我们刚刚向你提供的手机号码发送了一组 6 位数的验证码（如果该号码已关联帐户）。验证码可能通过 WhatsApp 或短信发送。
Authentication.AccountRecovery.Description.PhoneCodeSentForUser,我们刚刚向你提供的手机号码发送了一组 6 位数的验证码（如果该号码已关联你的帐户）。验证码可能通过 WhatsApp 或短信发送。
Authentication.AccountRecovery.Description.PlatformNotSupported,此平台或设备不支持帐户恢复。请选择“好的”关闭此窗口并返回登录页面。请使用其他设备恢复帐户。随后选择“快速登录”，并按照说明使用其他已登录设备安全登录。
Authentication.AccountRecovery.Description.SaveTwoStepMethod,如果你仍然可以访问它，请将其保存好。在你下次登录时，我们会要求你使用它。
Authentication.AccountRecovery.Description.SendCodeContactMethodConfirmation,如果你提供的联系方式与 Roblox 帐户相关联，我们将发送一个 6 位数字验证码到你提供的联系方式。
Authentication.AccountRecovery.Description.SomethingWentWrongVerifyAgain,出错了。请点按“继续”重试。
Authentication.AccountRecovery.Description.TrustedLocationResetPassword,你好，{username}，你正在从受信任的位置访问你的帐户。请立即重设密码以重新获得对你 Roblox 帐户的访问权限。
Authentication.AccountRecovery.Description.TrustedLocationResetPasswordSkip2SV,{username}，你好！你正在从受信任的位置访问你的帐户。你可以跳过两步验证，并立即重置密码，完成帐户恢复
Authentication.AccountRecovery.Description.TrustedLocationSkip2SV,你好 {username}，你正在从受信任的位置访问你的帐户。你可以跳过两步验证并完成帐户恢复。
Authentication.AccountRecovery.Description.UpdateEmailConfirmation,我们注意到你使用了不同的电子邮件地址来恢复帐户。我们将把你的电子邮件地址更新为：{email}
Authentication.AccountRecovery.Description.VerifyAgain,在恢复启用了两步验证的帐户之前，请先验证你的身份。按“继续”再次触发两步验证。
Authentication.AccountRecovery.Heading.AccountSecuredConfirmation,你的帐户现已安全
Authentication.AccountRecovery.Heading.BackupCodesGenerated,已生成备用码
Authentication.AccountRecovery.Heading.BillingEmailAdded,已添加账单电子邮件
Authentication.AccountRecovery.Heading.CannotRecoverAccount,我们无法恢复你的帐户
Authentication.AccountRecovery.Heading.ChooseVerificationMethod,选择一种验证方式
Authentication.AccountRecovery.Heading.EmailAdded,已添加电子邮件
Authentication.AccountRecovery.Heading.EnhancedProtectionPostRecoveryPasskey,这是你的个人设备吗？
Authentication.AccountRecovery.Heading.EnhancedProtectionProgramPostRecoveryNoPasskey,由于此设备不支持通行密钥，你在该设备上可能会遇到部分功能受限的情况
Authentication.AccountRecovery.Heading.EnrolledInEnhancedProtection,已加入增强保护计划
Authentication.AccountRecovery.Heading.EnterSecondMethod,输入第二种验证方式
Authentication.AccountRecovery.Heading.InvalidateCredential,你帐户的更改
Authentication.AccountRecovery.Heading.InvalidateCredentials,
Authentication.AccountRecovery.Heading.NoChangesMade,未进行任何更改
Authentication.AccountRecovery.Heading.PasskeyAdded,已添加通行密钥
Authentication.AccountRecovery.Heading.PhoneNumberAdded,已添加手机号码
Authentication.AccountRecovery.Heading.ResetPassword,
Authentication.AccountRecovery.Heading.RobloxAccountRecovery,Roblox 帐户恢复
Authentication.AccountRecovery.Heading.SaveTwoStepMethod,需要我们保留现有的两步验证方式吗？
Authentication.AccountRecovery.Heading.TwoStepMethodAdded,已添加{value}
Authentication.AccountRecovery.Heading.UpdateEmail,更新你的电子邮件
Authentication.AccountRecovery.Heading.UseAnotherDevice,使用另一台设备
Authentication.AccountRecovery.Label.AddEmail,添加电子邮件
Authentication.AccountRecovery.Label.Authenticator2sv,身份验证程序两步验证
Authentication.AccountRecovery.Label.Authenticator2svCapitalized,验证程序两步验证
Authentication.AccountRecovery.Label.BackupCode,备用码
Authentication.AccountRecovery.Label.ConfirmNewPasswordV2,确认新密码
Authentication.AccountRecovery.Label.Email2sv,电子邮件两步验证
Authentication.AccountRecovery.Label.Email2svCapitalized,
Authentication.AccountRecovery.Label.EmailUnavailable,电子邮件地址无法显示
Authentication.AccountRecovery.Label.EnterCode,输入验证码
Authentication.AccountRecovery.Label.NewPasswordV2,新密码
Authentication.AccountRecovery.Label.Or,或者
Authentication.AccountRecovery.Label.PreviousContactMethodVerification,{contactMethod}已验证
Authentication.AccountRecovery.Label.ResendCode,重新发送验证码
Authentication.AccountRecovery.Label.ResendCodeTimer,{timeLeft} 秒后重新发送验证码
Authentication.AccountRecovery.Label.SecurityKey2sv,安全密钥两步验证
Authentication.AccountRecovery.Label.SecurityKey2svCapitalized,
Authentication.AccountRecovery.Label.UsernameEmail,用户名/电子邮件
Authentication.AccountRecovery.LabelEmail,电子邮件
Authentication.AccountRecovery.LabelPhone,手机
Authentication.AccountRecovery.LabelTwoStepVerification,两步验证
Authentication.AccountRecovery.Message.Error.AccountNotFound,未找到帐户。
Authentication.AccountRecovery.Message.Error.InvalidCode,代码无效。
Authentication.AccountRecovery.Message.Error.InvalidEmail,电子邮件无效。
Authentication.AccountRecovery.Message.Error.InvalidPassword,密码无效。
Authentication.AccountRecovery.Message.Error.TooManyRequests,请求次数过多，请稍后重试。
Authentication.AccountRecovery.Message.Error.TryADifferentOne,请试试其他的。
Authentication.AccountRecovery.MessagePasswordsDoNotMatch,密码不匹配。
Authentication.AccountRecovery.MessageUnknownError,未知错误
Authentication.AccountSwitch.Action.AddAccount,添加帐户
Authentication.AccountSwitch.Action.AddAnAccount,
Authentication.AccountSwitch.Action.Continue,
Authentication.AccountSwitch.Action.CreateNewAccount,创建新帐户
Authentication.AccountSwitch.Action.LogoutAllAccounts,注销所有帐户
Authentication.AccountSwitch.Action.RemoveAllAccounts,是否移除所有帐户？
Authentication.AccountSwitch.Action.SignInToExistingAccount,登录现有帐户
Authentication.AccountSwitch.Action.SwitchAccount,切换帐户
Authentication.AccountSwitch.Description.AccountLimit.2,你已达到帐户数量上限。要添加新帐户，请先移除一个帐户。
Authentication.AccountSwitch.Description.ContinueSignOutOthers,如果以“{username}”的身份继续，你将从其他帐户中注销。
Authentication.AccountSwitch.Description.LogoutConfirmation,您必须注销此设备上的其他 Roblox 帐户才能添加新帐户
Authentication.AccountSwitch.Description.PleaseTryAgainLater,请稍后重试
Authentication.AccountSwitch.Description.RemoveAllAccounts,注销后，所有帐户都将从此设备中移除。
Authentication.AccountSwitch.Description.RemoveCurrentAccount,如果你执行此操作，除非再次登录，否则你将不会在此设备上再看到此帐户。你将返回着陆页。
Authentication.AccountSwitch.Description.TryLoggingInDirectly.2,尝试直接登录
Authentication.AccountSwitch.Header.CantSwitchAccountsSentenceCase,无法切换帐户
Authentication.AccountSwitch.Header.LogoutAllAccounts,
Authentication.AccountSwitch.Header.RemoveCurrentAccount,移除当前帐户？
Authentication.AccountSwitch.Header.SignOutOtherAccounts,是否注销其他帐户？
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.AccountSwitch.Heading.SwitchAccount,
Authentication.AccountSwitch.Label.AccountLimitReached.2,若要添加帐户，请先注销。
Authentication.CrossDevice.Action.CancelLogin,
Authentication.CrossDevice.Action.ConfirmLogin,确认登录
Authentication.CrossDevice.Action.Done,完成
Authentication.CrossDevice.Action.Enter,输入
Authentication.CrossDevice.Action.GoBack,返回
Authentication.CrossDevice.Action.Next,
Authentication.CrossDevice.Action.TryAgain,
Authentication.CrossDevice.Description.ConfirmOnSignedInDevice,在你已登录的设备上确认以继续。
Authentication.CrossDevice.Description.QuickSignInInstructionsModal,在已登录的设备上扫描二维码，或依次前往<b>更多 > 快速登录</b>，然后输入以下代码。
Authentication.CrossDevice.Description.SigningInAs,正在以 {identifier} 身份登录
Authentication.CrossDevice.EnterCodeInstruction,然后输入此验证码
Authentication.CrossDevice.GoToInstruction,在你的电脑或手机上前往：
Authentication.CrossDevice.Heading.LoginAnotherDevice,登录至另一设备
Authentication.CrossDevice.Heading.LoginCode,快速登录码
Authentication.CrossDevice.Heading.LoginWarning,登录时请确保：
Authentication.CrossDevice.Heading.QuickLogin,快速登录
Authentication.CrossDevice.Heading.SignInWithQrCode,使用二维码登录
Authentication.CrossDevice.Heading.SigninAnotherDevice,在其他设备上登录
Authentication.CrossDevice.Heading.WaitingForConfirmation,等待确认中
Authentication.CrossDevice.Heading.Warning,警告！
Authentication.CrossDevice.Label.CodeHeader,选项 2
Authentication.CrossDevice.Label.CodeNotVerified,未验证快速登录码。
Authentication.CrossDevice.Label.Confirm,确认
Authentication.CrossDevice.Label.ConfirmAndLoginAs,确认使用 %s 登录你的其他设备
Authentication.CrossDevice.Label.ConfirmOnDevice,确认在另外的设备上登录
Authentication.CrossDevice.Label.ConfirmationMessage1,您即将登录至：%s
Authentication.CrossDevice.Label.ConfirmationMessage2,此新设备将获权访问您的帐户、Robux 以及道具栏。
Authentication.CrossDevice.Label.ConfirmationMessage3,请确认是您本人。
Authentication.CrossDevice.Label.Continue,
Authentication.CrossDevice.Label.DevicePrompt,在你登录的设备上输入此码即可开始探索
Authentication.CrossDevice.Label.EnterCodeTextBox,
Authentication.CrossDevice.Label.EnterOtherDeviceCode,在其他设备上输入验证码
Authentication.CrossDevice.Label.InvalidLocationError,无法将你的位置与试图登入的设备匹配。请在相同的网络中重试。
Authentication.CrossDevice.Label.LogginInAs,登录为 %s
Authentication.CrossDevice.Label.LoginInstructions,在你登录的设备上，前往：
Authentication.CrossDevice.Label.LoginInstructionsV2,开启 Roblox 应用并前往
Authentication.CrossDevice.Label.LoginLocation,<b>账户设置 > 快速登录</b>来输入您的登录码。
Authentication.CrossDevice.Label.LoginLocationV2,<b>更多页面 > 快速登录</b>输入你的验证码。
Authentication.CrossDevice.Label.NotAvailableOnNetwork,此功能无法在此网络中使用。请稍后再试
Authentication.CrossDevice.Label.OK,
Authentication.CrossDevice.Label.QrCodeError,当前无法显示二维码。请刷新此页面，或按照下列指示在另一个设备上登录。
Authentication.CrossDevice.Label.QrCodeLogin,二维码登录
Authentication.CrossDevice.Label.QrHeader,选项 1
Authentication.CrossDevice.Label.QrInstructions,使用已登录的设置摄像头扫描二维码。
Authentication.CrossDevice.Label.QuestCDLShortLinkInstruction,使用电脑或手机前往 <b>roblox.com/quest</b>，输入此验证码并完成登录。
Authentication.CrossDevice.Label.QuickSignInWarning,为了你的安全，请仅输入你在新设备上生成的验证码。
Authentication.CrossDevice.Label.SigninInstructionHeading,如要在新设备上以“{username}”身份登录：
Authentication.CrossDevice.Label.SigninInstructionOne,1. 在你的新设备上，打开登录页面
Authentication.CrossDevice.Label.SigninInstructionThree,3. 在下方字段中输入该验证码
Authentication.CrossDevice.Label.SigninInstructionTwo,2. 选择“快速登录”以获取验证码
Authentication.CrossDevice.Label.Warning1,• 只输入您请求的验证码
Authentication.CrossDevice.Label.Warning2,• 切勿输入其他用户的验证码
Authentication.CrossDevice.Response.InvalidCode,你输入的代码无效。请确保你的输入正确无误。
Authentication.CrossDevice.Response.LoginFail,登录失败
Authentication.CrossDevice.Response.LoginSuccess,登录成功
Authentication.Login.Action.ConnectionError.RetryReady,重试...
Authentication.Login.Action.ConnectionError.RetryWait,重试在: {WaitTime}
Authentication.Login.Action.Continue,
Authentication.Login.Action.DownloadNow,立即下载
Authentication.Login.Action.EmailACode,通过电子邮件发送验证码
Authentication.Login.Action.EmailMeCode,通过电子邮件向我发送验证码
Authentication.Login.Action.EmailOtpWaitTime,{WaitTime} 秒后重新发送验证码
Authentication.Login.Action.ForgotPasswordOrUsernameQuestionCapitalized,忘记密码或用户名？
Authentication.Login.Action.ForgotUsername,忘记用户名？
Authentication.Login.Action.ForgotUsernameOrPassword,忘记了用户名或密码？
Authentication.Login.Action.LogInEmailOneTimeCode,通过电子邮件向我发送一次性验证码
Authentication.Login.Action.NeedHelp,需要帮助？
Authentication.Login.Action.Next,
Authentication.Login.Action.QQLogin,QQ 登录
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Action.ResendCode,
Authentication.Login.Action.SendCodeSentenceCase,发送验证码
Authentication.Login.Action.SendVerificationEmail,发送验证电子邮件
Authentication.Login.Action.SignIn,登录
Authentication.Login.Action.SignInSentenceCase,
Authentication.Login.Action.SignInWithQrCode,
Authentication.Login.Action.UsePasskey,使用通行密钥
Authentication.Login.Action.WeChatLogin,微信登录
Authentication.Login.Button.CloseAndSwitchPlatformAccount,退出 Roblox 以切换为 {platformAccountName} 帐户
Authentication.Login.Button.UseDifferentRobloxAccount,使用其他 Roblox 帐户
Authentication.Login.Description.AccountSelectorHelp,你所有的关联帐户都在此列出。
Authentication.Login.Description.DownloadNewVersion,你的帐户无法使用此版本的 Roblox。请下载正确版本以继续。
Authentication.Login.Description.EnterOneTimeCodeHelpV2,请输入我们发送至 {email} 的验证码
Authentication.Login.Description.GetOneTimeCodeHelp,请输入你帐户中已验证的电子邮件来接收一次性验证码。
