Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13세 이상
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,나이가 13세 이상으로 확인되었습니다
AccountIdentity.AgeCheck.Label.AgeBandOver18,18세 이상
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,나이가 18세 이상으로 확인되었습니다
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13세 미만
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13~15세
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16~17세
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18~20세
AccountIdentity.AgeCheck.Label.AgeGroup18To24,만 18~24세
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21세 이상
AccountIdentity.AgeCheck.Label.AgeGroupOver25,만 25세 이상
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5~8세
Amp.AccountSettingsUpsell.Email.Button.Cancel,취소
Amp.AccountSettingsUpsell.Email.Button.Settings,설정
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"이 체험을 이용하려면 이메일 인증을 진행하세요.

1. 설정 메뉴에서 계정 정보로 이동합니다.
2. 이메일 주소 추가를 선택합니다.
3. 인증 절차를 진행합니다.
"
Amp.AccountSettingsUpsell.Email.Modal.Title,이메일 인증 필요
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"이 체험을 이용하려면 휴대폰 인증을 진행하세요.

1. 설정 메뉴에서 계정 정보로 이동합니다.
2. 휴대폰 번호 추가를 선택합니다.
3. 인증 절차를 완료합니다."
Amp.AccountSettingsUpsell.Phone.Modal.Title,휴대폰 인증 필요
Amp.ErrorScreen.BodyText,액세스 상태를 가져오지 못했습니다
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,다시 시도
Amp.ErrorScreen.Title,오류가 발생했어요
Amp.ErrorScreen.UserMismatchBody,다른 계정의 QR 코드를 스캔하셨습니다. 계속하려면 계정을 전환하고 다시 스캔하세요.
Amp.ErrorScreen.UserMismatchTitle,잘못된 계정입니다
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,계속하기
Amp.FAEUpsell.Modal.ExternalLink.Text,이렇게 하면 더 많은 게임과 채팅 같은 기능을 이용할 수 있습니다.
Amp.FAEUpsell.Modal.ExternalLink.Title,나이 확인
Amp.FAEUpsell.Modal.Failed.ButtonClose,닫기
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,오류가 발생했어요. 나중에 다시 시도하세요.
Amp.FAEUpsell.Modal.Failed.Title,나이 확인 오류
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,이 과정에는 다소 시간이 걸릴 수 있습니다. 취소하시면 나이가 확인되지 않을 수도 있습니다.
Amp.FAEUpsell.Modal.Loading.Title,나이 확인 중
Amp.FAEUpsell.Modal.QRCode.Description,나이 확인을 완료하여 더 많은 게임과 기능을 이용하세요. 휴대폰 또는 태블릿으로 이 QR 코드를 스캔하세요.
Amp.FAEUpsell.Modal.QRCode.Footer,스캔하지 않으시겠어요? 모바일 기기에서 Roblox 앱을 다운로드하고 설정 > 계정 정보로 이동하세요.
Amp.FAEUpsell.Modal.QRCode.Title,모바일 앱에서 나이 확인을 완료하세요.
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,죄송합니다. 보안상의 이유로 인증이 거부되었습니다. 다시 시도하려면 며칠 후에 다시 확인하세요.
Amp.IDVErrorScreen.Retry,문제가 발생했어요. 페이지를 새로 고침하고 다시 시도하세요.
Amp.IDVErrorScreen.Timeout,죄송합니다. 인증 절차가 만료되었습니다. 페이지를 새로 고침한 후 다시 시도하세요.
Amp.IDVErrorScreen.Title,인증 실패
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,인증 시작
Amp.IDVUpsell.Directions.IDBody,"운전면허증, 여권, 신분증, 체류허가증"
Amp.IDVUpsell.Directions.IDHeader,유효한 신분증을 준비하세요
Amp.IDVUpsell.Directions.PhoneBody,계속하려면 스마트폰이 필요합니다
Amp.IDVUpsell.Directions.PhoneHeader,스마트폰을 사용하세요
Amp.IDVUpsell.Modal.Disclaimer,참고: 제삼자 서비스 제공업체를 통해 본인 인증 절차를 시작하려고 합니다. 본 절차 과정에서 수집되는 정보는 계정 보안 및/또는 Roblox 기능 활성화 목적으로 사용됩니다.
Amp.IDVUpsell.Modal.PrivacyLinkText,Roblox 개인 생체정보 처리방침
Amp.IDVUpsell.Modal.QRHeaderText,QR 코드를 스캔해 시작하세요
Amp.IDVUpsell.Modal.Title,나이 인증 필요
Amp.IDVUpsell.PrivacyPageHeader,개인정보 처리방침
Amp.Upsell.Action.AskNow,지금 요청하기
Amp.Upsell.Description.PrologueEnablePurchase,"지역별 제한으로 인해, 구매에 보호자의 동의가 필요합니다."
Amp.Upsell.Description.PrologueJoinExperience,이 체험에 참가하려면 보호자의 허락을 받아야 합니다.
Amp.Upsell.Description.PrologueTextVpc,보호자의 허락을 받아야 합니다.
Amp.Upsell.Description.PrologueUnblockUser,{displayName} 님을 차단 해제하려면 보호자 동의가 필요합니다
Amp.Upsell.Message.EmailSent,{parentEmail}(으)로 이메일이 전송되었습니다
Amp.Upsell.Message.EmailSentPluralParent,연결된 보호자 이메일 주소로 이메일이 전송되었습니다
Amp.Upsell.Title.AskYourParent,보호자에게 요청하세요
Amp.Upsell.Title.RequestSent,요청 전송 완료
Application.ConnectionError.Action.Ok,확인
Application.ConnectionError.ErrorCode,오류 코드: {errorCode}
Application.Logout.Action.Logout,로그아웃
Application.Logout.Message.Confirmation,정말로 로그아웃할까요?
Application.Logout.Title.Logout,
Application.Settings.AccountSettingsTitle,계정 설정
Application.Settings.AppSettingsTitle,앱 설정
Application.Settings.DeviceSettings.Title,기기 설정
Application.Settings.VR.Comfort.Description,움직임과 시야를 조정해 멀미를 줄입니다.
Application.Settings.VR.Comfort.Profile.Description,사전 설정 중 하나를 선택하거나 '사용자 정의'를 선택하여 컴포트 옵션을 수동으로 설정하세요.
Application.Settings.VR.Comfort.Profile.Option.Comfort,편안함
Application.Settings.VR.Comfort.Profile.Option.Custom,사용자 지정
Application.Settings.VR.Comfort.Profile.Option.Default,기본
Application.Settings.VR.Comfort.Profile.Option.Expert,전문가
Application.Settings.VR.Comfort.Profile.Title,컴포트 프로필
Application.Settings.VR.Comfort.SafetyBubbleMode.Description,나에게 가까워져도 페이드 아웃 처리하지 않을 사용자를 선택하세요.
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.Anyone,모두
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.NoOne,없음
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.OnlyFriends,친구만
Application.Settings.VR.Comfort.SafetyBubbleMode.Title,안전 영역
Application.Settings.VR.Comfort.SteppedRotationEnabled.Description,"부드럽게 연속적으로 움직이는 대신, 정해진 각도로 나누어 시야를 회전시키는 이동 설정입니다."
Application.Settings.VR.Comfort.SteppedRotationEnabled.Title,단계적 회전
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,부드러운 카메라 움직임으로 인해 발생하는 멀미 방지에 도움이 됩니다. 플레이어가 움직일 때 카메라는 제자리에 머물다가 곧바로 플레이어 뒤를 비춥니다. 3인칭에서만 작동합니다.
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,3인칭 컴포트 카메라
Application.Settings.VR.Comfort.Title,컴포트 설정
Application.Settings.VR.Comfort.VignetteEnabled.Description,멀미를 방지하거나 줄이기 위해 움직일 때 시야를 줄이는 컴포트 설정입니다.
Application.Settings.VR.Comfort.VignetteEnabled.Title,컴포트 비네트
Application.Settings.VRAccountSettingsExplanation,"개인정보 보호, 보안 제어 등에 액세스하려면
웹 또는 호환 기기를 이용하세요."
Application.Settings.VRAccountSettingsSubtitle,웹 또는 호환 기기 이용
Application.Settings.VolumeSliderDescription,"메뉴 효과, 게임 사운드, 음성 채팅 등 Roblox에서의 전반적인 사운드 볼륨을 제어합니다."
Authentication.AccountPicker.Button.CreateAccount,계정 생성
Authentication.AccountPicker.Button.SignIntoAnotherAccount,다른 계정에 로그인
Authentication.AccountPicker.Label.AllAccounts,모든 계정
Authentication.AccountPicker.Label.Manage,관리
Authentication.AccountPicker.Label.ManageAccounts,계정 관리
Authentication.AccountPicker.Label.RemoveAccount,계정을 삭제할까요?
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,다시 로그인하기 전까지 이 기기에서 더는 해당 계정을 볼 수 없습니다.
Authentication.AccountPicker.Label.RemoveAccountRemove,삭제
Authentication.AccountPicker.Label.SignedOut,로그아웃되었습니다
Authentication.AccountRecovery.Action.AddAPasskey,"네, 새 패스키를 추가합니다"
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,제거
Authentication.AccountRecovery.Action.DeleteAll,변경 사항 제거
Authentication.AccountRecovery.Action.DontDeleteCredentials,전체 유지
Authentication.AccountRecovery.Action.Next,다음
Authentication.AccountRecovery.Action.Ok,
Authentication.AccountRecovery.Action.ResetPassword,비밀번호 재설정
Authentication.AccountRecovery.Action.Save,유지
Authentication.AccountRecovery.Action.SendCode,인증 코드 받기
Authentication.AccountRecovery.Action.SkipAddingPasskey,"아니요, 이 단계를 건너뜁니다"
Authentication.AccountRecovery.Action.UpdatePassword,비밀번호 업데이트
Authentication.AccountRecovery.Action.UseAnotherMethod,다른 방법 사용
Authentication.AccountRecovery.Action.UseBackupCode,백업 코드 사용
Authentication.AccountRecovery.Action.UseEmail,이메일 사용
Authentication.AccountRecovery.Action.UseEmailInstead,대신 이메일 사용
Authentication.AccountRecovery.Action.UsePhone,전화번호 사용
Authentication.AccountRecovery.Action.UsePhoneInstead,대신 전화번호 사용
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,사용자 이름이나 이메일을 사용하세요
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,모든 변경 사항이 제거되었습니다.
Authentication.AccountRecovery.Description.CannotRecoverAccount,"보안을 위해, 2단계 인증이 활성화된 계정을 복구하려면 다른 인증 방법이 하나 더 필요합니다. 이 계정에는 안전한 복구를 위한 백업 방법이 없습니다. 기본 2단계 인증 방법을 다시 사용해 보거나, 백업 코드를 사용하여 2단계 인증 챌린지를 건너뛰세요."
Authentication.AccountRecovery.Description.ChooseAccount,복구하려는 계정을 선택합니다.
Authentication.AccountRecovery.Description.CreateNewPassword,기존 비밀번호와 다른 강력한 비밀번호를 만드세요.
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,새 비밀번호를 생성하고 이메일을 추가하면 나중에 계정을 보호하는 데 도움이 됩니다.
Authentication.AccountRecovery.Description.DeviceDoesNotSupportPasskey,강화된 보호 프로그램에 등록되어 있습니다. 계정 보안을 유지하려면 로그인할 때 패스키 또는 보안 키가 필요합니다. 이 기기는 패스키를 지원하지 않으므로 로그인하기 어려울 수 있습니다. 앞으로는 빠른 로그인을 사용하여 다른 로그인 기기에서 로그인할 수 있습니다.
Authentication.AccountRecovery.Description.EmailCodeSent,이 이메일 주소의 Roblox 계정이 있는 경우 인증 코드를 받습니다. 스팸 폴더를 포함한 모든 받은 편지함 폴더를 확인하세요.
Authentication.AccountRecovery.Description.EmailCodeSentForUser,제공해 주신 이메일 주소가 계정으로 연결된 경우 해당 주소로 6자리 인증 코드가 발송되었을 것입니다. 스팸 폴더를 포함한 모든 받은 편지함 폴더를 확인하세요.
Authentication.AccountRecovery.Description.EmailUnavailableInfo,일부 이메일은 연령 변경으로 인해 조정되어 사용할 수 없을 수 있습니다. 하지만 계정 복구에는 계속 사용할 수 있습니다.
Authentication.AccountRecovery.Description.EnhancedProtectionAddPasskey,강화된 보호 프로그램에 등록되어 있습니다. 계정 보안을 유지하려면 로그인할 때 패스키 또는 보안 키가 필요합니다.{lineBreak}{lineBreak}개인 기기를 사용하는 경우 지금 새 패스키를 설정하는 것을 권장드립니다. 그러면 나중에 이 기기에서 쉽게 로그인할 수 있습니다. 공유 기기 또는 공용 기기를 사용하는 경우 이 단계를 건너뛰세요.
Authentication.AccountRecovery.Description.EnterABackupCode,이제 저장해 둔 백업 코드를 입력하세요.
Authentication.AccountRecovery.Description.EnterContactMethodAssociatedWithYourAccount,"계정과 연동된 이메일 또는 전화번호를 입력합니다. 만약 이전에 구매한 이력이 있는 경우, 청구 이메일을 사용해 보세요."
Authentication.AccountRecovery.Description.EnterEmailAddress,이제 이메일 주소를 입력하세요. Roblox에서 구매에 사용한 이메일 주소도 가능합니다.
Authentication.AccountRecovery.Description.EnterPhoneBackupCodeOrAnotherEmail,"이제 전화번호나 백업 코드, 다른 이메일 주소를 입력하세요. Roblox에서 구매에 사용한 이메일 주소도 가능합니다."
Authentication.AccountRecovery.Description.EnterPhoneNumberSecondMethod,이제 회원님의 계정과 연결된 전화번호를 입력하세요.
Authentication.AccountRecovery.Description.EnterPhoneOrAnotherEmail,이제 전화번호나 다른 이메일 주소를 입력하세요. Roblox에서 구매에 사용한 이메일 주소도 가능합니다.
Authentication.AccountRecovery.Description.InvalidateCredentialInfo,회원님이 진행하지 않은 것으로 보이는 보안 변경 사항을 발견했습니다. 본인이 변경한 것이 아닌 경우 제거해 주세요.
Authentication.AccountRecovery.Description.InvalidateCredentialsIntro,
Authentication.AccountRecovery.Description.InvalidateCredentialsWarning,알 수 없는 변경 사항을 유지하면 계정이 위험에 처할 수 있습니다. 제거된 변경 사항은 되돌릴 수 없습니다.
Authentication.AccountRecovery.Description.KeepTwoStepMethodDynamic,계정에서 {twoStepMethod} 기능을 사용하도록 설정하셨습니다. 계속 액세스할 수 있다면 유지하세요. 다시 로그인하실 때 사용하도록 요청드리겠습니다.
Authentication.AccountRecovery.Description.NoChangesMade,추가적인 보호 수단을 설정하여 계정 보안을 유지하세요.
Authentication.AccountRecovery.Description.PhoneCodeSent,이 전화번호의 Roblox 계정이 있는 경우 인증 코드를 받습니다. SMS 또는 WhatsApp을 확인하세요.
Authentication.AccountRecovery.Description.PhoneCodeSentForUser,제공해 주신 전화번호가 계정으로 연결된 경우 해당 번호로 6자리 인증 코드가 발송되었을 것입니다. 코드가 WhatsApp 메시지나 SMS 형식으로 전송되었을 수 있습니다.
Authentication.AccountRecovery.Description.PlatformNotSupported,해당 플랫폼 및 기기에서는 계정 복구가 지원되지 않습니다. 확인을 선택하여 이 창을 닫고 로그인 페이지로 돌아가세요. 다른 기기에서 계정을 복구하세요. 그런 다음 ‘빠른 로그인’을 선택하고 안내에 따라 이미 로그인된 다른 기기로 안전하게 로그인하세요.
Authentication.AccountRecovery.Description.SaveTwoStepMethod,계속 액세스할 수 있다면 유지하세요. 다시 로그인하실 때 사용하도록 요청드리겠습니다.
Authentication.AccountRecovery.Description.SendCodeContactMethodConfirmation,제공해 주신 연락처가 Roblox 계정과 연결된 경우 6자리 인증 코드를 보내드립니다.
Authentication.AccountRecovery.Description.SomethingWentWrongVerifyAgain,문제가 발생했어요. '계속'을 눌러 다시 시도하세요.
Authentication.AccountRecovery.Description.TrustedLocationResetPassword,"{username} 님 안녕하세요, 현재 신뢰할 수 있는 위치에서 계정에 액세스하고 있습니다. 지금 비밀번호를 재설정해 Roblox 계정에 대한 액세스를 복구하세요."
Authentication.AccountRecovery.Description.TrustedLocationResetPasswordSkip2SV,"{username} 님, 안녕하세요. 현재 신뢰할 수 있는 위치에서 계정에 액세스하고 있습니다. 2단계 인증을 건너뛰고 지금 비밀번호를 재설정하여 복구를 완료할 수 있습니다."
Authentication.AccountRecovery.Description.TrustedLocationSkip2SV,"{username} 님, 안녕하세요. 현재 신뢰할 수 있는 위치에서 계정에 액세스하고 있습니다. 2단계 인증을 건너뛰고 복구를 완료할 수 있습니다."
Authentication.AccountRecovery.Description.UpdateEmailConfirmation,계정 복구에 다른 이메일을 사용하셨습니다. 이메일 주소를 {email}(으)로 업데이트하겠습니다.
Authentication.AccountRecovery.Description.VerifyAgain,2단계 인증이 활성화된 계정을 복구하기 전에 본인 인증을 완료해 주세요. '계속'을 눌러 2단계 인증 절차를 다시 시작하세요.
Authentication.AccountRecovery.Heading.AccountSecuredConfirmation,계정이 안전하게 보호됩니다
Authentication.AccountRecovery.Heading.BackupCodesGenerated,백업 코드 생성됨
Authentication.AccountRecovery.Heading.BillingEmailAdded,청구 이메일 추가됨
Authentication.AccountRecovery.Heading.CannotRecoverAccount,계정을 복구할 수 없습니다
Authentication.AccountRecovery.Heading.ChooseVerificationMethod,인증 방법을 선택하세요
Authentication.AccountRecovery.Heading.EmailAdded,이메일 추가됨
Authentication.AccountRecovery.Heading.EnhancedProtectionPostRecoveryPasskey,개인 기기인가요?
Authentication.AccountRecovery.Heading.EnhancedProtectionProgramPostRecoveryNoPasskey,이 기기는 패스키를 지원하지 않으므로 일부 기능이 제한될 수 있습니다.
Authentication.AccountRecovery.Heading.EnrolledInEnhancedProtection,보호 강화 프로그램에 등록됨
Authentication.AccountRecovery.Heading.EnterSecondMethod,2단계 인증 방법 입력
Authentication.AccountRecovery.Heading.InvalidateCredential,계정 변경 사항
Authentication.AccountRecovery.Heading.InvalidateCredentials,
Authentication.AccountRecovery.Heading.NoChangesMade,변경 사항 없음
Authentication.AccountRecovery.Heading.PasskeyAdded,패스키가 추가되었습니다.
Authentication.AccountRecovery.Heading.PhoneNumberAdded,휴대폰 번호 추가됨
Authentication.AccountRecovery.Heading.ResetPassword,
Authentication.AccountRecovery.Heading.RobloxAccountRecovery,Roblox 계정 복구
Authentication.AccountRecovery.Heading.SaveTwoStepMethod,기존 2단계 인증 수단을 유지하시겠어요?
Authentication.AccountRecovery.Heading.TwoStepMethodAdded,{value} 추가됨
Authentication.AccountRecovery.Heading.UpdateEmail,이메일 업데이트
Authentication.AccountRecovery.Heading.UseAnotherDevice,다른 기기 사용
Authentication.AccountRecovery.Label.AddEmail,이메일 주소 추가
Authentication.AccountRecovery.Label.Authenticator2sv,인증 앱 2단계 인증
Authentication.AccountRecovery.Label.Authenticator2svCapitalized,인증기 2단계 인증
Authentication.AccountRecovery.Label.BackupCode,백업 코드
Authentication.AccountRecovery.Label.ConfirmNewPasswordV2,새 비밀번호 확인
Authentication.AccountRecovery.Label.Email2sv,이메일 2단계 인증
Authentication.AccountRecovery.Label.Email2svCapitalized,
Authentication.AccountRecovery.Label.EmailUnavailable,이메일 이용 불가
Authentication.AccountRecovery.Label.EnterCode,코드 입력
Authentication.AccountRecovery.Label.NewPasswordV2,새 비밀번호
Authentication.AccountRecovery.Label.Or,또는
Authentication.AccountRecovery.Label.PreviousContactMethodVerification,{contactMethod} 인증 완료
Authentication.AccountRecovery.Label.ResendCode,코드 다시 보내기
