Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,Usia Terperiksa 13+
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,Usia Terperiksa 18+
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13–15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16–17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18–20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18—24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9–12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21+
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.AccountSettingsUpsell.Email.Button.Cancel,Batal
Amp.AccountSettingsUpsell.Email.Button.Settings,Pengaturan
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Verifikasi emailmu untuk mengakses fitur ini.

1. Buka Info Akun di Pengaturan
2. Pilih Tambahkan Email
3. Selesaikan prosesnya
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Verifikasi Email Diperlukan
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Verifikasi nomor ponselmu untuk mengakses pengalaman virtual.

1. Buka Info Akun di Pengaturan
2. Pilih Tambahkan Nomor Ponsel
3. Selesaikan prosesnya"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Verifikasi Nomor Ponsel Diperlukan
Amp.ErrorScreen.BodyText,Gagal mengambil status akses kamu
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Coba Lagi
Amp.ErrorScreen.Title,Terjadi Eror
Amp.ErrorScreen.UserMismatchBody,Kode QR ini untuk akun yang berbeda. Ganti akun dan scan lagi untuk melanjutkan.
Amp.ErrorScreen.UserMismatchTitle,Akun salah
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,Batalkan
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Lanjutkan
Amp.FAEUpsell.Modal.ExternalLink.Text,Ini membuka lebih banyak game dan fitur seperti chat.
Amp.FAEUpsell.Modal.ExternalLink.Title,Mari kita periksa usiamu
Amp.FAEUpsell.Modal.Failed.ButtonClose,Tutup
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Terjadi kesalahan. Coba lagi nanti.
Amp.FAEUpsell.Modal.Failed.Title,Kesalahan pemeriksaan usia
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Tunggu sebentar, ya. Jika kamu membatalkan, usiamu mungkin tidak diperiksa."
Amp.FAEUpsell.Modal.Loading.Title,Memeriksa usiamu
Amp.FAEUpsell.Modal.QRCode.Description,Buka lebih banyak game dan fitur saat kamu menyelesaikan pemeriksaan usia. Scan kode QR ini dengan ponsel atau tabletmu.
Amp.FAEUpsell.Modal.QRCode.Footer,Tidak memindai? Download aplikasi Roblox di perangkat selulermu dan buka Pengaturan > Info Akun
Amp.FAEUpsell.Modal.QRCode.Title,Selesaikan pemeriksaan usia dengan aplikasi seluler
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Maaf, verifikasi ditolak oleh karena alasan keamanan. Coba lagi dalam beberapa hari."
Amp.IDVErrorScreen.Retry,Terjadi kesalahan. Refresh lalu coba lagi.
Amp.IDVErrorScreen.Timeout,"Maaf, proses verifikasi membutuhkan waktu lebih lama dari biasanya. Refresh halaman lalu coba lagi."
Amp.IDVErrorScreen.Title,Verifikasi Gagal
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Mulai Verifikasi
Amp.IDVUpsell.Directions.IDBody,"SIM, Paspor, KTP, Izin Tinggal"
Amp.IDVUpsell.Directions.IDHeader,Siapkan ID yang valid
Amp.IDVUpsell.Directions.PhoneBody,Kamu perlu menggunakan smartphone untuk melanjutkan
Amp.IDVUpsell.Directions.PhoneHeader,Gunakan smartphone
Amp.IDVUpsell.Modal.Disclaimer,Harap diperhatikan: Kamu akan segera melakukan proses verifikasi ID dengan penyedia layanan pihak ketiga kami. Informasi yang dikumpulkan melalui proses ini hanya akan digunakan untuk tujuan pengamanan akunmu dan/atau mengaktifkan fitur Roblox.
Amp.IDVUpsell.Modal.PrivacyLinkText,Pemberitahuan Privasi Biometrik Roblox
Amp.IDVUpsell.Modal.QRHeaderText,Scan Kode QR untuk memulai
Amp.IDVUpsell.Modal.Title,Verifikasi Usia Diperlukan
Amp.IDVUpsell.PrivacyPageHeader,Kebijakan Privasi
Amp.Upsell.Action.AskNow,Minta Sekarang
Amp.Upsell.Description.PrologueEnablePurchase,"Karena pembatasan wilayah, kamu perlu izin orang tua untuk melakukan pembelian ini."
Amp.Upsell.Description.PrologueJoinExperience,"Untuk bergabung dengan pengalaman virtual ini, kamu perlu izin orang tua."
Amp.Upsell.Description.PrologueTextVpc,Kamu memerlukan izin orang tua.
Amp.Upsell.Description.PrologueUnblockUser,"Untuk membuka blokir {displayName}, kamu memerlukan izin orang tua"
Amp.Upsell.Message.EmailSent,Kami telah mengirim email ke {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,Kami telah mengirim email ke email orang tuamu yang terdaftar di akunmu
Amp.Upsell.Title.AskYourParent,Minta izin orang tua
Amp.Upsell.Title.RequestSent,Permintaan terkirim
Application.ConnectionError.Action.Ok,OKE
Application.ConnectionError.ErrorCode,Kode Eror: {errorCode}
Application.Logout.Action.Logout,Log Out
Application.Logout.Message.Confirmation,Kamu yakin ingin log out?
Application.Logout.Title.Logout,
Application.Settings.AccountSettingsTitle,Pengaturan Akun
Application.Settings.AppSettingsTitle,Pengaturan Aplikasi
Application.Settings.DeviceSettings.Title,Pengaturan Perangkat
Application.Settings.VR.Comfort.Description,Mengurangi Motion Sickness dengan menyesuaikan gerakan dan ruang pandang.
Application.Settings.VR.Comfort.Profile.Description,"Pilih salah satu preset atau pilih ""Kustom"" untuk mengatur setiap opsi kenyamanan secara manual."
Application.Settings.VR.Comfort.Profile.Option.Comfort,Nyaman
Application.Settings.VR.Comfort.Profile.Option.Custom,Kustom
Application.Settings.VR.Comfort.Profile.Option.Default,Default
Application.Settings.VR.Comfort.Profile.Option.Expert,Master
Application.Settings.VR.Comfort.Profile.Title,Profil Kenyamanan
Application.Settings.VR.Comfort.SafetyBubbleMode.Description,Tentukan siapa yang dapat mendekati kamu tanpa memudar
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.Anyone,Siapa pun
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.NoOne,Tidak Siapa pun
Application.Settings.VR.Comfort.SafetyBubbleMode.Option.OnlyFriends,Hanya Teman
Application.Settings.VR.Comfort.SafetyBubbleMode.Title,Gelembung Keamanan
Application.Settings.VR.Comfort.SteppedRotationEnabled.Description,"Pengaturan pergerakan yang memutar pandangan dalam sudut tetap dan bertahap, bukan gerakan kontinu."
Application.Settings.VR.Comfort.SteppedRotationEnabled.Title,Rotasi Bertahap
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Description,"Membantu mencegah motion sickness dengan gerakan kamera yang mulus. Kamera tetap di tempat saat kamu bergerak, lalu langsung berpindah ke belakangmu. Hanya berfungsi dalam sudut pandang orang ketiga."
Application.Settings.VR.Comfort.ThirdPersonFixedCamEnabled.Title,Kamera Nyaman Orang Ketiga
Application.Settings.VR.Comfort.Title,Pengaturan Kenyamanan
Application.Settings.VR.Comfort.VignetteEnabled.Description,Pengaturan kenyamanan yang mengurangi ruang pandang Anda selama bergerak untuk mencegah atau mengurangi motion sickness.
Application.Settings.VR.Comfort.VignetteEnabled.Title,Vignette Nyaman
Application.Settings.VRAccountSettingsExplanation,"Untuk mengakses Privasi, Kendali Keamanan, dan lainnya, kunjungi Web atau perangkat pendamping."
Application.Settings.VRAccountSettingsSubtitle,Kunjungi Web atau Perangkat Pendamping
Application.Settings.VolumeSliderDescription,"Kendalikan level suara keseluruhan Roblox, termasuk efek menu, suara game, dan chat suara."
Authentication.AccountPicker.Button.CreateAccount,Buat akun
Authentication.AccountPicker.Button.SignIntoAnotherAccount,Log in ke akun lain
Authentication.AccountPicker.Label.AllAccounts,Semua akun
Authentication.AccountPicker.Label.Manage,Kelola
Authentication.AccountPicker.Label.ManageAccounts,Kelola akun
Authentication.AccountPicker.Label.RemoveAccount,Hapus akun?
Authentication.AccountPicker.Label.RemoveAccountCancel,
Authentication.AccountPicker.Label.RemoveAccountDescription,"Kamu tidak akan melihat akun ini di perangkat ini lagi, kecuali kamu log in lagi."
Authentication.AccountPicker.Label.RemoveAccountRemove,Hapus
Authentication.AccountPicker.Label.SignedOut,Log out
Authentication.AccountRecovery.Action.AddAPasskey,"Ya, tambahkan passkey baru"
Authentication.AccountRecovery.Action.Continue,
Authentication.AccountRecovery.Action.Delete,
Authentication.AccountRecovery.Action.DeleteAll,Hapus perubahan
Authentication.AccountRecovery.Action.DontDeleteCredentials,Simpan semua
Authentication.AccountRecovery.Action.Next,Selanjutnya
Authentication.AccountRecovery.Action.Ok,Oke
Authentication.AccountRecovery.Action.ResetPassword,Reset password
Authentication.AccountRecovery.Action.Save,Simpan
Authentication.AccountRecovery.Action.SendCode,Kirimi saya kode
Authentication.AccountRecovery.Action.SkipAddingPasskey,"Tidak, lewati langkah ini"
Authentication.AccountRecovery.Action.UpdatePassword,Perbarui Password
Authentication.AccountRecovery.Action.UseAnotherMethod,Gunakan metode lain
Authentication.AccountRecovery.Action.UseBackupCode,Gunakan kode pemulihan
Authentication.AccountRecovery.Action.UseEmail,Gunakan email
Authentication.AccountRecovery.Action.UseEmailInstead,Gunakan email saja
Authentication.AccountRecovery.Action.UsePhone,Gunakan ponsel
Authentication.AccountRecovery.Action.UsePhoneInstead,Gunakan nomor ponsel saja
Authentication.AccountRecovery.Action.UseUsernameEmailInstead,Gunakan nama pengguna atau email saja
Authentication.AccountRecovery.Description.AccountSecuredConfirmation,Semua perubahan telah dihapus.
Authentication.AccountRecovery.Description.CannotRecoverAccount,"Demi keamananmu, diperlukan metode verifikasi kedua yang berbeda untuk memulihkan akunmu yang mengaktifkan Verifikasi 2 Langkah. Akun ini tidak memiliki metode cadangan yang tersedia untuk pemulihan yang aman. Coba dapatkan kembali akses ke metode Verifikasi 2 Langkah utama, atau gunakan kode pemulihan untuk melewati tantangan Verifikasi 2 Langkah."
Authentication.AccountRecovery.Description.ChooseAccount,Pilih akun yang ingin kamu pulihkan.
Authentication.AccountRecovery.Description.CreateNewPassword,Buat password yang kuat dan beda dari password lamamu.
Authentication.AccountRecovery.Description.CreateNewPasswordAddEmail,Buat password baru dan tambahkan alamat email untuk membantu melindungi akunmu di kemudian hari.
Authentication.AccountRecovery.Description.DeviceDoesNotSupportPasskey,"Kamu terdaftar dalam Program Perlindungan yang Ditingkatkan. Untuk menjaga keamanan akunmu, kamu memerlukan passkey atau kunci keamanan untuk log in. Perangkat ini tidak mendukung passkey, jadi log in ke perangkat ini mungkin akan sulit. Ke depannya, kamu bisa menggunakan Log in Cepat untuk log in di perangkat lain yang sudah log in."
Authentication.AccountRecovery.Description.EmailCodeSent,"Jika ada akun Roblox untuk email ini, kamu akan menerima kode verifikasi. Periksa semua foldermu, termasuk spam."
Authentication.AccountRecovery.Description.EmailCodeSentForUser,"Kami baru saja mengirim kode verifikasi 6 digit ke alamat email yang kamu berikan, jika alamat email tersebut terhubung dengan akunmu. Periksa semua foldermu, termasuk spam."
Authentication.AccountRecovery.Description.EmailUnavailableInfo,"Beberapa email mungkin tidak tersedia karena telah diubah akibat perubahan usia. Namun, email tersebut tetap dapat digunakan untuk pemulihan akun."
Authentication.AccountRecovery.Description.EnhancedProtectionAddPasskey,"Kamu terdaftar dalam Program Perlindungan yang Ditingkatkan. Untuk menjaga keamanan akunmu, kamu memerlukan passkey atau kunci keamanan untuk log in.{lineBreak}{lineBreak}Jika kamu menggunakan perangkat pribadi, kami merekomendasikan untuk mengatur passkey baru sekarang. Ini akan memudahkanmu untuk log in di perangkat ini di masa mendatang. Jika kamu menggunakan perangkat bersama atau publik, lewati langkah ini."
Authentication.AccountRecovery.Description.EnterABackupCode,"Sekarang, masukkan kode pemulihan yang telah kamu simpan."
Authentication.AccountRecovery.Description.EnterContactMethodAssociatedWithYourAccount,"Masukkan alamat email atau nomor ponsel yang mungkin terhubung dengan akunmu. Jika kamu pernah melakukan pembelian sebelumnya, coba gunakan alamat email penagihanmu."
Authentication.AccountRecovery.Description.EnterEmailAddress,"Sekarang, masukkan alamat email. Ini bisa berupa email yang pernah kamu gunakan untuk membeli sesuatu di Roblox."
Authentication.AccountRecovery.Description.EnterPhoneBackupCodeOrAnotherEmail,"Sekarang, masukkan nomor ponsel, kode pemulihan, atau alamat email lain. Ini bisa berupa email yang pernah kamu gunakan untuk membeli sesuatu di Roblox"
Authentication.AccountRecovery.Description.EnterPhoneNumberSecondMethod,"Sekarang, masukkan nomor ponsel yang terhubung dengan akunmu."
Authentication.AccountRecovery.Description.EnterPhoneOrAnotherEmail,"Sekarang, masukkan nomor ponsel atau alamat email lain. Ini bisa berupa email yang pernah kamu gunakan untuk membeli sesuatu di Roblox."
Authentication.AccountRecovery.Description.InvalidateCredentialInfo,Kami menemukan perubahan keamanan yang mungkin tidak kamu lakukan. Hapus jika kamu tidak mengenalinya
Authentication.AccountRecovery.Description.InvalidateCredentialsIntro,Kami menemukan perubahan keamanan yang mungkin tidak kamu lakukan. Hapus perubahan yang tidak kamu kenali.
Authentication.AccountRecovery.Description.InvalidateCredentialsWarning,Menyimpan perubahan yang tidak dikenali dapat membahayakan akunmu. Penghapusan perubahan tidak dapat dibatalkan.
Authentication.AccountRecovery.Description.KeepTwoStepMethodDynamic,Kamu telah mengaktifkan {twoStepMethod} di akunmu. Pertahankan jika kamu masih bisa mengaksesnya. Kami akan memintanya saat kamu log in lagi.
Authentication.AccountRecovery.Description.NoChangesMade,Jaga akunmu tetap aman dengan menambahkan lapisan perlindungan tambahan.
Authentication.AccountRecovery.Description.PhoneCodeSent,"Jika ada akun Roblox untuk nomor ponsel ini, kamu akan menerima kode verifikasi. Periksa SMS atau WhatsApp."
Authentication.AccountRecovery.Description.PhoneCodeSentForUser,"Kami baru saja mengirim kode verifikasi 6 digit ke nomor ponsel yang kamu berikan, jika nomor tersebut terhubung dengan akunmu. Kode tersebut mungkin dikirim melalui WhatsApp atau SMS."
Authentication.AccountRecovery.Description.PlatformNotSupported,"Pemulihan akun tidak didukung di platform atau perangkat ini. Pilih Oke untuk menutup jendela ini dan kembali ke halaman Log In. Pulihkan akunmu di perangkat lain. Kemudian, pilih Log In Cepat dan ikuti instruksinya untuk log in dengan aman menggunakan perangkat lain yang sudah log in."
Authentication.AccountRecovery.Description.SaveTwoStepMethod,Pertahankan jika kamu masih bisa mengaksesnya. Kami akan memintamu menggunakannya saat kamu log in lagi.
