Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13 yaş ve üzeri
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,13 Yaş ve Üzeri Kontrol Edildi
AccountIdentity.AgeCheck.Label.AgeBandOver18,18 yaş ve üzeri
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,18 Yaş ve Üzeri Kontrol Edildi
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13-15
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16-17
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18-20
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 ve üzeri
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25+
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8
Amp.AccountSettingsUpsell.Email.Button.Cancel,İptal Et
Amp.AccountSettingsUpsell.Email.Button.Settings,Ayarlar
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Bu özelliğe erişmek için lütfen e-postanı doğrula.

1. Ayarlar'da Hesap Bilgileri'ne git
2. ""E-posta Ekle""yi seç
3. İşlemi tamamla
"
Amp.AccountSettingsUpsell.Email.Modal.Title,E-posta Doğrulaması Gerekli
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Bu deneyime erişmek için lütfen telefonunu doğrula.

1. Ayarlar'da Hesap Bilgileri'ne git
2. ""Telefon Ekle""yi seç
3. İşlemi tamamla"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Telefon Doğrulaması Gerekli
Amp.ErrorScreen.BodyText,Erişim durumun alınamadı
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Tekrar dene
Amp.ErrorScreen.Title,Bir Şeyler Yanlış Gitti
Amp.ErrorScreen.UserMismatchBody,Bu QR kodu başka bir hesapla ilişkili. Devam etmek için hesap değiştir ve tekrar okut.
Amp.ErrorScreen.UserMismatchTitle,Yanlış hesap
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,İptal et
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Devam et
Amp.FAEUpsell.Modal.ExternalLink.Text,"Bu işlem, daha fazla oyunun ve sohbet gibi özelliklerin kilidini açar."
Amp.FAEUpsell.Modal.ExternalLink.Title,Yaşını kontrol edelim
Amp.FAEUpsell.Modal.Failed.ButtonClose,Kapat
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Bir şeyler ters gitti. Lütfen daha sonra tekrar dene.
Amp.FAEUpsell.Modal.Failed.Title,Yaş kontrolü hatası
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,Bu işlem birkaç dakika sürebilir. İptal edersen yaşın kontrol edilemeyebilir.
Amp.FAEUpsell.Modal.Loading.Title,Yaşın kontrol ediliyor
Amp.FAEUpsell.Modal.QRCode.Description,Yaş kontrolünü tamamlayarak daha fazla oyunun ve özelliğin kilidini aç. Bu QR kodunu telefonunda veya tabletinde okut.
Amp.FAEUpsell.Modal.QRCode.Footer,Okutamıyor musun? Roblox uygulamasını mobil cihazına indir ve Ayarlar > Hesap Bilgileri bölümüne git
Amp.FAEUpsell.Modal.QRCode.Title,Mobil uygulama ile yaş kontrolünü tamamla
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Üzgünüz, doğrulaman güvenlik nedeniyle reddedildi. Tekrar denemek istersen lütfen birkaç gün sonra tekrar kontrol et."
Amp.IDVErrorScreen.Retry,Bir şeyler yanlış gitti. Lütfen sayfayı yenile ve tekrar dene.
Amp.IDVErrorScreen.Timeout,"Üzgünüz, doğrulama süreci çok uzun sürdü. Lütfen sayfayı yenileyip tekrar dene."
Amp.IDVErrorScreen.Title,Doğrulama Başarısız
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Doğrulamayı Başlat
