Key,Value
CoreScripts.Ads.Label.Teleporting,Téléportation...
Corescripts.AvatarContextMenu.FriendRequestPending,Demande d'ami en attente
Corescripts.AvatarContextMenu.AddFriend,Ajouter un ami
Corescripts.AvatarContextMenu.Friends,Amis
Corescripts.AvatarContextMenu.AcceptFriendRequest,Accepter l'invitation d'un ami
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat désactivé
Corescripts.AvatarContextMenu.Wave,Saluer
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Accès aux articles ?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} aimerait accéder aux articles de ton avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Enregistrer le personnage de l'avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Veux-tu enregistrer ce personnage sur Roblox ? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Non
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Oui
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Annuler
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Équiper Avatar avec des articles
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} souhaiterait faire les changements suivants sur ton avatar :
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Annuler
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Article préféré
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Veux-tu ajouter {RBX_NAME} à tes préférés ?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Retirer l'article des préférés
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Veux-tu retirer {RBX_NAME} des préférés ?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Non
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Oui
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Saisir le nom du personnage
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Nom du personnage
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Confirmer
