Key,Value
CoreScripts.Ads.Label.Teleporting,Teleporting...
Corescripts.AvatarContextMenu.FriendRequestPending,Friend Request Pending
Corescripts.AvatarContextMenu.AddFriend,Add Friend
Corescripts.AvatarContextMenu.Friends,Friends
Corescripts.AvatarContextMenu.AcceptFriendRequest,Accept Friend Request
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat Disabled
Corescripts.AvatarContextMenu.Wave,Wave
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Access Items?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} would like to access your avatar’s items
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Save Avatar Character
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Do you want to save this character to Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,No
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Yes
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Cancel
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Equip Avatar with Items
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} would like to make the following changes to your avatar:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Cancel
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Favorite Item
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Do you want to add {RBX_NAME} to favorites?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Unfavorite Item
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Do you want to remove {RBX_NAME} from favorites?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,No
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Yes
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Enter Character Name
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Character Name
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Confirm
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Loading Failed
CoreScripts.AvatarEditorPrompts.Adding,Adding:
CoreScripts.AvatarEditorPrompts.Removing,Removing:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,No item changes
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Cancel
CoreScripts.PremiumModal.Title.PremiumRequired,For Premium Only
CoreScripts.PremiumModal.Body.Description,Roblox Premium will get you:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robux per month
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Access to Premium only benefits
CoreScripts.PremiumModal.Body.RobuxDiscount,10% bonus when buying Robux
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/month
CoreScripts.PremiumModal.Error.PlatformUnavailable,Purchasing Roblox Premium is not supported on your platform. Please use your desktop to purchase Premium.
CoreScripts.PremiumModal.Error.AlreadyPremium,"Looks like the developer is trying to prompt you to purchase Roblox Premium, but you are already a Premium member!"
CoreScripts.PremiumModal.Error.Unavailable,Premium is unavailable at the moment. Please again try later!
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,{robux} Robux per month
CoreScripts.PremiumModal.Error.FailedNativePurchase,"Purchase was not complete, please try again."
CoreScripts.PremiumModal.Title.Error,Error
CoreScripts.ScreenshotHud.Action.TakePhoto,Take Photo
CoreScripts.ScreenshotHud.Action.Cancel,Cancel
CoreScripts.TextChat.ChatWindow.Welcome,Chat '/?' or '/help' for a list of chat commands.
CoreScripts.TextChat.FriendsChat.LoadConversationsError,Unable to load conversations.
CoreScripts.TextChat.FriendsChat.LoadingConversations,Loading conversations...
CoreScripts.TextChat.FriendsChat.NoConversationsYet,No conversations yet
CoreScripts.TextChat.FriendsChat.NoLoadedConversationsFound,No loaded conversations found
CoreScripts.TextChat.Emote.Error.AnimationPlaying,You cannot use Emotes during this action.
CoreScripts.TextChat.Emote.Error.NoMatchingEmote,You can't use that Emote.
