Key,Value
CoreScripts.Ads.Label.Teleporting,Teleportando...
Corescripts.AvatarContextMenu.FriendRequestPending,Pedido de amizade pendente
Corescripts.AvatarContextMenu.AddFriend,Adicionar amigo
Corescripts.AvatarContextMenu.Friends,Amizades
Corescripts.AvatarContextMenu.AcceptFriendRequest,Aceitar pedido de amizade
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat desabilitado
Corescripts.AvatarContextMenu.Wave,Acenar
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Acessar itens?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} quer acessar os itens de seu avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Salvar avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Gostaria de salvar este personagem no Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Não
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Sim
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Cancelar
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Equipar avatar com itens
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} gostaria de fazer as seguintes mudanças em seu avatar:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Cancelar
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Adicionar item aos favoritos
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Você quer adicionar {RBX_NAME} aos seus favoritos?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Remover item dos favoritos
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Você quer remover {RBX_NAME} de seus favoritos?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Não
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Sim
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Insira o nome do personagem
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Nome do personagem
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Confirmar
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Falha no carregamento
CoreScripts.AvatarEditorPrompts.Adding,Adicionando:
CoreScripts.AvatarEditorPrompts.Removing,Removendo:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Sem mudanças nos itens
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Cancelar
CoreScripts.PremiumModal.Title.PremiumRequired,Apenas Premium
