Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,已验证年龄为 13 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandOver18,18 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,已验证年龄为 18 岁及以上
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13 岁以下
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13 - 15 岁
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16 - 17 岁
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18 - 20 岁
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18-24 岁
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9 - 12 岁
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 岁及以上
AccountIdentity.AgeCheck.Label.AgeGroupOver25,25 岁及以上
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5-8 岁
Amp.AccountSettingsUpsell.Email.Button.Cancel,
Amp.AccountSettingsUpsell.Email.Button.Settings,
Amp.AccountSettingsUpsell.Email.Modal.ContentText,
Amp.AccountSettingsUpsell.Email.Modal.Title,
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,
Amp.AccountSettingsUpsell.Phone.Modal.Title,
Amp.ErrorScreen.BodyText,获取访问状态失败
Amp.ErrorScreen.Cancel,取消
Amp.ErrorScreen.Retry,重试
Amp.ErrorScreen.Title,发生错误
Amp.ErrorScreen.UserMismatchBody,此二维码适用于另一个帐户。请切换帐户并再次扫描以继续。
Amp.ErrorScreen.UserMismatchTitle,错误的帐户
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,继续
Amp.FAEUpsell.Modal.ExternalLink.Text,验证你的年龄，以解锁无过滤聊天和 Party 语音功能。
Amp.FAEUpsell.Modal.ExternalLink.Title,需要年龄检查
Amp.FAEUpsell.Modal.Failed.ButtonClose,关闭
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,发生错误，请稍后重试。
Amp.FAEUpsell.Modal.Failed.Title,年龄检查错误
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,这可能需要一些时间。如果取消，则可能无法验证你的年龄。
Amp.FAEUpsell.Modal.Loading.Title,检查你的年龄
Amp.FAEUpsell.Modal.QRCode.Description,完成年龄验证，解锁更多游戏和功能。使用手机或平板电脑扫描此二维码。
Amp.FAEUpsell.Modal.QRCode.Footer,将 Roblox App 下载到你的移动设备，然后前往“设置”>“帐户信息”
Amp.FAEUpsell.Modal.QRCode.Title,使用移动版 App 完成年龄验证
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,抱歉，你的验证因安全原因而被拒绝。如果你想再次尝试，请几天后再试。
Amp.IDVErrorScreen.Retry,发生错误，请刷新页面并重试。
Amp.IDVErrorScreen.Timeout,抱歉，验证过程花费时间过长。请刷新页面后重试。
Amp.IDVErrorScreen.Title,验证失败
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,开始验证
Amp.IDVUpsell.Directions.IDBody,驾驶证、护照、身份证、居留证
Amp.IDVUpsell.Directions.IDHeader,准备有效的 ID
Amp.IDVUpsell.Directions.PhoneBody,您需要智能手机才能继续
Amp.IDVUpsell.Directions.PhoneHeader,使用智能手机
Amp.IDVUpsell.Modal.Disclaimer,请注意：您将开始通过我们的第三方服务提供商进行 ID 验证流程。通过此流程收集的信息会用于保护您的帐户和/或启用 Roblox 功能。
Amp.IDVUpsell.Modal.PrivacyLinkText,Roblox 生物识别隐私声明
Amp.IDVUpsell.Modal.QRHeaderText,扫描二维码以开始
Amp.IDVUpsell.Modal.Title,需要年龄验证
Amp.IDVUpsell.PrivacyPageHeader,隐私政策
Amp.Upsell.Action.AskNow,立即询问
Amp.Upsell.Description.PrologueEnablePurchase,由于区域限制，你需要家长权限才能购买。
Amp.Upsell.Description.PrologueJoinExperience,你需要家长许可才能加入此体验。
Amp.Upsell.Description.PrologueTextVpc,你需要得到家长的许可。
Amp.Upsell.Description.PrologueUnblockUser,若要解锁“{displayName}”，你需要家长许可
Amp.Upsell.Message.EmailSent,我们已将一封电子邮件发送至 {parentEmail}
Amp.Upsell.Message.EmailSentPluralParent,我们已向你关联的家长发送电子邮件
Amp.Upsell.Title.AskYourParent,询问你的家长
Amp.Upsell.Title.RequestSent,请求已发送
Application.Logout.Action.Logout,退出登录
Application.Logout.Message.Confirmation,是否确定退出登录？
Authentication.AccountSwitch.Action.SwitchAccount,切换帐户
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.CrossDevice.Heading.QuickLogin,快速登录
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,退出 Roblox 以切换为 {platformAccountName} 帐户
Authentication.Login.Button.UseDifferentRobloxAccount,使用其他 Roblox 帐户
Authentication.Login.Error.PasskeyOnlyAccount,你的帐户只设置了登录密码。请尝试使用你的通行密钥登录，或恢复你的帐户。
Authentication.Login.Error.PlatformAccountConnectionFailure,无法验证平台帐户。请稍后重试。
Authentication.Login.Heading.IncompatibleAccounts,帐户不兼容
Authentication.Login.Label.LearnMore,了解更多
Authentication.Login.LinkIllegalChildAccountLinking,此 Roblox 帐户无法关联到 Xbox 儿童帐户。请改用其他帐户或检查你的设置。
Authentication.Login.Response.AlreadyLinked,此 Roblox 帐户已访问{platform}的账号一个帐户。请使用一个不同的 Roblox 帐户尝试登录。
Authentication.Login.Response.IncorrectEmailOrPassword,电子邮件或密码不正确。
Authentication.Login.Response.IncorrectOtpCode,你的验证码不正确。请再次检查并重试。
Authentication.Login.Response.IncorrectPhoneOrPassword,电话或密码不正确。
Authentication.Login.Response.IncorrectUsernamePassword,用户名或密码不正确。
Authentication.Login.Response.InvalidPasskeyCredential,无法使用此通行密钥登录。若要重新获取权限，请前往“忘记密码或用户名。”
Authentication.Login.Response.MoreThanOneUsername,你的电子邮件与不止一个用户名关联。请使用你的用户名登录。
Authentication.Login.Response.PlatformAlreadyLinked,此{platform}帐户已关联至另一个 Roblox 帐户。请使用已关联的 Roblox 帐户登录。
Authentication.Login.Response.RelinkingFreeze,在过去的 90 天内，此 Roblox 帐户已访问{platform}的账号一个帐户。请使用一个不同的 Roblox 帐户尝试登录。
Authentication.Login.Response.Require2FA,主机版不支援两步验证。请遵循右侧指示以安全登录。
Authentication.Login.Response.Require2FAGeneric,此设备不支持额外验证。请遵循右侧指示以安全登录。
Authentication.Login.Response.ServiceUnavailable,服务不可用，请稍后重试。
Authentication.Login.Response.SomethingWentWrong,
Authentication.Login.Response.UnknownErrorLoginWithDifferentMethod,发生错误，请尝试其他方式登录。
Authentication.Login.Response.UnverifiedEmailLoginWithUsername,你的电子邮件未经验证。请使用你的用户名登录。
Authentication.Login.WeChat.AntiAddictionText,抵制不良作品，拒绝盗版作品。注意自我保护，谨防受骗上当。适度娱乐益脑，过度沉迷伤身。合理安排时间，享受健康生活。
Authentication.SignUp.Button.RetryLogIn,重试登录
Authentication.SignUp.Description.AccountAlreadyLinked,你在 {platformAccountName} 上的帐户已与一个 Roblox 帐户关联。请尝试重新登录。
Authentication.SignUp.Description.VerificationLinkingText.VariableButtonName,"您的 Roblox 帐户将链接到您的访问{platform}的账号。你可以随时在“设置”页面取消关联。在能够链接到另一个帐户之前,可能会有一个访问{platform}的账号。点按 {ctaButton} 即表示你同意《使用条款》（包括其中的仲裁条款），并确认已阅读《隐私政策》。"
Authentication.SignUp.Heading.CountryCodeSelector,选择国家/地区
Authentication.SignUp.Heading.RetryLogIn,
Authentication.SignUp.Response.ErrorTryAgain,有地方出错了。请稍后重试。
Authentication.TwoStepVerification.Action.GoToSecurity,设置
Authentication.TwoStepVerification.Label.TwoStepRequired,若要继续交易需要进行两步验证。请前往设置 > 安全来完成两步验证。
Authentication.TwoStepVerification.Response.TooManyAttempts,尝试次数过多。请稍后重试。
Authentication.TwoStepVerification.Title.VerificationRequired,需要验证
AvatarGeneration.SelfieConsent.AgreeButton,同意
AvatarGeneration.SelfieConsent.BodyTextLink,上传图片即表示你确认有权使用该图片，并且同意 Roblox 收集、使用并与创作者共享该图片的生成式 AI 渲染，用于创建虚拟形象。
AvatarGeneration.SelfieConsent.CancelButton,
AvatarGeneration.SelfieConsent.PrivacyLinkText,
AvatarGeneration.SelfieConsent.QRBody,{fontStart}使用手机扫描二维码并自拍。{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorBody,{fontStart}要获取新的二维码，请从游戏或体验中重新开始。{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorTitle,{fontStart}会话已过期{fontEnd}
AvatarGeneration.SelfieConsent.QRTitle,{fontStart}扫描二维码开始{fontEnd}
AvatarGeneration.SelfieConsent.Title,使用图片生成我的虚拟形象。
Common.GameSorts.Label.Favorites,最爱
Common.Presence.Label.InExperience,体验中
Common.Presence.Label.Invisible,隐藏
Common.Presence.Label.Offline,离线
Common.Presence.Label.Online,在线
Common.Presence.Label.RobloxStudio,Roblox Studio
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooLong,动画过长（{duration} 秒）。动作动画时长上限为 {maxLength} 秒。
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooShort,动画过短（{duration} 秒）。动作动画时长必须超过 {minLength} 秒。
Common.UGCValidation.ErrorLabel.AQSFail_MeshIslandML,你的身体包含小的不相连的网格组件（网格孤岛）。请移除浮动几何图形，并确保所有网格部件均已正确连接。
Common.UGCValidation.ErrorLabel.AQSFail_TooManyDisconnectedComponents,素材质量：“{partName}”有 {num_disconnected_components} 个未连接的组件，超出了 {max_disconnected_components} 个的上限。
Common.UGCValidation.ErrorLabel.AQSInputDataError,由于输入数据不正确或不完整，无法正确计算质量分数。请检查你的模型或提交错误报告
Common.UGCValidation.ErrorLabel.AQSInternalError,由于素材质量错误，无法生成分数。请检查输入数据的正确性，然后重试，或提交错误报告。
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistance,素材质量警告：笼架与网格距离得分为 {score}。外部笼架与网格之间的最大距离为 {max_distance}，{negative_sdf_percent}% 的外部笼架顶点位于渲染网格内。
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceAvatar,素材质量警告：身体笼架距离得分为 {score}。身体笼架与身体网格之间的最大距离为 {max_distance}，{negative_sdf_percent}% 的身体笼架顶点位于身体网格内。
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceHead,素材质量警告：头部笼架距离得分为 {score}。头部笼架与头部网格之间的最大距离为 {max_distance}，{negative_sdf_percent}% 的头部笼架顶点位于头部网格内。
Common.UGCValidation.ErrorLabel.AQSWarn_CageRelevancy,素材质量警告：笼架相关性得分为 {score}。{irrelevant_percent}% 的已修改外部笼架顶点未覆盖配饰。
Common.UGCValidation.ErrorLabel.AQSWarn_CageUV,素材质量警告：“{cage_name}”的笼架 UV 得分为 {score}。UV 计数不正确：{incorrect_uv_count}。
Common.UGCValidation.ErrorLabel.AQSWarn_DegenTriangles,素材质量：“{partName}”有 {degenerate_triangle_percent}% 的退化三角形（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_DynamicHead,素材质量警告：动态头部表情得分为 {score}。
Common.UGCValidation.ErrorLabel.AQSWarn_JointNumber,素材质量：接头配置得分 {score}（接头：{joint_number}；左手：{left_hand_joint_number}；右手：{right_hand_joint_number}）。
Common.UGCValidation.ErrorLabel.AQSWarn_MeshIslandVolume,素材质量：“{partName}”在 {num_disconnected_components} 个组件中有 {num_small_volume_islands} 个小的不相连的孤岛（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_MeshManifold,素材质量：“{partName}”有网格流形问题（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_MeshNotWatertight,素材质量：“{partName}”网格不严密（{boundary_edges_percent}% 边界边）。
Common.UGCValidation.ErrorLabel.AQSWarn_MeshOutsideOuterCage,素材质量警告：网格覆盖情况得分为 {score}。{mesh_outside_outer_cage_percent}% 的网格顶点位于外部笼架之外。
Common.UGCValidation.ErrorLabel.AQSWarn_MissingData,无法计算“{measureName}”的素材质量分数，原因是输入数据不完整或无效。这不会阻止你的上传操作。
Common.UGCValidation.ErrorLabel.AQSWarn_TextureComplexity,素材质量：纹理“{textureName}”的复杂度较低（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_TextureResolution,素材质量：纹理“{textureName}”的分辨率为 {texture_width}x{texture_height}（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_TriangleIntersection,素材质量：“{partName}”有 {intersecting_tri_face_percent}% 的相交三角形（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_UVBound,素材质量：“{partName}”有 {uv_outside_bound_vert_percent}% 的 UV 顶点超出边界（得分：{score}）。
Common.UGCValidation.ErrorLabel.AQSWarn_VertexSimilarity,素材质量：“{partName}”有 {similar_vertex_percent}% 的相似顶点（得分：{score}）。
Common.UGCValidation.ErrorLabel.AccessoryAttachmentOutOfBounds,“{PartName}”中的配件附件“{AttachmentName}”必须放置在网格表面附近。当前位置 [{CurrentPosition}] 在有效区域之外。请将其移动到更靠近 [{ClosestValidPosition}] 的位置。
Common.UGCValidation.ErrorLabel.AccessorySkinning_ExtraJoint,手柄已通过蒙皮绑定到{jointName}关节，该关节不属于允许的架构。目前只允许使用标准 R15 关节和蒙皮转移关节。
Common.UGCValidation.ErrorLabel.AccessorySkinning_MissingTransferJoint,{assetType}必须使用蒙皮转移功能，但你缺少必需的{requiredJointName}关节。
Common.UGCValidation.ErrorLabel.AccessorySkinning_NotLeaderOrFollower,手柄已通过蒙皮绑定到接头“{jointName}”，但此资源必须进行自动蒙皮。你只能通过蒙皮绑定到“{validJointNameList}”。
Common.UGCValidation.ErrorLabel.AccessorySkinning_RequiredSkinningTransfer,{assetType}必须使用蒙皮转移功能，请将 WrapLayer.AutoSkin 设置为 EnabledOverride。
Common.UGCValidation.ErrorLabel.AccessorySkinning_RigidIsSkinned,刚性配饰包含不受支持的蒙皮数据。请确保不要同时导入骨骼与网格
Common.UGCValidation.ErrorLabel.AccessorySkinning_TransferJointWithoutAutoSkin,手柄包含接头“{jointName}”，仅当 WrapLayer.AutoSkin 设置为 EnabledOverride 时才允许这样做。
Common.UGCValidation.ErrorLabel.AccessorySkinning_WeightNotFull,通过蒙皮绑定到转移关节的顶点必须完全加权。
Common.UGCValidation.ErrorLabel.AnimationPack_DuplicateAnimationId,动画包套装包含重复的动画 ID“{animationId}”，该 ID 被多个剪辑使用：{instancePaths}。每个动画剪辑必须引用唯一的动画素材。
Common.UGCValidation.ErrorLabel.AnimationPack_InvalidR15AnimChildren,动画包套装缺少预期的动画类型：{missingAnimationTypes}。每个动画类型必须有一个 R15Anim 文件夹，其中包含与其预期完全一致的 StringValue 子项。
Common.UGCValidation.ErrorLabel.Animation_WeightNotPositive,动画“{animationName}”的权重值为 {weight}，但权重必须大于 0。请修改该动画。
Common.UGCValidation.ErrorLabel.AssetSchemaMissingItem,在{ParentPath}中找不到名为{ExpectedName}的所需{ExpectedClass}
Common.UGCValidation.ErrorLabel.AssetSchemaUnexpectedItems,以下实例不属于已批准的架构，应予以移除：{UnexpectedDescendantPaths}。
Common.UGCValidation.ErrorLabel.AssetSchemaWrongRootClass,上传的素材应为{ExpectedClass}，但实际为{RootClass}。
Common.UGCValidation.ErrorLabel.AssetSchemaWrongRootName,上传的素材应命名为{ExpectedClass}，但实际命名为{RootClass}。
Common.UGCValidation.ErrorLabel.ContentNotEditable,{InstanceFullName}.{FieldName} 仍包含未保存的可编辑内容。请在发布前将其保存为素材，然后重试。
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartHasPosition,CurveAnimation 中的身体部位“{bodyPartName}”有一个位置（平移）轨道。动画身体部位只能旋转；不允许使用位置轨道。请从此身体部位中移除位置轨道。
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartTranslationExceedsThreshold,CurveAnimation 中的身体部位“{bodyPartName}”从起始位置移动了 {distance} 格。允许的最大平移距离为 {maxDistance} 格。请减少身体部位的位置移动。
Common.UGCValidation.ErrorLabel.CurveAnim_BodyPartWithBoneHasPosition,CurveAnimation 包含 HRD/DRD 骨骼，且身体部位“{bodyPartName}”有一个位置（平移）轨道。当动画中存在骨骼时，不可平移任何身体部位，以防止接头分离。请从身体部位移除所有位置轨道。
Common.UGCValidation.ErrorLabel.CurveAnim_BonePositionNotAllowed,CurveAnimation 中的骨骼“{boneName}”有一个位置（平移）轨道。HRD/DRD 骨骼只能旋转；位置轨道会导致接头分离，因此不允许使用。请从此骨骼中移除位置动画。
Common.UGCValidation.ErrorLabel.CurveAnim_BoneTranslationExceedsThreshold,CurveAnimation 中的骨骼“{boneName}”从起始位置移动了 {distance} 格。允许的最大平移距离为 {maxDistance} 格。请减少骨骼的位置移动。
Common.UGCValidation.ErrorLabel.CurveAnim_BonesNotAllowed,CurveAnimation 包含尚不支持的 HRD/DRD 骨骼文件夹。请在上传前移除所有骨骼子文件夹。
Common.UGCValidation.ErrorLabel.CurveAnim_BoundsExceeded,CurveAnimation 中的身体部位距离 HumanoidRootPart 不能低于 {minHeight} 格或高于 {maxDistance} 格。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_ChildrenOnMarkerOrRig,CurveAnimation 的子级 MarkerCurves 和 AnimationRigData 不能有子级
Common.UGCValidation.ErrorLabel.CurveAnim_ContainsScripts,CurveAnimation 层级结构包含 Scripts、LocalScripts 或 ModuleScripts。请将它们移除。
Common.UGCValidation.ErrorLabel.CurveAnim_FetchFailed,加载 CurveAnimation 数据失败。动画素材可能无效或无法访问。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBodyPartHierarchy,CurveAnimation 包含具有无效层级结构的身体部位文件夹“{folderName}”（包含不允许的子文件夹或设置不正确）
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBodyPartHierarchyDetail,
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidBoneName,CurveAnimation 中的文件夹“{boneName}”不是可识别的 HRD/DRD 骨骼名称。动画子文件夹必须是有效的 R15 身体部位或可识别的骨骼名称（例如 HeadBase、Spine、Chest、LeftClavicle、RightClavicle、LeftToeBase、RightToeBase，或手指骨骼，如 LeftHandIndex1）。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidCurveData,CurveAnimation 包含时间无效、值无效或值过长的 Curve。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidInstanceTypes,CurveAnimation 层级结构只能包含 {allowedTypes}。请移除所有其他类型的实例。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidLength,CurveAnimation 的时长必须介于 {minLength} 到 {maxLength} 秒之间。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidMarkerData,CurveAnimation 包含时间无效、值无效或值过长的 MarkerCurve。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidNumericalData,CurveAnimation 包含数值无效的 Curve。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidRigData,AnimationRigData 未通过内部验证。请确保 AnimationRigData 已正确设置。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidRigDataR15Plus,AnimationRigData 未通过 R15+ 内部验证。请确保 AnimationRigData 已正确设置，支持骨骼动画。
Common.UGCValidation.ErrorLabel.CurveAnim_InvalidTags,CurveAnimation 只能包含一个时间戳标签。请移除所有其他标签。
Common.UGCValidation.ErrorLabel.CurveAnim_JointRotationExceeded,在 CurveAnimation 的第 {time} 秒，接头“{bodyPart}”相对于静止姿势旋转了 {rotation} 度。允许的最大角度为 {maxRotation} 度。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_KeysTooClose,CurveAnimation 中 Curve {curvePath} 的关键帧在时间上过于接近，最大 {maxFPS} fps 的动画无法实现。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_LoopingNotEnabled,CurveAnimation“{animationName}”未启用循环。上传到商城的动画必须循环。请启用“循环”属性。
Common.UGCValidation.ErrorLabel.CurveAnim_MultipleBodyRoots,CurveAnimation 包含多个身体部位或 HumanoidRootPart 子文件夹。请确保只有一个以身体部位或 HumanoidRootPart 命名的子文件夹。
Common.UGCValidation.ErrorLabel.CurveAnim_MultipleRigData,CurveAnimation 包含多个 AnimationRigData 子级。请确保只有一个 AnimationRigData 子级。
Common.UGCValidation.ErrorLabel.CurveAnim_NegativeKeyTime,CurveAnimation 中 Curve {curvePath} 的某个关键帧时间为负值。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_NoBodyRoot,CurveAnimation 不包含任何身体部位或 HumanoidRootPart 子文件夹。请确保有且只有一个以身体部位或 HumanoidRootPart 命名的子文件夹。
Common.UGCValidation.ErrorLabel.CurveAnim_NoJointManipulation,CurveAnimation 未包含任何接头操作。
Common.UGCValidation.ErrorLabel.CurveAnim_NoRigData,CurveAnimation 未包含任何 AnimationRigData 子级。请确保有且只有一个 AnimationRigData 子级。
Common.UGCValidation.ErrorLabel.CurveAnim_NotCurveAnimation,引用的动画不是 CurveAnimation。请确保动画已正确上传。
Common.UGCValidation.ErrorLabel.CurveAnim_PartTooFar,在 CurveAnimation 的第 {time} 秒，身体部位“{bodyPart}”与 HumanoidRootPart 的距离为 {distance} 格。身体部位与 HumanoidRootPart 的距离不能超过 {maxDistance} 格。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_PartTooLow,在 CurveAnimation 的第 {time} 秒，身体部位“{bodyPart}”距离 HumanoidRootPart 的高度为 {height} 格。身体部位距离 HumanoidRootPart 的高度不能低于 {minHeight} 个格。请修复该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_PositionSeparation,CurveAnimation 中存在位置分离的身体部位。只有 LowerTorso 可以改变位置。所有其他身体部位只能改变方向。“{bodyPart}”从其父级移动超过 {maxMovement} 格。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_RotationTooFast,在 CurveAnimation 的第 {time} 秒，身体部位“{bodyPart}”以 {speed} 度/秒的旋转速度移动。最大旋转速度为 {maxSpeed} 度/秒。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_SpeedTooFast,在 CurveAnimation 的第 {time} 秒，身体部位“{bodyPart}”以 {speed} 格/秒的速度移动。最大速度为 {maxSpeed} 格/秒。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_SpeedTooFastLegacy,CurveAnimation 中的身体部位“{bodyPart}”在帧之间移动的距离超过 {maxMovement} 格。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_TooManyDescendants,CurveAnimation 拥有 {count} 个子对象。允许的最大数量为 {maxAllowed} 个。请减少子对象数量。
Common.UGCValidation.ErrorLabel.CurveAnim_TooManyKeys,CurveAnimation 包含关键帧过多的 Curve。每个 Curve 最多只能有 {maxAllowed} 个关键帧。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_TooManyMarkerCurves,CurveAnimation 包含超过 {maxAllowed} 个 MarkerCurve。请确保 MarkerCurve 的子对象数量不超过 {maxAllowed} 个。
Common.UGCValidation.ErrorLabel.CurveAnim_TooManyMarkers,CurveAnimation 包含带 {count} 个标记的 MarkerCurve。每个 MarkerCurve 最多只能有 {maxAllowed} 个标记。请修改该动画。
Common.UGCValidation.ErrorLabel.CurveAnim_UnexpectedChild,CurveAnimation 包含不应存在的子级：{childName}
Common.UGCValidation.ErrorLabel.DynamicHeadCageMisaligned,商城中的动态头部必须正确置入笼架，以便笼架上的眼睛和嘴巴顶点与网格顶点对齐。请调整笼架位置，使其与网格对齐。
Common.UGCValidation.ErrorLabel.DynamicHeadHappyNotShown,无法检测到动态头部的微笑表情。请调整嘴巴的笼架标记，使其与头部的嘴巴位置相匹配，并确保它可以显示微笑表情。
