Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13세 이상
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,나이가 13세 이상으로 확인되었습니다
AccountIdentity.AgeCheck.Label.AgeBandOver18,18세 이상
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,나이가 18세 이상으로 확인되었습니다
AccountIdentity.AgeCheck.Label.AgeBandUnder13,13세 미만
AccountIdentity.AgeCheck.Label.AgeGroup13To15,13~15세
AccountIdentity.AgeCheck.Label.AgeGroup16To17,16~17세
AccountIdentity.AgeCheck.Label.AgeGroup18To20,18~20세
AccountIdentity.AgeCheck.Label.AgeGroup18To24,만 18~24세
AccountIdentity.AgeCheck.Label.AgeGroup9To12,9-12
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21세 이상
AccountIdentity.AgeCheck.Label.AgeGroupOver25,만 25세 이상
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5~8세
Amp.AccountSettingsUpsell.Email.Button.Cancel,취소
Amp.AccountSettingsUpsell.Email.Button.Settings,설정
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"이 체험을 이용하려면 이메일 인증을 진행하세요.

1. 설정 메뉴에서 계정 정보로 이동합니다.
2. 이메일 주소 추가를 선택합니다.
3. 인증 절차를 진행합니다.
"
Amp.AccountSettingsUpsell.Email.Modal.Title,이메일 인증 필요
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"이 체험을 이용하려면 휴대폰 인증을 진행하세요.

1. 설정 메뉴에서 계정 정보로 이동합니다.
2. 휴대폰 번호 추가를 선택합니다.
3. 인증 절차를 완료합니다."
Amp.AccountSettingsUpsell.Phone.Modal.Title,휴대폰 인증 필요
Amp.ErrorScreen.BodyText,액세스 상태를 가져오지 못했습니다
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,다시 시도
Amp.ErrorScreen.Title,오류가 발생했어요
Amp.ErrorScreen.UserMismatchBody,다른 계정의 QR 코드를 스캔하셨습니다. 계속하려면 계정을 전환하고 다시 스캔하세요.
Amp.ErrorScreen.UserMismatchTitle,잘못된 계정입니다
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,계속하기
Amp.FAEUpsell.Modal.ExternalLink.Text,이렇게 하면 더 많은 게임과 채팅 같은 기능을 이용할 수 있습니다.
Amp.FAEUpsell.Modal.ExternalLink.Title,나이 확인
Amp.FAEUpsell.Modal.Failed.ButtonClose,닫기
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,오류가 발생했어요. 나중에 다시 시도하세요.
Amp.FAEUpsell.Modal.Failed.Title,나이 확인 오류
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,이 과정에는 다소 시간이 걸릴 수 있습니다. 취소하시면 나이가 확인되지 않을 수도 있습니다.
Amp.FAEUpsell.Modal.Loading.Title,나이 확인 중
Amp.FAEUpsell.Modal.QRCode.Description,나이 확인을 완료하여 더 많은 게임과 기능을 이용하세요. 휴대폰 또는 태블릿으로 이 QR 코드를 스캔하세요.
Amp.FAEUpsell.Modal.QRCode.Footer,스캔하지 않으시겠어요? 모바일 기기에서 Roblox 앱을 다운로드하고 설정 > 계정 정보로 이동하세요.
Amp.FAEUpsell.Modal.QRCode.Title,모바일 앱에서 나이 확인을 완료하세요.
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,죄송합니다. 보안상의 이유로 인증이 거부되었습니다. 다시 시도하려면 며칠 후에 다시 확인하세요.
Amp.IDVErrorScreen.Retry,문제가 발생했어요. 페이지를 새로 고침하고 다시 시도하세요.
Amp.IDVErrorScreen.Timeout,죄송합니다. 인증 절차가 만료되었습니다. 페이지를 새로 고침한 후 다시 시도하세요.
Amp.IDVErrorScreen.Title,인증 실패
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,인증 시작
Amp.IDVUpsell.Directions.IDBody,"운전면허증, 여권, 신분증, 체류허가증"
Amp.IDVUpsell.Directions.IDHeader,유효한 신분증을 준비하세요
Amp.IDVUpsell.Directions.PhoneBody,계속하려면 스마트폰이 필요합니다
Amp.IDVUpsell.Directions.PhoneHeader,스마트폰을 사용하세요
Amp.IDVUpsell.Modal.Disclaimer,참고: 제삼자 서비스 제공업체를 통해 본인 인증 절차를 시작하려고 합니다. 본 절차 과정에서 수집되는 정보는 계정 보안 및/또는 Roblox 기능 활성화 목적으로 사용됩니다.
Amp.IDVUpsell.Modal.PrivacyLinkText,Roblox 개인 생체정보 처리방침
Amp.IDVUpsell.Modal.QRHeaderText,QR 코드를 스캔해 시작하세요
Amp.IDVUpsell.Modal.Title,나이 인증 필요
Amp.IDVUpsell.PrivacyPageHeader,개인정보 처리방침
Amp.Upsell.Action.AskNow,지금 요청하기
Amp.Upsell.Description.PrologueEnablePurchase,"지역별 제한으로 인해, 구매에 보호자의 동의가 필요합니다."
Amp.Upsell.Description.PrologueJoinExperience,이 체험에 참가하려면 보호자의 허락을 받아야 합니다.
Amp.Upsell.Description.PrologueTextVpc,보호자의 허락을 받아야 합니다.
Amp.Upsell.Description.PrologueUnblockUser,{displayName} 님을 차단 해제하려면 보호자 동의가 필요합니다
Amp.Upsell.Message.EmailSent,{parentEmail}(으)로 이메일이 전송되었습니다
Amp.Upsell.Message.EmailSentPluralParent,연결된 보호자 이메일 주소로 이메일이 전송되었습니다
Amp.Upsell.Title.AskYourParent,보호자에게 요청하세요
Amp.Upsell.Title.RequestSent,요청 전송 완료
Application.Logout.Action.Logout,로그아웃
Application.Logout.Message.Confirmation,정말로 로그아웃할까요?
Authentication.AccountSwitch.Action.SwitchAccount,계정 전환
Authentication.AccountSwitch.Header.SwitchAccountSentenceCase,
Authentication.CrossDevice.Heading.QuickLogin,빠른 로그인
Authentication.Login.Action.QuickSignIn,
Authentication.Login.Button.CloseAndSwitchPlatformAccount,{platformAccountName} 계정으로 전환하려면 Roblox를 종료하세요
Authentication.Login.Button.UseDifferentRobloxAccount,다른 Roblox 계정 사용
Authentication.Login.Error.PasskeyOnlyAccount,계정에 로그인용 패스키만 설정되어 있습니다. 패스키로 로그인을 시도하거나 계정을 복구하세요.
Authentication.Login.Error.PlatformAccountConnectionFailure,플랫폼 계정을 인증할 수 없습니다. 나중에 다시 시도하세요.
Authentication.Login.Heading.IncompatibleAccounts,계정이 호환되지 않음
Authentication.Login.Label.LearnMore,더 알아보기
Authentication.Login.LinkIllegalChildAccountLinking,이 Roblox 계정을 Xbox 자녀 계정에 연결할 수 없습니다. 다른 계정을 사용하거나 설정을 확인하세요.
Authentication.Login.Response.AlreadyLinked,이 Roblox 계정은 이미 {platform}상의 다른 계정에 연결되어 있습니다. 다른 Roblox 계정으로 로그인해 보세요.
Authentication.Login.Response.IncorrectEmailOrPassword,이메일 또는 비밀번호가 일치하지 않습니다.
Authentication.Login.Response.IncorrectOtpCode,올바르지 않은 코드입니다. 코드를 재확인하고 다시 시도하세요.
Authentication.Login.Response.IncorrectPhoneOrPassword,전화번호 또는 비밀번호가 일치하지 않습니다.
Authentication.Login.Response.IncorrectUsernamePassword,사용자 이름 또는 비밀번호가 일치하지 않습니다.
Authentication.Login.Response.InvalidPasskeyCredential,이 패스키로 로그인할 수 없습니다. 액세스를 다시 확보하려면 '비밀번호 또는 사용자 이름 분실'을 이용하세요.
Authentication.Login.Response.MoreThanOneUsername,이메일이 1개 이상의 사용자 이름과 연결되어 있습니다. 사용자 이름으로 로그인하세요.
Authentication.Login.Response.PlatformAlreadyLinked,이 {platform} 계정은 이미 다른 Roblox 계정에 연결되어 있습니다. 연결된 Roblox 계정으로 로그인하세요.
Authentication.Login.Response.RelinkingFreeze,지난 90일 동안 {platform}상의 다른 계정에 연결된 Roblox 계정입니다. 다른 Roblox 계정으로 로그인해 보세요.
Authentication.Login.Response.Require2FA,콘솔에서는 2단계 인증이 지원되지 않습니다. 안전하게 로그인하려면 오른쪽의 안내 사항을 따르세요.
Authentication.Login.Response.Require2FAGeneric,이 기기에서는 추가적인 필수 인증이 지원되지 않습니다. 안전하게 로그인하려면 오른쪽의 안내 사항을 따르세요.
Authentication.Login.Response.ServiceUnavailable,서비스 이용 불가. 나중에 다시 시도하세요.
Authentication.Login.Response.SomethingWentWrong,오류가 발생했어요. 나중에 다시 시도하세요.
Authentication.Login.Response.UnknownErrorLoginWithDifferentMethod,문제가 발생했습니다. 다른 방법으로 로그인하세요.
Authentication.Login.Response.UnverifiedEmailLoginWithUsername,인증되지 않은 이메일입니다. 사용자 이름으로 로그인하세요.
Authentication.Login.WeChat.AntiAddictionText,"건전하지 않은 체험과 저작권 문제가 있는 체험은 방문하지 마시고, 사기 행위에 연루되지 않도록 스스로를 보호하세요. 이곳에서의 체험은 두뇌 발달에 도움이 되지만, 지나치게 오래 방문하는 것은 건강에 좋지 않습니다. 방문 시간을 잘 조절해서 건강한 생활을 유지하세요."
Authentication.SignUp.Button.RetryLogIn,로그인 재시도
Authentication.SignUp.Description.AccountAlreadyLinked,{platformAccountName} 계정은 이미 Roblox계정에 연결되어 있습니다. 로그인을 다시 시도하세요.
Authentication.SignUp.Description.VerificationLinkingText.VariableButtonName,"Roblox 계정이 {platform}상의 계정에 연결됩니다. 언제든지 설정 화면에서 연결을 해제할 수 있습니다. {platform}상의 다른 계정에 연결하기 전에 잠시 지연이 발생할 수 있습니다. '{ctaButton}'을(를) 클릭하면, 중재 조항을 포함한 이용 약관 및 개인정보 처리방침에 동의하는 것으로 간주됩니다."
Authentication.SignUp.Heading.CountryCodeSelector,국가 선택
Authentication.SignUp.Heading.RetryLogIn,
Authentication.SignUp.Response.ErrorTryAgain,오류가 발생했어요. 나중에 다시 시도해 주세요.
Authentication.TwoStepVerification.Action.GoToSecurity,
Authentication.TwoStepVerification.Label.TwoStepRequired,거래를 진행하려면 2단계 인증이 되어 있어야 합니다. 설정> 보안으로 이동해 2단계 인증을 완료하세요.
Authentication.TwoStepVerification.Response.TooManyAttempts,시도 가능 횟수를 초과했습니다. 나중에 다시 시도하세요.
Authentication.TwoStepVerification.Title.VerificationRequired,인증 필요
AvatarGeneration.SelfieConsent.AgreeButton,동의
AvatarGeneration.SelfieConsent.BodyTextLink,"이미지를 업로드함으로써 해당 이미지를 사용할 권리는 본인에게 있음을 확인하며, Roblox가 아바타 생성을 위해 이 이미지를 수집하고, 사용하고, 다른 크리에이터와 해당 이미지의 Gen AI 렌더링을 공유할 수 있음에 동의합니다."
AvatarGeneration.SelfieConsent.CancelButton,
AvatarGeneration.SelfieConsent.PrivacyLinkText,
AvatarGeneration.SelfieConsent.QRBody,{fontStart}휴대폰을 사용하여 QR 코드를 스캔하고 셀카를 찍으세요.{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorBody,{fontStart}새 QR 코드를 받으려면 게임이나 체험에서 다시 시작하세요.{fontEnd}
AvatarGeneration.SelfieConsent.QRErrorTitle,{fontStart}세션이 만료되었습니다.{fontEnd}
AvatarGeneration.SelfieConsent.QRTitle,{fontStart}시작하려면 QR 코드를 스캔하세요{fontEnd}
AvatarGeneration.SelfieConsent.Title,이미지를 사용해 아바타를 생성합니다.
Common.GameSorts.Label.Favorites,즐겨찾기
Common.Presence.Label.InExperience,체험 내
Common.Presence.Label.Invisible,오프라인
Common.Presence.Label.Offline,
Common.Presence.Label.Online,온라인
Common.Presence.Label.RobloxStudio,Roblox Studio
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooLong,애니메이션이 너무 깁니다({duration}초). 이모티콘 애니메이션은 {maxLength}초 이하여야 합니다.
Common.UGCValidation.ErrorLabel.AQSFail_AnimationTooShort,애니메이션이 너무 짧습니다({duration}초). 이모티콘 애니메이션은 {minLength}초 이상이어야 합니다.
Common.UGCValidation.ErrorLabel.AQSFail_MeshIslandML,신체에 분리된 작은 메시 구성 요소(메시 분리 영역)가 있습니다. 플로팅 지오메트리를 제거하고 모든 메시 부품이 올바르게 연결되었는지 확인하세요.
Common.UGCValidation.ErrorLabel.AQSFail_TooManyDisconnectedComponents,"애셋 품질: {partName}에는 분리 영역이 {num_disconnected_components}개 존재하며, 이는 최대치인 {max_disconnected_components}을(를) 초과합니다."
Common.UGCValidation.ErrorLabel.AQSInputDataError,입력 데이터가 올바르지 않거나 불완전하여 품질 점수를 제대로 계산할 수 없습니다. 모델을 확인하거나 버그 신고를 제출하세요.
Common.UGCValidation.ErrorLabel.AQSInternalError,"애셋 품질 오류로 인해 점수를 생성할 수 없습니다. 입력 데이터의 정확성을 확인하고 다시 시도하거나, 버그 신고를 제출하세요."
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistance,애셋 품질 경고: 케이지-메시 거리 점수가 {score}입니다. 외부 케이지와 메시 사이의 최대 거리는 {max_distance}입니다. 외부 케이지 버텍스의 {negative_sdf_percent}%가 렌더링 메시 내부에 있습니다.
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceAvatar,애셋 품질 경고: 바디 케이지 거리 점수가 {score}입니다. 바디 케이지와 메시 사이의 최대 거리는 {max_distance}입니다. 바디 케이지 버텍스의 {negative_sdf_percent}%가 바디 메시 내부에 있습니다.
Common.UGCValidation.ErrorLabel.AQSWarn_CageMeshDistanceHead,애셋 품질 경고: 헤드 케이지 거리 점수가 {score}입니다. 헤드 케이지와 메시 사이의 최대 거리는 {max_distance}입니다. 헤드 케이지 버텍스의 {negative_sdf_percent}%가 헤드 메시 내부에 있습니다.
Common.UGCValidation.ErrorLabel.AQSWarn_CageRelevancy,애셋 품질 경고: 케이지 관련성 점수는 {score}입니다. 수정된 외부 케이지 버텍스의 {irrelevant_percent}%가 장신구를 포함하지 않습니다.
Common.UGCValidation.ErrorLabel.AQSWarn_CageUV,애셋 품질 경고: {cage_name}의 케이지 UV 점수가 {score}입니다. 잘못된 UV 수: {incorrect_uv_count}.
Common.UGCValidation.ErrorLabel.AQSWarn_DegenTriangles,애셋 품질: {partName}에는 퇴화 삼각형이 {degenerate_triangle_percent}% 존재합니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_DynamicHead,애셋 품질 경고: 다이내믹 헤드 표현 점수가 {score}입니다.
Common.UGCValidation.ErrorLabel.AQSWarn_JointNumber,"애셋 품질: 조인트 구성 점수 {score}(조인트: {joint_number}, 왼손: {left_hand_joint_number}, 오른손: {right_hand_joint_number})."
Common.UGCValidation.ErrorLabel.AQSWarn_MeshIslandVolume,애셋 품질: {partName}에는 {num_disconnected_components}개 구성 요소 중 작은 분리 영역이 {num_small_volume_islands}개 존재합니다(점수:{score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshManifold,애셋 품질: {partName}에는 메시 매니폴드 문제가 있습니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshNotWatertight,애셋 품질: {partName} 메시가 방수가 되지 않습니다(경계 에지 {boundary_edges_percent}%).
Common.UGCValidation.ErrorLabel.AQSWarn_MeshOutsideOuterCage,애셋 품질 경고: 메시 포함 점수가 {score}입니다. 메시 버텍스의 {mesh_outside_outer_cage_percent}%가 외부 케이지 외부에 있습니다.
Common.UGCValidation.ErrorLabel.AQSWarn_MissingData,입력 데이터가 불완전하거나 유효하지 않아 {measureName}의 애셋 품질 점수를 계산할 수 없습니다. 이로 인해 업로드가 차단되지는 않습니다.
Common.UGCValidation.ErrorLabel.AQSWarn_TextureComplexity,애셋 품질: 텍스처 {textureName}의 복잡도가 낮습니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TextureResolution,애셋 품질: 텍스처 {textureName}의 해상도가 {texture_width}x{texture_height}입니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_TriangleIntersection,애셋 품질: {partName}에는 교차하는 삼각형 면이 {intersecting_tri_face_percent}% 존재합니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_UVBound,애셋 품질: {partName}에는 경계 밖에 있는 UV 버텍스가 {uv_outside_bound_vert_percent}% 존재합니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AQSWarn_VertexSimilarity,애셋 품질: {partName}에는 유사한 버텍스가 {similar_vertex_percent}% 존재합니다(점수: {score}).
Common.UGCValidation.ErrorLabel.AccessoryAttachmentOutOfBounds,'{AttachmentName}'의 액세서리 부착물 '{PartName}'은(는) 메쉬 표면 근처에 배치해야 합니다. 현재 위치 [{CurrentPosition}]이(가) 유효 영역을 벗어났습니다. [{ClosestValidPosition}]에 더 가깝게 이동하세요.
Common.UGCValidation.ErrorLabel.AccessorySkinning_ExtraJoint,핸들에 허용되는 스키마에 포함되지 않는 조인트 {jointName}에 대한 스킨이 적용되어 있습니다. 표준 R15 조인트와 스키닝 전달 조인트만 허용됩니다.
Common.UGCValidation.ErrorLabel.AccessorySkinning_MissingTransferJoint,"{assetType}에서는 스키닝 전달을 사용해야 하지만, 필요한 조인트 {requiredJointName}이(가) 없습니다."
Common.UGCValidation.ErrorLabel.AccessorySkinning_NotLeaderOrFollower,"핸들에 조인트 {jointName}에 대한 스킨이 적용되어 있지만, 이 애셋에는 자동 스킨이 적용되어야 합니다. {validJointNameList}에 대해서만 스킨을 적용할 수 있습니다."
Common.UGCValidation.ErrorLabel.AccessorySkinning_RequiredSkinningTransfer,{assetType}에서는 스키닝 전달을 사용해야 합니다. WrapLayer.AutoSkin을 EnabledOverride로 설정하세요.
Common.UGCValidation.ErrorLabel.AccessorySkinning_RigidIsSkinned,리지드 액세서리에 지원되지 않는 스키닝 데이터가 있습니다. 메시와 함께 본을 가져오지 않도록 하세요.
Common.UGCValidation.ErrorLabel.AccessorySkinning_TransferJointWithoutAutoSkin,"핸들에 조인트 {jointName}이(가) 포함되어 있으며, 이는 WrapLayer.AutoSkin이 EnabledOverride로 설정된 경우에만 허용됩니다."
Common.UGCValidation.ErrorLabel.AccessorySkinning_WeightNotFull,조인트를 전달하기 위해 스킨이 적용된 버텍스에는 완전한 가중치를 적용해야 합니다.
Common.UGCValidation.ErrorLabel.AnimationPack_DuplicateAnimationId,애니메이션 팩 번들에 여러 클립에서 사용되는 중복 애니메이션 ID '{animationId}'이(가) 포함되어 있습니다: {instancePaths}. 각 애니메이션 클립은 고유한 애니메이션 자산을 참조해야 합니다.
Common.UGCValidation.ErrorLabel.AnimationPack_InvalidR15AnimChildren,애니메이션 팩 번들에 예상되는 애니메이션 유형이 없습니다: {missingAnimationTypes}. 각 애니메이션 유형에는 예상되는 StringValue 하위 항목을 정확히 포함하는 R15Anim 폴더가 하나 있어야 합니다.
Common.UGCValidation.ErrorLabel.Animation_WeightNotPositive,애니메이션 '{animationName}'의 가중치 값이 {weight}입니다. 가중치는 0보다 커야 합니다. 애니메이션을 수정하세요.
Common.UGCValidation.ErrorLabel.AssetSchemaMissingItem,필요한 {ExpectedClass}의 {ExpectedName}을(를) {ParentPath} 내에서 찾지 못했습니다
