Key,Value
CoreScripts.Ads.Label.Teleporting,Đang dịch chuyển...
Corescripts.AvatarContextMenu.FriendRequestPending,Yêu Cầu Kết Bạn Đang Chờ Chấp Nhận
Corescripts.AvatarContextMenu.AddFriend,Thêm Bạn Bè
Corescripts.AvatarContextMenu.Friends,Bạn Bè
Corescripts.AvatarContextMenu.AcceptFriendRequest,Chấp Nhận Yêu Cầu Kết Bạn
Corescripts.AvatarContextMenu.Chat,Cuộc Trò Chuyện
Corescripts.AvatarContextMenu.ChatDisabled,Cuộc Trò Chuyện Bị Vô Hiệu Hóa
Corescripts.AvatarContextMenu.Wave,Sóng
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Lấy vật phẩm?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} muốn lấy các vật phẩm avatar của bạn
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Lưu Nhân Vật Avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Bạn có muốn lưu nhân vật này vào Roblox không? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Không
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Có
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Hủy bỏ
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Trang Bị Vật Phẩm cho Avatar
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} muốn thực hiện các thay đổi sau cho avatar của bạn:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Ok
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Hủy bỏ
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Vật Phẩm Yêu Thích
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Bạn có muốn thêm {RBX_NAME} vào mục yêu thích?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Vật Phẩm Không Được Yêu Thích
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Bạn có muốn bỏ {RBX_NAME} ra khỏi mục yêu thích?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Không
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Có
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Nhập Tên Nhân Vật
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Tên Nhân Vật
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptYes,Xác Nhận
CoreScripts.AvatarEditorPrompts.ItemsListLoadingFailed,Tải Thất Bại
CoreScripts.AvatarEditorPrompts.Adding,Thêm:
CoreScripts.AvatarEditorPrompts.Removing,Loại Bỏ:
CoreScripts.AvatarEditorPrompts.NoChangedAssets,Không có thay đổi đối với vật phẩm
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptNo,Hủy bỏ
CoreScripts.PremiumModal.Title.PremiumRequired,Chỉ Dành Cho Thành Viên Gói Premium
CoreScripts.PremiumModal.Body.Description,Gói Roblox Premium sẽ đem lại cho bạn:
CoreScripts.PremiumModal.Body.RobuxMonthly,450 Robux mỗi tháng
CoreScripts.PremiumModal.Body.PremiumOnlyAreas,Nhận những lợi ích dành riêng cho thành viên Premium
CoreScripts.PremiumModal.Body.RobuxDiscount,Tiền thưởng 10% khi mua Robux
CoreScripts.PremiumModal.Action.PricePerMonth,{price}/tháng
CoreScripts.PremiumModal.Error.PlatformUnavailable,Nền tảng của bạn không hỗ trợ mua Gói Roblox Premium. Vui lòng sử dụng máy tính để mua gói Premium.
CoreScripts.PremiumModal.Error.AlreadyPremium,"Có vẻ như nhà phát triển đang cố gắng nhắc bạn mua Roblox Premium, nhưng bạn đã là thành viên Premium!"
CoreScripts.PremiumModal.Error.Unavailable,Gói Premium không có sẵn tại thời điểm này. Vui lòng thử lại sau!
CoreScripts.PremiumModal.Body.RobuxMonthlyV2,{robux} Robux mỗi tháng
CoreScripts.PremiumModal.Error.FailedNativePurchase,"Giao dịch mua chưa hoàn tất, vui lòng thử lại."
CoreScripts.PremiumModal.Title.Error,Lỗi
CoreScripts.ScreenshotHud.Action.TakePhoto,Chụp Ảnh
CoreScripts.ScreenshotHud.Action.Cancel,Hủy bỏ
CoreScripts.TextChat.ChatWindow.Welcome,"""/?"" hoặc ""/help"" trong cuộc trò chuyện để xem danh sách các lệnh trò chuyện."
CoreScripts.TextChat.FriendsChat.LoadConversationsError,
CoreScripts.TextChat.FriendsChat.LoadingConversations,
CoreScripts.TextChat.FriendsChat.NoConversationsYet,
CoreScripts.TextChat.FriendsChat.NoLoadedConversationsFound,
CoreScripts.TextChat.Emote.Error.AnimationPlaying,Bạn không sử dụng được Biểu Cảm trong hành động này.
CoreScripts.TextChat.Emote.Error.NoMatchingEmote,Bạn không sử dụng được Biểu Cảm đó.
CoreScripts.TextChat.Emote.Error.R15Only,Chỉ avatar R15 mới sử dụng được Biểu Cảm.
CoreScripts.TextChat.Emote.Error.TemporarilyUnavailable,Bạn hiện không sử dụng được Biểu Cảm.
CoreScripts.TextChat.Emote.Error.DoesNotExist,Biểu cảm không tồn tại.
CoreScripts.TextChat.Emote.Error.NotEquipped,Bạn không có Biểu Cảm đó.
CoreScripts.TextChat.Emote.Error.NotEnabled,Bạn không sử dụng được Biểu Cảm đó ở đây.
CoreScripts.TextChat.Help.FirstLine,Đây là các lệnh cơ bản trong cuộc trò chuyện:
CoreScripts.TextChat.InputBar.Hint.MouseKeyboard,Nhấp vào đây hoặc nhấn phím {KEY} để trò chuyện
CoreScripts.TextChat.InputBar.Hint.PrivacySettingsDisabled,Cài đặt cuộc trò chuyện của bạn đang ngăn bạn gửi và nhận tin nhắn.
CoreScripts.TextChat.InputBar.Hint.Touch,Nhấn vào đây để trò chuyện
CoreScripts.TextChat.MessageStatus.Warning.Floodchecked,Bạn phải đợi trước khi gửi tin nhắn khác.
CoreScripts.TextChat.MessageStatus.Warning.InvalidChannelPermissions,Bạn không nói chuyện được trong kênh này.
CoreScripts.TextChat.MessageStatus.Warning.InvalidPrivacySettings,Cài đặt cuộc trò chuyện của bạn đang ngăn bạn gửi và nhận tin nhắn.
CoreScripts.TextChat.MessageStatus.Warning.MessageTooLong,Tin nhắn của bạn vượt quá độ dài tối đa.
CoreScripts.TextChat.MessageStatus.Warning.TextFilterFailed,Bộ lọc cuộc trò chuyện hiện đang gặp vấn đề và các tin nhắn có thể xuất hiện chậm.
CoreScripts.TextChat.MessageStatus.Warning.Unknown,Bạn không gửi được tin nhắn.
CoreScripts.TextChat.Mute.Error.CannotMuteSelf,Bạn không thể tắt tiếng chính mình.
CoreScripts.TextChat.Mute.Error.MultipleMatches,Những người dùng sau sẽ có tên hiển thị này: {RBX_LIST_NAMES}
CoreScripts.TextChat.Mute.Error.TargetDoesNotExist,"Người dùng ""{RBX_NAME}"" không tồn tại."
CoreScripts.TextChat.Mute.Help.Description,/mute <user> : tắt tiếng người dùng
CoreScripts.TextChat.Mute.Success,"Người dùng ""{RBX_NAME}"" đã bị tắt tiếng."
CoreScripts.TextChat.Notification.Friend.Joined,"{RBX_NAME}, Người quen của bạn, đã tham gia trải nghiệm."
CoreScripts.TextChat.Notification.Team.Joined,"Bạn hiện đang ở trong nhóm ""{RBX_NAME}""."
CoreScripts.TextChat.Notification.WhisperChat.Created,Bạn hiện đang trò chuyện riêng với {RBX_NAME}.
CoreScripts.TextChat.TeamChat.Error.NotOnTeam,Bạn không thể trò chuyện nhóm nếu không ở trong một nhóm.
CoreScripts.TextChat.TeamChat.Help.Description,/team <message> hoặc /t <message> : gửi cuộc trò chuyện nhóm đến thành viên nhóm của bạn
CoreScripts.TextChat.TeamChat.PrefixText,[Team]
CoreScripts.TextChat.Unmute.Help.Description,/unmute <user> : mở tiếng người dùng
CoreScripts.TextChat.Unmute.Success,"Người dùng ""{RBX_NAME}"" đã được mở tiếng."
CoreScripts.TextChat.Version.Success,{RBX_VERSION}
CoreScripts.TextChat.Whisper.Error.CannotChat,Bạn không trò chuyện được với người này.
CoreScripts.TextChat.Whisper.Help.Description,/whisper <user> hoặc /w <user> : mở kênh nhắn tin riêng với người dùng
CoreScripts.TextChat.WhisperChat.PrefixText.Incoming,[Từ {RBX_NAME}]
CoreScripts.TextChat.WhisperChat.PrefixText.Outgoing,[Đến {RBX_NAME}]
CoreScripts.TopBar.Leaderboard,Bảng Xếp Hạng
CoreScripts.TopBar.Emotes,Biểu Cảm
CoreScripts.TopBar.Inventory,Kho Đồ
CoreScripts.TopBar.Leave,Rời Khỏi
CoreScripts.TopBar.Chat,Cuộc Trò Chuyện
CoreScripts.TopBar.QuickMenu,Trình Đơn Nhanh
CoreScripts.TopBar.Menu,Trình Đơn
CoreScripts.TopBar.Respawn,Hồi Sinh Nhân Vật
CoreScripts.TopBar.Back,Quay Lại
CoreScripts.TopBar.Screenshot,Ảnh Chụp Màn Hình
Feature.SettingsHub.Label.LoadingFriendsListFailed,"Đã xảy ra lỗi, vui lòng thử lại sau."
Feature.SettingsHub.Action.CancelSearch,Hủy bỏ
Feature.SettingsHub.Label.DontLeaveButton,Đừng Rời Khỏi
Feature.SettingsHub.Action.InviteFriend,Mời
Feature.SettingsHub.Heading.InviteFriends,Mời Bạn Bè
Feature.SettingsHub.Label.Invited,Đã Mời
Feature.SettingsHub.Label.LeaveButton,Rời Khỏi
Feature.SettingsHub.Label.Moderated,Đã Kiểm Duyệt
Feature.SettingsHub.Label.InviteSearchNoResults,Không tìm thấy kết quả nào
Feature.SettingsHub.Label.SearchForFriendsPlaceholder,Tìm Người quen
Feature.SettingsHub.Label.Sending,Đang Gửi
Feature.SettingsHub.Action.InviteFriendsBack,Quay Lại
Feature.SettingsHub.Message.InviteToGameTitle,Hãy tham gia cùng tôi trong {PLACENAME}
Feature.SettingsHub.TouchMovementMode.DPad,DPad
Feature.SettingsHub.Video.Off,Tắt
Feature.SettingsHub.Video.SystemDefault,Mặc Định Hệ Thống
Feature.SettingsHub.Video.VideoCamera,Camera Video
Feature.SettingsHub.Default.DynamicThumbstick,Mặc định (Cần Điều Khiển Động)
Feature.SettingsHub.DefaultKeyboard,Mặc định (Bàn Phím)
Feature.SettingsHub.Heading.Capture,Ghi Hình
Feature.SettingsHub.Label.CaptureDescription2,Ảnh chụp được lưu vào thiết bị của bạn.
Feature.SettingsHub.Label.ChooseOne,Chọn Một
InGame.CommonUI.Title.Warning,Cảnh Báo
InGame.CommonUI.Title.Error,Lỗi
InGame.CommonUI.Button.Retry,Thử Lại
InGame.CommonUI.Button.Ok,Ok
InGame.CommonUI.Title.Alert,Cảnh Báo
InGame.CommonUI.Label.Default,Mặc Định
InGame.CommonUI.Label.Custom,Tùy Chỉnh
InGame.CommonUI.Label.PossiblyCustom,Có Thể Tùy Chỉnh
InGame.CommonUI.Label.CustomOld,Tùy Chỉnh Trước Đây
InGame.ConnectionError.DisconnectCloudEditKick,Mất kết nối với chế độ Sáng tạo nhóm. Vui lòng kết nối lại. 
InGame.ConnectionError.DisconnectWrongVersion,Phiên bản Roblox của bạn có thể đã lỗi thời. Vui lòng cập nhật Roblox và thử lại.
InGame.ConnectionError.TeleportFailure,Không dịch chuyển được do có lỗi không lường trước. Vui lòng thử dịch chuyển lại.
InGame.ConnectionError.DisconnectNewSecurityKeyMismatch,Mất kết nối do lỗi.
InGame.ConnectionError.TeleportGameFull,Máy chủ đã đầy. Vui lòng thử lại sau hoặc sử dụng một máy chủ khác.
InGame.ConnectionError.DisconnectPlayerless,Máy chủ đã tắt khi bạn cố gắng kết nối. Vui lòng thử lại.
InGame.ConnectionError.TeleportGameNotFound,Không thể tìm được địa điểm mục tiêu. Vui lòng kiểm tra và thử lại.
InGame.ConnectionError.DisconnectErrors,Mất kết nối do lỗi không xác định. Vui lòng kết nối lại.
InGame.ConnectionError.DisconnectDuplicateTicket,Mất kết nối do lỗi. Phát hiện một tài khoản kết nối nhiều lần.
InGame.ConnectionError.DisconnectBadhash,Mất kết nối do lỗi.
InGame.ConnectionError.DisconnectSendPacketError,"Đã xảy ra vấn đề khi gửi dữ liệu, vui lòng kết nối lại."
InGame.ConnectionError.DisconnectOnRemoteSysStats,Bạn đã bị văng ra do hành vi không mong muốn của máy khách.
InGame.ConnectionError.DisconnectTimeout,Đã hết thời gian chờ kết nối. Kiểm tra kết nối Internet và thử lại.
InGame.ConnectionError.DisconnectSecurityKeyMismatch,Mất kết nối do lỗi.
InGame.ConnectionError.TeleportErrors,Không dịch chuyển được do có lỗi không lường trước. Vui lòng thử dịch chuyển lại.
