Key,Value
CoreScripts.Ads.Label.Teleporting,Berteleportasi...
Corescripts.AvatarContextMenu.FriendRequestPending,Permintaan Teman Pending
Corescripts.AvatarContextMenu.AddFriend,Tambahkan Teman
Corescripts.AvatarContextMenu.Friends,Teman
Corescripts.AvatarContextMenu.AcceptFriendRequest,Terima Permintaan Teman
Corescripts.AvatarContextMenu.Chat,Chat
Corescripts.AvatarContextMenu.ChatDisabled,Chat Dinonaktifkan
Corescripts.AvatarContextMenu.Wave,Lambaikan Tangan
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptTitle,Akses Item?
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptText,{RBX_NAME} ingin mengakses item avatar kamu
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptTitle,Simpan Karakter Avatar
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptText,Kamu ingin menyimpan karakter ini ke Roblox? 
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptNo,Tidak
CoreScripts.AvatarEditorPrompts.CreateOutfitPromptYes,Ya
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptNo,Batalkan
CoreScripts.AvatarEditorPrompts.InventoryReadAccessPromptYes,Oke
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptTitle,Lengkapi Avatar dengan Item
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptText,{RBX_NAME} ingin membuat perubahan ke avatar kamu:
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptYes,Oke
CoreScripts.AvatarEditorPrompts.SaveAvatarPromptNo,Batalkan
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptTitle,Item Favorit
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptText,Kamu ingin menambahkan {RBX_NAME} ke favorit?
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptTitle,Bukan Item Favorit
CoreScripts.AvatarEditorPrompts.UnfavouriteItemPromptText,Kamu ingin menghapus {RBX_NAME} dari favorit?
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptNo,Tidak
CoreScripts.AvatarEditorPrompts.FavouriteItemPromptYes,Ya
CoreScripts.AvatarEditorPrompts.OutfitNamePlaceholder,Masukkan Nama Karakter
CoreScripts.AvatarEditorPrompts.EnterOutfitNamePromptTitle,Nama Karakter
