Key,Value
AccountIdentity.AgeCheck.Label.AgeBandOver13,13+
AccountIdentity.AgeCheck.Label.AgeBandOver13Checked,13 ans et plus vérifié
AccountIdentity.AgeCheck.Label.AgeBandOver18,18+
AccountIdentity.AgeCheck.Label.AgeBandOver18Checked,18 ans et plus vérifié
AccountIdentity.AgeCheck.Label.AgeBandUnder13,<13
AccountIdentity.AgeCheck.Label.AgeGroup13To15,entre 13 et 15 ans
AccountIdentity.AgeCheck.Label.AgeGroup16To17,entre 16 et 17 ans
AccountIdentity.AgeCheck.Label.AgeGroup18To20,entre 18 et 20 ans
AccountIdentity.AgeCheck.Label.AgeGroup18To24,18 à 24 ans
AccountIdentity.AgeCheck.Label.AgeGroup9To12,entre 9 et 12 ans
AccountIdentity.AgeCheck.Label.AgeGroupOver21,21 ans et plus
AccountIdentity.AgeCheck.Label.AgeGroupOver25,Plus de 25 ans
AccountIdentity.AgeCheck.Label.AgeGroupUnder9,5 à 8 ans
Amp.AccountSettingsUpsell.Email.Button.Cancel,Annuler
Amp.AccountSettingsUpsell.Email.Button.Settings,Paramètres
Amp.AccountSettingsUpsell.Email.Modal.ContentText,"Prouver votre âge pour accéder à cette expérience.

1. Aller dans les informations du compte dans les paramètres
2. Choisir Ajouter le téléphone
3. Terminer le processus
"
Amp.AccountSettingsUpsell.Email.Modal.Title,Vérification d'email requise
Amp.AccountSettingsUpsell.Phone.Button.Cancel,
Amp.AccountSettingsUpsell.Phone.Button.Settings,
Amp.AccountSettingsUpsell.Phone.Modal.ContentText,"Vérifier votre téléphone pour accéder à cette expérience.

1. Aller dans les informations du compte dans les Paramètres
2. Choisir Ajouter le téléphone
3. Terminer le processus"
Amp.AccountSettingsUpsell.Phone.Modal.Title,Vérification du téléphone requise
Amp.ErrorScreen.BodyText,Impossible de récupérer ton statut d'accès
Amp.ErrorScreen.Cancel,
Amp.ErrorScreen.Retry,Réessayer
Amp.ErrorScreen.Title,Un problème est survenu
Amp.ErrorScreen.UserMismatchBody,Ce code QR correspond à un autre compte. Change de compte et scanne-le à nouveau pour continuer.
Amp.ErrorScreen.UserMismatchTitle,Compte incorrect
Amp.FAEUpsell.Modal.ExternalLink.ButtonCancel,
Amp.FAEUpsell.Modal.ExternalLink.ButtonStart,Continuer
Amp.FAEUpsell.Modal.ExternalLink.Text,Prouve ton âge pour débloquer le Chat sans filtres et le vocal Party.
Amp.FAEUpsell.Modal.ExternalLink.Title,Vérification d'âge requise
Amp.FAEUpsell.Modal.Failed.ButtonClose,Fermer
Amp.FAEUpsell.Modal.Failed.ButtonRetry,
Amp.FAEUpsell.Modal.Failed.Text,Une erreur est survenue. Réessayer plus tard.
Amp.FAEUpsell.Modal.Failed.Title,Erreur lors de la vérification de l'âge
Amp.FAEUpsell.Modal.Loading.ButtonCancel,
Amp.FAEUpsell.Modal.Loading.Text,"Cette opération peut prendre un certain temps. Si tu annules, ton âge risque de ne pas être vérifié."
Amp.FAEUpsell.Modal.Loading.Title,Vérification de l'âge
Amp.FAEUpsell.Modal.QRCode.Description,Débloque plus d'expériences et de fonctionnalités en faisant vérifier ton âge. Scanne ce code QR avec ton téléphone ou ta tablette.
Amp.FAEUpsell.Modal.QRCode.Footer,Scan impossible ? Télécharge l'application Roblox sur ton appareil mobile et accède à Paramètres > Infos sur le compte
Amp.FAEUpsell.Modal.QRCode.Title,Fais vérifier ton âge à l'aide de l'application mobile
Amp.IDVErrorScreen.Close,
Amp.IDVErrorScreen.Declined,"Désolé, votre vérification a été refusée pour des raisons de sécurité. Si vous voulez essayer à nouveau, veuillez vérifier dans quelques jours."
Amp.IDVErrorScreen.Retry,"Quelque chose s'est mal passé. Veuillez rafraîchir la page, essayez à nouveau."
Amp.IDVErrorScreen.Timeout,Le processus de vérification a pris trop de temps. Veuillez rafraîchir la page et réessayer.
Amp.IDVErrorScreen.Title,La vérification a échoué
Amp.IDVUpsell.Button.Cancel,
Amp.IDVUpsell.Button.StartVerification,Démarrer la vérification
